"TOA5","CR1000_Chambers","CR1000","72154","CR1000.Std.28","CPU:22JUL2021.CR1","60880","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-01-14 06:01:00",61256,7.189979,7.252326,7.404338,7.341253,"NAN",20.71954
"2022-01-14 06:02:00",61257,7.189674,7.264625,7.232825,7.354178,"NAN",20.66694
"2022-01-14 06:03:00",61258,7.180853,7.205297,7.451234,7.219466,"NAN",20.72405
"2022-01-14 06:04:00",61259,7.16989,7.150807,7.279976,7.36294,"NAN",20.68931
"2022-01-14 06:05:00",61260,7.188077,7.223949,7.339901,7.214442,"NAN",20.71768
"2022-01-14 06:06:00",61261,7.222117,7.195731,7.218169,7.257912,"NAN",20.6853
"2022-01-14 06:07:00",61262,7.480008,7.542032,7.21601,7.073251,"NAN",20.6863
"2022-01-14 06:08:00",61263,7.553147,7.469199,7.168058,7.27715,"NAN",20.67161
"2022-01-14 06:09:00",61264,7.565414,7.428697,7.112035,7.290865,"NAN",20.67173
"2022-01-14 06:10:00",61265,7.597856,7.540246,7.036944,7.407912,"NAN",20.66195
"2022-01-14 06:11:00",61266,7.587375,7.482249,7.168517,7.093399,"NAN",20.67282
"2022-01-14 06:12:00",61267,7.585356,7.523073,7.223904,7.187547,"NAN",20.68553
"2022-01-14 06:13:00",61268,7.567015,7.433064,6.895212,7.172902,"NAN",20.63665
"2022-01-14 06:14:00",61269,7.528085,7.270095,7.144597,7.380064,"NAN",20.66656
"2022-01-14 06:15:00",61270,7.121121,7.334421,7.387547,6.635335,"NAN",20.66474
"2022-01-14 06:16:00",61271,7.123462,6.964913,6.741984,7.145036,"NAN",20.57541
"2022-01-14 06:17:00",61272,7.059386,6.750987,6.744631,7.326416,"NAN",20.61554
"2022-01-14 06:18:00",61273,6.991918,7.129582,7.16977,6.882476,"NAN",20.62584
"2022-01-14 06:19:00",61274,6.980731,6.961802,7.150161,7.227281,"NAN",20.62272
"2022-01-14 06:20:00",61275,6.967534,7.006879,7.154434,6.883241,"NAN",20.60689
"2022-01-14 06:21:00",61276,6.953835,7.041943,7.17625,6.920066,"NAN",20.60433
"2022-01-14 06:22:00",61277,6.965851,7.092779,7.219115,6.858325,"NAN",20.59803
"2022-01-14 06:23:00",61278,7.02787,6.951437,6.816449,7.102857,"NAN",20.5103
"2022-01-14 06:24:00",61279,6.970207,7.005087,7.139417,6.995813,"NAN",20.54542
"2022-01-14 06:25:00",61280,7.01745,6.915317,6.984683,7.03924,"NAN",20.53703
"2022-01-14 06:26:00",61281,6.967389,6.855895,7.1257,7.349859,"NAN",20.55432
"2022-01-14 06:27:00",61282,7.01165,6.961425,7.056448,7.312203,"NAN",20.48198
"2022-01-14 06:28:00",61283,6.965919,6.960514,7.267091,7.521701,"NAN",20.53731
"2022-01-14 06:29:00",61284,6.969953,6.884422,7.198385,7.58305,"NAN",20.52983
"2022-01-14 06:30:00",61285,6.904759,6.897649,7.543038,7.38576,"NAN",20.58765
"2022-01-14 06:31:00",61286,6.927321,6.82894,7.318658,7.484753,"NAN",20.56247
"2022-01-14 06:32:00",61287,6.895753,6.905392,7.396969,7.442948,"NAN",20.57519
"2022-01-14 06:33:00",61288,6.891849,6.861419,7.408941,7.401398,"NAN",20.559
"2022-01-14 06:34:00",61289,6.897491,6.919189,7.420019,7.25264,"NAN",20.56134
"2022-01-14 06:35:00",61290,6.892411,6.84232,6.901455,6.938692,"NAN",20.55599
"2022-01-14 06:36:00",61291,6.863296,6.855629,6.853962,6.984374,"NAN",20.54921
"2022-01-14 06:37:00",61292,6.841926,6.912514,6.933822,6.743209,"NAN",20.54525
"2022-01-14 06:38:00",61293,6.858552,6.92239,6.951899,6.739967,"NAN",20.56277
"2022-01-14 06:39:00",61294,6.858419,6.994847,6.971024,6.685044,"NAN",20.5676
"2022-01-14 06:40:00",61295,6.872076,6.750646,6.740718,7.170373,"NAN",20.55692
"2022-01-14 06:41:00",61296,6.866143,6.859663,6.930919,6.811361,"NAN",20.55338
"2022-01-14 06:42:00",61297,6.860118,6.854568,6.957065,6.93614,"NAN",20.5739
"2022-01-14 06:43:00",61298,6.878785,6.875396,6.873422,6.758626,"NAN",20.5519
"2022-01-14 06:44:00",61299,6.854001,6.843846,7.01166,7.116613,"NAN",20.60355
"2022-01-14 06:45:00",61300,6.841443,6.900969,6.984071,6.861998,"NAN",20.58363
"2022-01-14 06:46:00",61301,6.827027,6.904281,7.011675,6.875269,"NAN",20.58718
"2022-01-14 06:47:00",61302,6.891037,6.841216,6.775094,6.981089,"NAN",20.54607
"2022-01-14 06:48:00",61303,6.876023,6.907939,6.842133,6.808534,"NAN",20.55887
"2022-01-14 06:49:00",61304,6.907726,6.852217,7.107971,6.952659,"NAN",20.60738
"2022-01-14 06:50:00",61305,6.915641,6.846118,6.941826,6.97531,"NAN",20.55741
"2022-01-14 06:51:00",61306,6.916354,6.856981,6.975978,7.047557,"NAN",20.57645
"2022-01-14 06:52:00",61307,6.904154,6.95432,7.070549,6.899668,"NAN",20.59125
"2022-01-14 06:53:00",61308,6.865207,6.887945,6.948993,6.762992,"NAN",20.5883
"2022-01-14 06:54:00",61309,6.881184,6.824265,6.949434,6.934645,"NAN",20.55823
"2022-01-14 06:55:00",61310,6.87222,6.84165,6.821698,6.979082,"NAN",20.55193
"2022-01-14 06:56:00",61311,6.920938,6.838934,6.840633,6.967343,"NAN",20.54982
"2022-01-14 06:57:00",61312,6.92773,6.907876,7.055621,6.864213,"NAN",20.56966
"2022-01-14 06:58:00",61313,6.822388,6.927744,7.041295,6.996655,"NAN",20.59115
"2022-01-14 06:59:00",61314,6.933866,6.938121,6.970095,6.855476,"NAN",20.56814
"2022-01-14 07:00:00",61315,6.937202,6.882426,7.043247,7.052799,"NAN",20.57608
