"TOA5","CR1000_Chambers","CR1000","72154","CR1000.Std.28","CPU:22JUL2021.CR1","60880","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-01-11 16:01:00",57536,13.95803,14.06032,14.26396,13.96216,"NAN",21.07058
"2022-01-11 16:02:00",57537,13.95643,14.1092,14.33594,13.98432,"NAN",21.05353
"2022-01-11 16:03:00",57538,13.81595,14.02043,14.35338,14.10641,"NAN",21.07795
"2022-01-11 16:04:00",57539,13.9298,14.04801,14.16573,13.73971,"NAN",21.07694
"2022-01-11 16:05:00",57540,13.79407,13.97206,14.17698,13.72575,"NAN",21.07483
"2022-01-11 16:06:00",57541,13.89553,13.96222,14.09119,13.68288,"NAN",21.07703
"2022-01-11 16:07:00",57542,13.74825,13.93186,14.36943,14.11971,"NAN",21.08287
"2022-01-11 16:08:00",57543,13.77983,13.9346,14.04554,13.64474,"NAN",21.06526
"2022-01-11 16:09:00",57544,13.77224,13.91342,14.22823,13.9126,"NAN",21.07726
"2022-01-11 16:10:00",57545,13.77261,13.89619,14.05695,13.70706,"NAN",21.09464
"2022-01-11 16:11:00",57546,13.76342,13.90625,14.07114,13.58451,"NAN",21.08741
"2022-01-11 16:12:00",57547,13.75602,13.87878,14.07582,13.70604,"NAN",21.08747
"2022-01-11 16:13:00",57548,13.75006,13.86904,14.12778,13.89299,"NAN",21.09976
"2022-01-11 16:14:00",57549,13.73531,13.8747,13.97427,13.67596,"NAN",21.05978
"2022-01-11 16:15:00",57550,13.96452,13.93962,13.8608,13.50951,"NAN",21.07623
"2022-01-11 16:16:00",57551,13.941,13.99429,13.7371,13.32235,"NAN",21.08851
"2022-01-11 16:17:00",57552,14.08219,14.08385,13.77335,13.31308,"NAN",21.0539
"2022-01-11 16:18:00",57553,14.13616,14.15056,13.77559,13.34698,"NAN",21.07181
"2022-01-11 16:19:00",57554,13.7088,13.84438,13.70945,13.19909,"NAN",21.05869
"2022-01-11 16:20:00",57555,13.41997,13.66606,13.93917,13.73459,"NAN",21.04056
"2022-01-11 16:21:00",57556,13.63322,13.61527,13.61071,13.16655,"NAN",21.06609
"2022-01-11 16:22:00",57557,13.82912,13.8176,13.48968,12.9669,"NAN",21.05017
"2022-01-11 16:23:00",57558,13.81041,13.77514,13.60149,13.24756,"NAN",21.03892
"2022-01-11 16:24:00",57559,13.91308,13.88284,13.58382,13.27745,"NAN",21.04661
"2022-01-11 16:25:00",57560,13.9016,13.90985,13.543,13.11854,"NAN",21.04358
"2022-01-11 16:26:00",57561,13.3386,13.50953,13.66247,13.21535,"NAN",21.05524
"2022-01-11 16:27:00",57562,13.11219,13.3406,13.30445,13.27002,"NAN",21.02766
"2022-01-11 16:28:00",57563,13.46017,13.3709,13.27559,13.2843,"NAN",21.04131
"2022-01-11 16:29:00",57564,13.66413,13.59971,13.23749,13.28035,"NAN",21.02495
"2022-01-11 16:30:00",57565,13.48422,13.48923,13.20013,13.21834,"NAN",21.01859
"2022-01-11 16:31:00",57566,13.34169,13.37381,13.1706,13.2052,"NAN",21.01086
"2022-01-11 16:32:00",57567,13.38589,13.3821,13.14588,13.16074,"NAN",21.01567
"2022-01-11 16:33:00",57568,13.13972,13.15602,13.10436,13.15461,"NAN",21.01763
"2022-01-11 16:34:00",57569,13.40278,13.32178,13.0975,13.11252,"NAN",21.03316
"2022-01-11 16:35:00",57570,13.3761,13.33429,13.04529,12.70533,"NAN",21.03472
"2022-01-11 16:36:00",57571,13.1746,13.16336,13.118,12.66835,"NAN",21.00412
"2022-01-11 16:37:00",57572,13.04146,13.04385,12.97828,12.54971,"NAN",21.01605
"2022-01-11 16:38:00",57573,12.84635,12.86804,13.01599,12.69843,"NAN",21.03241
"2022-01-11 16:39:00",57574,12.46321,12.56685,12.86421,12.48445,"NAN",21.03104
"2022-01-11 16:40:00",57575,12.28757,12.37178,12.83875,12.39186,"NAN",21.02849
"2022-01-11 16:41:00",57576,12.37525,12.34663,13.00982,12.68017,"NAN",21.00761
"2022-01-11 16:42:00",57577,12.1353,12.27411,12.70243,12.30799,"NAN",20.98978
"2022-01-11 16:43:00",57578,12.08526,12.31746,12.87625,12.55259,"NAN",20.97645
"2022-01-11 16:44:00",57579,12.13306,12.09036,12.49044,12.04933,"NAN",20.99283
"2022-01-11 16:45:00",57580,12.06682,12.05074,12.44437,12.04374,"NAN",20.97542
"2022-01-11 16:46:00",57581,11.94238,11.92981,12.37461,11.885,"NAN",20.99046
"2022-01-11 16:47:00",57582,12.23415,12.07231,12.1786,11.58259,"NAN",20.97925
"2022-01-11 16:48:00",57583,12.21644,12.08355,12.34891,11.85687,"NAN",20.98765
"2022-01-11 16:49:00",57584,12.26571,12.17656,12.25416,11.81988,"NAN",20.97602
"2022-01-11 16:50:00",57585,12.2184,12.07898,12.3407,12.07015,"NAN",20.99204
"2022-01-11 16:51:00",57586,12.11361,12.04505,12.15143,11.79007,"NAN",20.99512
"2022-01-11 16:52:00",57587,11.77522,11.84545,11.98595,11.73951,"NAN",20.96958
"2022-01-11 16:53:00",57588,11.40815,11.54431,11.89155,11.68841,"NAN",20.96337
"2022-01-11 16:54:00",57589,11.27799,11.37882,11.7529,11.44321,"NAN",21.0072
"2022-01-11 16:55:00",57590,10.95967,10.97824,11.62102,11.34207,"NAN",20.98736
"2022-01-11 16:56:00",57591,10.83549,10.9556,11.60937,11.34848,"NAN",20.97269
"2022-01-11 16:57:00",57592,10.7819,10.81156,11.51052,11.21499,"NAN",20.96367
"2022-01-11 16:58:00",57593,10.81126,10.7362,11.40016,10.97249,"NAN",20.96744
"2022-01-11 16:59:00",57594,10.84456,10.71292,11.31508,10.77833,"NAN",20.97659
"2022-01-11 17:00:00",57595,10.7668,10.63985,11.25097,10.68423,"NAN",20.96164
