"TOA5","CR1000_Chambers","CR1000","72154","CR1000.Std.28","CPU:22JUL2021.CR1","60880","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-01-13 16:01:00",60416,13.11693,13.21131,13.21244,13.19628,"NAN",21.06937
"2022-01-13 16:02:00",60417,13.08863,13.17939,13.13983,13.10224,"NAN",21.08932
"2022-01-13 16:03:00",60418,12.99004,13.08955,13.09816,13.04315,"NAN",21.07952
"2022-01-13 16:04:00",60419,12.90951,13.02485,13.00612,12.93171,"NAN",21.0929
"2022-01-13 16:05:00",60420,12.88371,13.01784,13.03412,12.98384,"NAN",21.08213
"2022-01-13 16:06:00",60421,12.77966,12.96029,12.9606,12.87325,"NAN",21.08279
"2022-01-13 16:07:00",60422,13.16255,13.22281,12.94508,12.83909,"NAN",21.09386
"2022-01-13 16:08:00",60423,13.24603,13.2706,12.94012,12.8512,"NAN",21.09631
"2022-01-13 16:09:00",60424,13.25559,13.25183,12.86652,12.82367,"NAN",21.09185
"2022-01-13 16:10:00",60425,13.26614,13.2368,12.87119,12.7999,"NAN",21.08852
"2022-01-13 16:11:00",60426,13.23731,13.22375,12.88547,12.80233,"NAN",21.10244
"2022-01-13 16:12:00",60427,13.21931,13.2293,12.90085,12.80827,"NAN",21.08399
"2022-01-13 16:13:00",60428,13.19971,13.19539,12.80188,12.68074,"NAN",21.09337
"2022-01-13 16:14:00",60429,13.14382,13.11708,12.73199,12.56075,"NAN",21.07857
"2022-01-13 16:15:00",60430,12.66825,12.79485,12.72336,12.54076,"NAN",21.07883
"2022-01-13 16:16:00",60431,12.59705,12.71548,12.74209,12.63967,"NAN",21.09348
"2022-01-13 16:17:00",60432,12.53406,12.66549,12.66169,12.59124,"NAN",21.0787
"2022-01-13 16:18:00",60433,12.45805,12.59004,12.63386,12.56931,"NAN",21.08235
"2022-01-13 16:19:00",60434,12.40246,12.53702,12.59076,12.50397,"NAN",21.08263
"2022-01-13 16:20:00",60435,12.2635,12.45046,12.50343,12.43756,"NAN",21.07529
"2022-01-13 16:21:00",60436,12.05401,12.36184,12.55791,12.41445,"NAN",21.08171
"2022-01-13 16:22:00",60437,12.19324,12.40108,12.52925,12.44105,"NAN",21.07385
"2022-01-13 16:23:00",60438,12.08597,12.31563,12.46474,12.34554,"NAN",21.0545
"2022-01-13 16:24:00",60439,12.17812,12.31114,12.379,12.28982,"NAN",21.06857
"2022-01-13 16:25:00",60440,12.01178,12.18419,12.21604,12.17981,"NAN",21.05695
"2022-01-13 16:26:00",60441,11.96661,12.10231,12.18064,12.08426,"NAN",21.06434
"2022-01-13 16:27:00",60442,12.03334,12.1369,12.32013,12.27136,"NAN",21.0703
"2022-01-13 16:28:00",60443,11.94551,12.05419,12.31958,12.30384,"NAN",21.06332
"2022-01-13 16:29:00",60444,11.79292,11.96108,12.29829,12.29803,"NAN",21.07338
"2022-01-13 16:30:00",60445,11.6433,11.82537,12.28003,12.24619,"NAN",21.07399
"2022-01-13 16:31:00",60446,11.50672,11.70152,12.22952,12.24244,"NAN",21.08574
"2022-01-13 16:32:00",60447,11.58488,11.74609,12.17539,12.17607,"NAN",21.0805
"2022-01-13 16:33:00",60448,11.43195,11.65621,12.13533,12.13338,"NAN",21.08121
"2022-01-13 16:34:00",60449,11.50795,11.65445,12.06832,12.09004,"NAN",21.10485
"2022-01-13 16:35:00",60450,11.43993,11.65077,11.86663,11.78039,"NAN",21.07453
"2022-01-13 16:36:00",60451,11.74203,11.78981,11.8483,11.8129,"NAN",21.05672
"2022-01-13 16:37:00",60452,11.43775,11.61015,11.75409,11.69931,"NAN",21.0539
"2022-01-13 16:38:00",60453,11.46998,11.59973,11.67323,11.56128,"NAN",21.0776
"2022-01-13 16:39:00",60454,11.39018,11.50846,11.68526,11.62922,"NAN",21.09276
"2022-01-13 16:40:00",60455,11.25268,11.4171,11.50848,11.37771,"NAN",21.08924
"2022-01-13 16:41:00",60456,11.12295,11.3372,11.3141,11.14098,"NAN",21.08381
"2022-01-13 16:42:00",60457,11.18069,11.37206,11.48903,11.36739,"NAN",21.09054
"2022-01-13 16:43:00",60458,11.31922,11.42381,11.46403,11.36279,"NAN",21.10016
"2022-01-13 16:44:00",60459,11.29108,11.41316,11.38391,11.33511,"NAN",21.0668
"2022-01-13 16:45:00",60460,11.20951,11.29692,11.37541,11.19531,"NAN",21.10288
"2022-01-13 16:46:00",60461,11.04844,11.20569,11.4053,11.28234,"NAN",21.09067
"2022-01-13 16:47:00",60462,11.19055,11.30045,11.37751,11.32279,"NAN",21.07776
"2022-01-13 16:48:00",60463,10.99907,11.15704,11.34052,11.2573,"NAN",21.06217
"2022-01-13 16:49:00",60464,10.93526,11.09261,11.21144,11.0721,"NAN",21.06315
"2022-01-13 16:50:00",60465,10.78164,10.97648,11.09481,10.8298,"NAN",21.06359
"2022-01-13 16:51:00",60466,10.9419,11.11174,11.18021,11.11901,"NAN",21.06997
"2022-01-13 16:52:00",60467,10.64043,10.93748,11.14222,11.02871,"NAN",21.05434
"2022-01-13 16:53:00",60468,10.52909,10.80773,11.01561,10.83745,"NAN",21.06848
"2022-01-13 16:54:00",60469,10.44375,10.73815,10.88093,10.60253,"NAN",21.0589
"2022-01-13 16:55:00",60470,10.50646,10.79685,10.93563,10.6455,"NAN",21.06074
"2022-01-13 16:56:00",60471,10.643,10.84603,10.94807,10.78657,"NAN",21.0661
"2022-01-13 16:57:00",60472,10.40224,10.68319,10.93717,10.78526,"NAN",21.05313
"2022-01-13 16:58:00",60473,10.52353,10.74463,10.91031,10.74072,"NAN",21.06236
"2022-01-13 16:59:00",60474,10.27307,10.60781,10.75608,10.59225,"NAN",21.05789
"2022-01-13 17:00:00",60475,10.51391,10.71709,10.70875,10.44991,"NAN",21.05483
