"TOA5","CR1000_Chambers","CR1000","72154","CR1000.Std.28","CPU:22JUL2021.CR1","60880","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-01-13 10:01:00",60056,17.74046,14.46103,12.97817,12.87339,"NAN",20.77935
"2022-01-13 10:02:00",60057,18.52921,14.63231,13.40569,13.46004,"NAN",20.7896
"2022-01-13 10:03:00",60058,17.46025,14.36624,13.2196,13.42647,"NAN",20.79116
"2022-01-13 10:04:00",60059,15.87442,14.0581,13.00451,12.98055,"NAN",20.78894
"2022-01-13 10:05:00",60060,15.31961,13.82304,12.93496,12.82302,"NAN",20.79578
"2022-01-13 10:06:00",60061,15.44058,13.7267,13.33187,13.07936,"NAN",20.80956
"2022-01-13 10:07:00",60062,15.74469,14.81206,13.72386,13.36298,"NAN",20.80706
"2022-01-13 10:08:00",60063,15.91526,15.12926,13.95677,13.679,"NAN",20.80332
"2022-01-13 10:09:00",60064,15.86365,15.23738,13.78078,13.68253,"NAN",20.80893
"2022-01-13 10:10:00",60065,15.78208,15.17611,13.46459,13.5058,"NAN",20.80912
"2022-01-13 10:11:00",60066,15.69828,15.13453,13.27191,13.21854,"NAN",20.78919
"2022-01-13 10:12:00",60067,15.67619,15.12349,13.46124,13.35165,"NAN",20.79549
"2022-01-13 10:13:00",60068,15.69426,15.14638,13.73107,13.53122,"NAN",20.81227
"2022-01-13 10:14:00",60069,15.66384,15.15748,13.75495,13.53222,"NAN",20.81675
"2022-01-13 10:15:00",60070,15.0741,14.50929,13.6729,13.35462,"NAN",20.8201
"2022-01-13 10:16:00",60071,14.42137,14.02388,13.75464,13.58754,"NAN",20.8199
"2022-01-13 10:17:00",60072,14.02062,13.80691,13.64174,13.50182,"NAN",20.81787
"2022-01-13 10:18:00",60073,13.6673,13.52573,13.54229,13.41244,"NAN",20.8257
"2022-01-13 10:19:00",60074,13.91178,13.77471,13.76275,13.56015,"NAN",20.82689
"2022-01-13 10:20:00",60075,14.13258,13.95971,14.0368,13.84902,"NAN",20.84663
"2022-01-13 10:21:00",60076,14.53458,14.37702,14.75695,14.5868,"NAN",20.84783
"2022-01-13 10:22:00",60077,14.76346,14.6059,15.13089,15.21817,"NAN",20.85166
"2022-01-13 10:23:00",60078,14.50358,14.49904,14.72982,14.85178,"NAN",20.86189
"2022-01-13 10:24:00",60079,14.69452,14.43848,14.27653,14.27218,"NAN",20.86645
"2022-01-13 10:25:00",60080,14.82416,14.47222,13.93048,13.71502,"NAN",20.85556
"2022-01-13 10:26:00",60081,14.62102,14.23065,14.0103,13.74463,"NAN",20.85887
"2022-01-13 10:27:00",60082,14.70353,14.33801,15.0972,15.03125,"NAN",20.86155
"2022-01-13 10:28:00",60083,14.93716,14.59281,15.38404,15.46706,"NAN",20.85155
"2022-01-13 10:29:00",60084,15.01344,14.68621,15.58593,15.71089,"NAN",20.85178
"2022-01-13 10:30:00",60085,14.90843,14.62541,15.65845,15.83347,"NAN",20.83658
"2022-01-13 10:31:00",60086,14.78496,14.5187,15.73133,15.91994,"NAN",20.85153
"2022-01-13 10:32:00",60087,14.60369,14.47844,15.81286,16.003,"NAN",20.84245
"2022-01-13 10:33:00",60088,14.51023,14.41962,15.88899,16.05902,"NAN",20.83953
"2022-01-13 10:34:00",60089,14.63745,14.45724,15.88235,16.1135,"NAN",20.84191
"2022-01-13 10:35:00",60090,14.5029,14.40953,14.667,14.6967,"NAN",20.84269
"2022-01-13 10:36:00",60091,14.55554,14.44564,14.97784,14.82563,"NAN",20.86866
"2022-01-13 10:37:00",60092,14.47114,14.4739,14.99573,14.97966,"NAN",20.86189
"2022-01-13 10:38:00",60093,14.34277,14.47116,14.67103,14.56627,"NAN",20.86911
"2022-01-13 10:39:00",60094,14.10099,14.23363,14.64983,14.46665,"NAN",20.86092
"2022-01-13 10:40:00",60095,14.29796,14.29572,15.22323,15.13993,"NAN",20.87821
"2022-01-13 10:41:00",60096,14.21141,14.2336,14.90056,14.80316,"NAN",20.85443
"2022-01-13 10:42:00",60097,14.39511,14.42711,14.74653,14.61528,"NAN",20.85465
"2022-01-13 10:43:00",60098,14.19574,14.30734,14.97726,14.80602,"NAN",20.86479
"2022-01-13 10:44:00",60099,14.30551,14.3819,14.75272,14.64264,"NAN",20.86376
"2022-01-13 10:45:00",60100,14.4403,14.53699,15.15041,14.89827,"NAN",20.87608
"2022-01-13 10:46:00",60101,14.37678,14.50552,15.28462,15.22786,"NAN",20.87409
"2022-01-13 10:47:00",60102,14.05828,14.17757,14.6586,14.50772,"NAN",20.87751
"2022-01-13 10:48:00",60103,13.75086,13.83096,14.12301,14.00207,"NAN",20.8779
"2022-01-13 10:49:00",60104,13.99479,14.05358,14.20892,14.06204,"NAN",20.86367
"2022-01-13 10:50:00",60105,14.19161,14.22439,14.66936,14.56491,"NAN",20.86941
"2022-01-13 10:51:00",60106,14.15113,14.26393,14.76917,14.66216,"NAN",20.86887
"2022-01-13 10:52:00",60107,14.11283,14.24877,14.56196,14.58858,"NAN",20.87417
"2022-01-13 10:53:00",60108,14.12542,14.18464,14.38772,14.43902,"NAN",20.87329
"2022-01-13 10:54:00",60109,14.18047,14.23523,14.38443,14.32784,"NAN",20.88616
"2022-01-13 10:55:00",60110,14.33149,14.31261,14.66137,14.68966,"NAN",20.89018
"2022-01-13 10:56:00",60111,14.35888,14.34834,14.56055,14.64156,"NAN",20.88617
"2022-01-13 10:57:00",60112,14.64979,14.67091,15.14673,15.1595,"NAN",20.89845
"2022-01-13 10:58:00",60113,15.02367,15.04327,15.13233,15.21504,"NAN",20.90316
"2022-01-13 10:59:00",60114,15.42102,15.39735,16.07542,16.00445,"NAN",20.905
