"TOA5","CR1000_Chambers","CR1000","72154","CR1000.Std.28","CPU:22JUL2021.CR1","60880","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-01-14 16:01:00",61856,7.694752,7.666873,7.747717,7.732816,"NAN",20.73977
"2022-01-14 16:02:00",61857,7.710214,7.579145,7.72197,7.760643,"NAN",20.74261
"2022-01-14 16:03:00",61858,7.65325,7.739946,7.713981,7.423135,"NAN",20.72669
"2022-01-14 16:04:00",61859,7.70161,7.650326,7.630738,7.708743,"NAN",20.72956
"2022-01-14 16:05:00",61860,7.733146,7.64175,7.640355,7.763704,"NAN",20.72695
"2022-01-14 16:06:00",61861,7.712559,7.73157,7.485051,7.574783,"NAN",20.71238
"2022-01-14 16:07:00",61862,8.011171,7.922655,7.716185,7.7118,"NAN",20.72448
"2022-01-14 16:08:00",61863,8.157696,7.920714,7.650297,7.826132,"NAN",20.74019
"2022-01-14 16:09:00",61864,8.091229,8.136648,8.26627,7.744264,"NAN",20.76083
"2022-01-14 16:10:00",61865,8.150772,7.877795,7.890553,7.979887,"NAN",20.73455
"2022-01-14 16:11:00",61866,8.168421,7.916254,7.324019,8.025989,"NAN",20.71304
"2022-01-14 16:12:00",61867,8.182174,8.238044,8.702707,7.495684,"NAN",20.79305
"2022-01-14 16:13:00",61868,8.329207,8.107591,8.453916,7.768805,"NAN",20.7772
"2022-01-14 16:14:00",61869,8.222964,8.068156,8.051936,7.981211,"NAN",20.74454
"2022-01-14 16:15:00",61870,7.899961,8.033252,8.378923,7.640267,"NAN",20.77332
"2022-01-14 16:16:00",61871,7.890542,7.934794,8.422338,7.709393,"NAN",20.78032
"2022-01-14 16:17:00",61872,7.859937,7.900561,7.567526,7.66178,"NAN",20.71077
"2022-01-14 16:18:00",61873,7.921659,7.736389,7.730855,7.961356,"NAN",20.71833
"2022-01-14 16:19:00",61874,7.858539,7.926991,7.89595,7.744131,"NAN",20.73974
"2022-01-14 16:20:00",61875,7.909688,7.856952,8.465673,8.150377,"NAN",20.78509
"2022-01-14 16:21:00",61876,7.91365,7.788247,8.379496,8.358315,"NAN",20.76968
"2022-01-14 16:22:00",61877,7.86155,8.087664,8.040119,7.247559,"NAN",20.74778
"2022-01-14 16:23:00",61878,7.905715,7.703496,7.696036,8.305188,"NAN",20.68225
"2022-01-14 16:24:00",61879,7.878043,7.942663,8.044958,7.762283,"NAN",20.74984
"2022-01-14 16:25:00",61880,7.872214,7.776027,7.602603,8.047144,"NAN",20.6912
"2022-01-14 16:26:00",61881,7.92646,7.661232,8.032434,8.418493,"NAN",20.70069
"2022-01-14 16:27:00",61882,7.923865,7.77143,8.351257,8.343851,"NAN",20.71206
"2022-01-14 16:28:00",61883,7.884902,7.693931,8.225415,8.343133,"NAN",20.70669
"2022-01-14 16:29:00",61884,7.946734,7.759273,8.185064,8.360042,"NAN",20.71169
"2022-01-14 16:30:00",61885,7.899014,7.684219,8.485901,8.749949,"NAN",20.73343
"2022-01-14 16:31:00",61886,7.807348,7.79402,8.014199,8.102675,"NAN",20.69796
"2022-01-14 16:32:00",61887,7.818606,7.737638,8.776567,8.381281,"NAN",20.77036
"2022-01-14 16:33:00",61888,7.794897,7.76259,8.830866,8.595162,"NAN",20.77906
"2022-01-14 16:34:00",61889,7.812219,7.505391,8.551473,8.936047,"NAN",20.72916
"2022-01-14 16:35:00",61890,7.812733,7.804049,7.99943,7.957305,"NAN",20.74511
"2022-01-14 16:36:00",61891,7.812869,7.488874,7.794573,8.049588,"NAN",20.67962
"2022-01-14 16:37:00",61892,7.800253,7.632895,8.200136,8.323323,"NAN",20.74861
"2022-01-14 16:38:00",61893,7.743693,7.41394,8.028681,8.348957,"NAN",20.72075
"2022-01-14 16:39:00",61894,7.781291,7.40316,7.587964,7.976073,"NAN",20.6676
"2022-01-14 16:40:00",61895,7.673769,7.710197,7.98088,7.621763,"NAN",20.73911
"2022-01-14 16:41:00",61896,7.686676,7.597281,8.108262,8.080855,"NAN",20.74786
"2022-01-14 16:42:00",61897,7.635457,7.631935,7.535605,7.528378,"NAN",20.70234
"2022-01-14 16:43:00",61898,7.64781,7.667807,7.789157,7.67092,"NAN",20.73936
"2022-01-14 16:44:00",61899,7.630118,7.701602,7.744557,7.633613,"NAN",20.72657
"2022-01-14 16:45:00",61900,7.61185,7.573668,7.571904,7.669214,"NAN",20.71179
"2022-01-14 16:46:00",61901,7.592771,7.741939,7.902347,7.22439,"NAN",20.76952
"2022-01-14 16:47:00",61902,7.584478,7.703719,7.740544,7.341574,"NAN",20.73696
"2022-01-14 16:48:00",61903,7.510024,7.564046,7.614536,7.46127,"NAN",20.70123
"2022-01-14 16:49:00",61904,7.452898,7.689553,7.526586,7.024814,"NAN",20.73762
"2022-01-14 16:50:00",61905,7.432871,7.394347,7.481822,7.694724,"NAN",20.70582
"2022-01-14 16:51:00",61906,7.417023,7.455436,7.507326,7.447474,"NAN",20.73645
"2022-01-14 16:52:00",61907,7.402774,7.495405,7.195296,7.186934,"NAN",20.70705
"2022-01-14 16:53:00",61908,7.496919,7.629882,7.922416,7.159079,"NAN",20.8006
"2022-01-14 16:54:00",61909,7.462576,7.577205,7.91585,7.40957,"NAN",20.78324
"2022-01-14 16:55:00",61910,7.449857,7.197771,7.285642,7.676792,"NAN",20.69755
"2022-01-14 16:56:00",61911,7.384057,7.453308,7.564264,7.232675,"NAN",20.71547
"2022-01-14 16:57:00",61912,7.384496,7.23292,7.211837,7.858658,"NAN",20.71549
"2022-01-14 16:58:00",61913,7.363259,7.563668,7.240224,7.165198,"NAN",20.69698
"2022-01-14 16:59:00",61914,7.276662,7.461328,7.34859,7.448026,"NAN",20.70298
"2022-01-14 17:00:00",61915,7.341187,7.314068,7.3428,7.579289,"NAN",20.72797
