"TOA5","CR1000_Chambers","CR1000","72154","CR1000.Std.28","CPU:22JUL2021.CR1","60880","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-01-11 01:01:00",56636,3.309529,3.185001,2.529413,2.319709,"NAN",20.51068
"2022-01-11 01:02:00",56637,3.394278,3.237953,2.462286,2.230584,"NAN",20.51779
"2022-01-11 01:03:00",56638,3.709593,3.549298,2.489705,2.2499,"NAN",20.53582
"2022-01-11 01:04:00",56639,3.602049,3.407138,2.534137,2.350871,"NAN",20.51928
"2022-01-11 01:05:00",56640,3.491868,3.383563,2.586044,2.459375,"NAN",20.51143
"2022-01-11 01:06:00",56641,3.445514,3.3091,2.539899,2.440171,"NAN",20.51662
"2022-01-11 01:07:00",56642,3.276881,3.190521,2.486224,2.347082,"NAN",20.51164
"2022-01-11 01:08:00",56643,3.234444,3.205015,2.526652,2.362184,"NAN",20.51168
"2022-01-11 01:09:00",56644,3.239543,3.200044,2.517961,2.336214,"NAN",20.51401
"2022-01-11 01:10:00",56645,3.254444,3.2174,2.58977,2.376027,"NAN",20.51883
"2022-01-11 01:11:00",56646,3.25523,3.249359,2.724296,2.588683,"NAN",20.51017
"2022-01-11 01:12:00",56647,3.269654,3.265613,2.71688,2.600787,"NAN",20.51619
"2022-01-11 01:13:00",56648,3.281636,3.255155,2.626951,2.518984,"NAN",20.49628
"2022-01-11 01:14:00",56649,3.306621,3.220955,2.50013,2.403232,"NAN",20.53073
"2022-01-11 01:15:00",56650,3.374203,3.235907,2.360886,2.236027,"NAN",20.5235
"2022-01-11 01:16:00",56651,3.107025,3.080486,2.190788,2.045196,"NAN",20.49194
"2022-01-11 01:17:00",56652,2.808478,2.847827,2.080473,1.848818,"NAN",20.48154
"2022-01-11 01:18:00",56653,2.660265,2.706319,2.041461,1.841491,"NAN",20.464
"2022-01-11 01:19:00",56654,2.583687,2.625205,2.034335,1.840254,"NAN",20.47003
"2022-01-11 01:20:00",56655,2.497247,2.463526,2.052412,1.885657,"NAN",20.47759
"2022-01-11 01:21:00",56656,2.372934,2.349848,2.014415,1.876113,"NAN",20.45889
"2022-01-11 01:22:00",56657,2.254481,2.231535,1.930377,1.76867,"NAN",20.4848
"2022-01-11 01:23:00",56658,2.281461,2.267537,1.83997,1.639466,"NAN",20.51758
"2022-01-11 01:24:00",56659,2.478469,2.340208,1.818877,1.543371,"NAN",20.53057
"2022-01-11 01:25:00",56660,2.461262,2.272443,1.843428,1.490105,"NAN",20.53643
"2022-01-11 01:26:00",56661,2.763366,2.497416,1.708568,1.409357,"NAN",20.50712
"2022-01-11 01:27:00",56662,3.002938,2.711205,2.046968,1.897085,"NAN",20.55256
"2022-01-11 01:28:00",56663,3.346363,3.133188,2.135779,2.038851,"NAN",20.53686
"2022-01-11 01:29:00",56664,2.963809,2.767015,2.145727,2.097021,"NAN",20.54535
"2022-01-11 01:30:00",56665,2.864867,2.689786,2.167188,2.060144,"NAN",20.53268
"2022-01-11 01:31:00",56666,2.771812,2.649915,2.171709,2.0814,"NAN",20.53317
"2022-01-11 01:32:00",56667,2.623197,2.483802,2.165734,2.096243,"NAN",20.53422
"2022-01-11 01:33:00",56668,2.779236,2.450569,2.162271,2.121537,"NAN",20.52918
"2022-01-11 01:34:00",56669,2.836315,2.442087,2.195891,2.091197,"NAN",20.52289
"2022-01-11 01:35:00",56670,3.149815,2.629497,2.588804,2.225955,"NAN",20.51473
"2022-01-11 01:36:00",56671,3.292637,2.853325,2.654905,2.233485,"NAN",20.46323
"2022-01-11 01:37:00",56672,3.582669,3.035943,2.70929,2.353264,"NAN",20.47369
"2022-01-11 01:38:00",56673,3.744444,3.342202,3.117146,2.686585,"NAN",20.45915
"2022-01-11 01:39:00",56674,4.255139,3.915478,3.434248,3.054892,"NAN",20.47312
"2022-01-11 01:40:00",56675,4.385298,4.134952,3.630673,3.484172,"NAN",20.48154
"2022-01-11 01:41:00",56676,4.251088,4.051432,3.339498,3.290695,"NAN",20.47699
"2022-01-11 01:42:00",56677,3.967404,3.834704,2.952368,2.897044,"NAN",20.47816
"2022-01-11 01:43:00",56678,3.686038,3.58002,2.779866,2.705005,"NAN",20.46761
"2022-01-11 01:44:00",56679,3.517436,3.377949,2.718422,2.609892,"NAN",20.49671
"2022-01-11 01:45:00",56680,3.34754,3.220045,2.640325,2.490063,"NAN",20.47869
"2022-01-11 01:46:00",56681,3.315827,3.196713,2.595577,2.429828,"NAN",20.48047
"2022-01-11 01:47:00",56682,3.373273,3.174405,2.663943,2.422822,"NAN",20.49793
"2022-01-11 01:48:00",56683,3.62582,3.333432,2.812171,2.464079,"NAN",20.49144
"2022-01-11 01:49:00",56684,3.800567,3.510898,2.845124,2.489748,"NAN",20.48738
"2022-01-11 01:50:00",56685,3.85119,3.564418,2.951158,2.613132,"NAN",20.49643
"2022-01-11 01:51:00",56686,3.94507,3.646661,3.134718,2.925364,"NAN",20.47705
"2022-01-11 01:52:00",56687,4.030425,3.763316,3.142314,2.986535,"NAN",20.48789
"2022-01-11 01:53:00",56688,4.036494,3.809829,3.024349,2.919119,"NAN",20.47898
"2022-01-11 01:54:00",56689,3.805573,3.677956,2.822648,2.673047,"NAN",20.48634
"2022-01-11 01:55:00",56690,3.688812,3.580343,2.519054,2.40455,"NAN",20.45593
"2022-01-11 01:56:00",56691,3.712439,3.580845,2.221025,2.008803,"NAN",20.48139
"2022-01-11 01:57:00",56692,3.450431,3.443701,2.008628,1.781266,"NAN",20.43742
"2022-01-11 01:58:00",56693,3.045554,3.064954,2.077642,1.865679,"NAN",20.45365
"2022-01-11 01:59:00",56694,2.9327,2.910528,2.096686,1.912382,"NAN",20.43906
"2022-01-11 02:00:00",56695,2.888099,2.857559,2.025207,1.865754,"NAN",20.44561
