timestamp,RECORD,FlowMeter(1),FlowMeter(2)
2021-04-01 00:00:30,2217663,8.154526,3.017543
2021-04-01 00:00:32,2217664,8.151798,2.928891
2021-04-01 00:00:34,2217665,8.146342,3.007314
2021-04-01 00:00:36,2217666,8.221354,2.84706
2021-04-01 00:00:38,2217667,8.185894,3.010723
2021-04-01 00:00:40,2217668,8.196805,3.010723
2021-04-01 00:00:42,2217669,8.189986,3.048229
2021-04-01 00:00:44,2217670,8.218627,3.003904
2021-04-01 00:00:46,2217671,8.187259,2.932301
2021-04-01 00:00:48,2217672,8.170892,2.990265
2021-04-01 00:00:50,2217673,8.200897,2.85047
2021-04-01 00:00:52,2217674,8.203625,3.065278
2021-04-01 00:00:54,2217675,8.232266,3.085736
2021-04-01 00:00:56,2217676,8.240449,2.932301
2021-04-01 00:00:58,2217677,8.248632,3.04482
2021-04-01 00:01:00,2217678,8.226811,2.990265
2021-04-01 00:01:02,2217679,8.263635,3.068687
2021-04-01 00:01:04,2217680,8.229539,3.034591
2021-04-01 00:01:06,2217681,8.252724,3.058459
2021-04-01 00:01:08,2217682,8.236358,3.017543
2021-04-01 00:01:10,2217683,8.230902,2.990265
2021-04-01 00:01:12,2217684,8.233629,2.993675
2021-04-01 00:01:14,2217685,8.211808,2.983446
2021-04-01 00:01:16,2217686,8.232266,3.038
2021-04-01 00:01:18,2217687,8.270453,2.983446
2021-04-01 00:01:20,2217688,8.241813,2.911843
2021-04-01 00:01:22,2217689,8.248632,3.024362
2021-04-01 00:01:24,2217690,8.247268,2.857289
2021-04-01 00:01:26,2217691,8.290912,2.990265
2021-04-01 00:01:28,2217692,8.239085,2.881156
2021-04-01 00:01:30,2217693,8.249996,3.061868
2021-04-01 00:01:32,2217694,8.249996,3.072097
2021-04-01 00:01:34,2217695,8.29773,2.870928
2021-04-01 00:01:36,2217696,8.260906,3.038
2021-04-01 00:01:38,2217697,8.264998,2.911843
2021-04-01 00:01:40,2217698,8.270453,3.092555
2021-04-01 00:01:42,2217699,8.255451,3.034591
2021-04-01 00:01:44,2217700,8.24454,2.905024
2021-04-01 00:01:46,2217701,8.277273,3.048229
2021-04-01 00:01:48,2217702,8.248632,3.014133
2021-04-01 00:01:50,2217703,8.255451,2.959579
2021-04-01 00:01:52,2217704,8.239085,3.017543
2021-04-01 00:01:54,2217705,8.243177,3.04482
2021-04-01 00:01:56,2217706,8.210443,3.031181
2021-04-01 00:01:58,2217707,8.245905,2.840241
2021-04-01 00:02:00,2217708,8.230902,2.993675
2021-04-01 00:02:02,2217709,8.254567,3.017718
2021-04-01 00:02:04,2217710,8.260023,2.997258
2021-04-01 00:02:06,2217711,8.240927,2.809717
2021-04-01 00:02:08,2217712,8.234108,3.021127
2021-04-01 00:02:10,2217713,8.22456,3.041587
2021-04-01 00:02:12,2217714,8.260023,2.990439
2021-04-01 00:02:14,2217715,8.189097,2.987029
2021-04-01 00:02:16,2217716,8.253202,3.062046
2021-04-01 00:02:18,2217717,8.215013,3.051816
2021-04-01 00:02:20,2217718,8.205465,3.055226
2021-04-01 00:02:22,2217719,8.209557,2.987029
2021-04-01 00:02:24,2217720,8.228652,3.068866
2021-04-01 00:02:26,2217721,8.249111,3.062046
2021-04-01 00:02:28,2217722,8.288666,2.97339
2021-04-01 00:02:30,2217723,8.266842,3.065456
2021-04-01 00:02:32,2217724,8.284574,2.877914
2021-04-01 00:02:34,2217725,8.27639,3.044997
2021-04-01 00:02:36,2217726,8.273662,3.062046
2021-04-01 00:02:38,2217727,8.288666,2.836996
2021-04-01 00:02:40,2217728,8.269569,3.004078
2021-04-01 00:02:42,2217729,8.27639,3.017718
2021-04-01 00:02:44,2217730,8.265478,2.867684
2021-04-01 00:02:46,2217731,8.285937,2.983619
2021-04-01 00:02:48,2217732,8.240927,3.014308
2021-04-01 00:02:50,2217733,8.253202,2.850635
2021-04-01 00:02:52,2217734,8.277753,3.014308
2021-04-01 00:02:54,2217735,8.324127,2.823356
2021-04-01 00:02:56,2217736,8.303668,2.990439
2021-04-01 00:02:58,2217737,8.280482,2.871094
2021-04-01 00:03:00,2217738,8.264114,3.072275
2021-04-01 00:03:02,2217739,8.280482,3.065456
2021-04-01 00:03:04,2217740,8.287301,2.823356
2021-04-01 00:03:06,2217741,8.25184,3.065456
2021-04-01 00:03:08,2217742,8.27639,3.014308
2021-04-01 00:03:10,2217743,8.247747,3.034767
2021-04-01 00:03:12,2217744,8.240927,2.949521
2021-04-01 00:03:14,2217745,8.285937,3.034767
2021-04-01 00:03:16,2217746,8.253202,3.038177
2021-04-01 00:03:18,2217747,8.264114,3.021127
2021-04-01 00:03:20,2217748,8.247747,3.034767
2021-04-01 00:03:22,2217749,8.245019,3.048406
2021-04-01 00:03:24,2217750,8.257295,3.092734
2021-04-01 00:03:26,2217751,8.232743,3.055226
2021-04-01 00:03:28,2217752,8.277753,2.877914
2021-04-01 00:03:30,2217753,8.258658,3.034767
2021-04-01 00:03:32,2217754,8.265478,3.044997
2021-04-01 00:03:34,2217755,8.253202,2.888143
2021-04-01 00:03:36,2217756,8.260023,3.010898
2021-04-01 00:03:38,2217757,8.258658,3.010898
2021-04-01 00:03:40,2217758,8.255931,3.051816
2021-04-01 00:03:42,2217759,8.28321,2.874504
2021-04-01 00:03:44,2217760,8.290029,3.065456
2021-04-01 00:03:46,2217761,8.262751,3.027947
2021-04-01 00:03:48,2217762,8.28321,2.915422
2021-04-01 00:03:50,2217763,8.273662,2.96316
2021-04-01 00:03:52,2217764,8.269569,2.95634
2021-04-01 00:03:54,2217765,8.289848,2.874441
2021-04-01 00:03:56,2217766,8.296667,2.925588
2021-04-01 00:03:58,2217767,8.269389,2.986964
2021-04-01 00:04:00,2217768,8.285756,2.983554
2021-04-01 00:04:02,2217769,8.304851,3.051749
2021-04-01 00:04:04,2217770,8.272118,3.007422
2021-04-01 00:04:06,2217771,8.313035,2.860802
2021-04-01 00:04:08,2217772,8.283029,3.014242
2021-04-01 00:04:10,2217773,8.27621,3.065389
2021-04-01 00:04:12,2217774,8.298032,2.956276
2021-04-01 00:04:14,2217775,8.306215,3.04834
2021-04-01 00:04:16,2217776,8.296667,3.024471
2021-04-01 00:04:18,2217777,8.321218,3.055159
2021-04-01 00:04:20,2217778,8.266662,2.969915
2021-04-01 00:04:22,2217779,8.296667,3.04493
2021-04-01 00:04:24,2217780,8.315763,3.014242
2021-04-01 00:04:26,2217781,8.27621,3.04834
2021-04-01 00:04:28,2217782,8.300759,2.857392
2021-04-01 00:04:30,2217783,8.266662,3.024471
2021-04-01 00:04:32,2217784,8.250295,2.976735
2021-04-01 00:04:34,2217785,8.283029,3.072208
2021-04-01 00:04:36,2217786,8.303487,3.04493
2021-04-01 00:04:38,2217787,8.277573,3.058569
2021-04-01 00:04:40,2217788,8.2803,2.898309
2021-04-01 00:04:42,2217789,8.281665,3.075618
2021-04-01 00:04:44,2217790,8.318491,3.082437
2021-04-01 00:04:46,2217791,8.288484,2.898309
2021-04-01 00:04:48,2217792,8.265297,3.082437
2021-04-01 00:04:50,2217793,8.27621,2.980144
2021-04-01 00:04:52,2217794,8.269389,2.952866
2021-04-01 00:04:54,2217795,8.285756,3.021062
2021-04-01 00:04:56,2217796,8.27621,3.017652
2021-04-01 00:04:58,2217797,8.285756,2.990373
2021-04-01 00:05:00,2217798,8.298032,2.833524
2021-04-01 00:05:02,2217799,8.263934,3.04493
2021-04-01 00:05:04,2217800,8.289848,2.946046
2021-04-01 00:05:06,2217801,8.291212,2.946046
2021-04-01 00:05:08,2217802,8.298032,2.833524
2021-04-01 00:05:10,2217803,8.277573,3.021062
2021-04-01 00:05:12,2217804,8.262569,3.031291
2021-04-01 00:05:14,2217805,8.2803,2.833524
2021-04-01 00:05:16,2217806,8.288484,3.034701
2021-04-01 00:05:18,2217807,8.266662,2.986964
2021-04-01 00:05:20,2217808,8.300759,2.959686
