timestamp,RECORD,TcRafat_Avg(1),TcRafat_Avg(2),TcRafat_Avg(3),TcRafat_Avg(4),TcRafat_Avg(5),TcRafat_Avg(6)
2021-03-03 01:09:00,32230,4.345579,4.913388,4.241496,3.770051,,19.27271
2021-03-03 01:10:00,32231,4.395204,4.979799,4.218304,3.828947,,19.19176
2021-03-03 01:11:00,32232,4.381087,4.935678,4.323806,3.807765,,19.20994
2021-03-03 01:12:00,32233,4.413272,4.938771,4.38114,3.865997,,19.31428
2021-03-03 01:13:00,32234,4.296438,4.561473,3.618836,3.660444,,19.27164
2021-03-03 01:14:00,32235,4.386424,4.666399,3.502805,3.573857,,19.2364
2021-03-03 01:15:00,32236,4.249381,4.501292,3.509299,3.572391,,19.17432
2021-03-03 01:16:00,32237,3.920438,4.151293,3.510308,3.564782,,19.21416
2021-03-03 01:17:00,32238,3.740002,3.982006,3.504342,3.550796,,19.30845
2021-03-03 01:18:00,32239,3.665329,3.92225,3.501596,3.542339,,19.23348
2021-03-03 01:19:00,32240,3.73665,4.004376,3.503401,3.508071,,19.14702
2021-03-03 01:20:00,32241,3.668785,3.947434,3.51591,3.484796,,19.29586
2021-03-03 01:21:00,32242,3.553863,3.842816,3.712273,3.343896,,19.18159
2021-03-03 01:22:00,32243,3.534117,3.766503,3.675728,3.291893,,19.21598
2021-03-03 01:23:00,32244,3.460043,3.77774,3.660897,3.296906,,19.24711
2021-03-03 01:24:00,32245,3.431987,3.773814,3.638337,3.296734,,19.23367
2021-03-03 01:25:00,32246,3.457888,3.853298,3.576664,3.151184,,19.16211
2021-03-03 01:26:00,32247,3.509049,3.97055,3.597398,3.175875,,19.2348
2021-03-03 01:27:00,32248,3.609139,4.113791,3.594093,3.183532,,19.23779
2021-03-03 01:28:00,32249,3.51145,4.109026,3.674442,3.219482,,19.25688
2021-03-03 01:29:00,32250,3.595808,3.927041,3.726593,3.339298,,19.26283
2021-03-03 01:30:00,32251,3.703239,4.017228,3.647562,3.340453,,19.21963
2021-03-03 01:31:00,32252,3.771819,4.020326,3.611516,3.285882,,19.19111
2021-03-03 01:32:00,32253,3.675022,3.89305,3.493576,3.165534,,19.19698
2021-03-03 01:33:00,32254,3.597638,3.857564,3.447767,3.08325,,19.22589
2021-03-03 01:34:00,32255,3.580861,3.833886,3.494305,3.146456,,19.17752
2021-03-03 01:35:00,32256,3.479001,3.722538,3.442034,3.151395,,19.22468
2021-03-03 01:36:00,32257,3.465673,3.733111,3.456518,3.090676,,19.16001
2021-03-03 01:37:00,32258,3.446416,3.725998,3.460786,3.131881,,19.14531
2021-03-03 01:38:00,32259,3.29256,3.574358,3.360596,3.054035,,19.174
2021-03-03 01:39:00,32260,3.285308,3.555052,3.284988,2.973119,,19.19756
2021-03-03 01:40:00,32261,3.319936,3.60362,3.266348,2.970275,,19.12619
2021-03-03 01:41:00,32262,3.3027,3.578516,3.277903,2.950419,,19.12326
2021-03-03 01:42:00,32263,3.520329,3.814816,3.272928,2.8893,,19.18601
2021-03-03 01:43:00,32264,3.58076,3.85971,3.352888,2.940157,,19.21605
2021-03-03 01:44:00,32265,3.547926,3.855876,3.631982,3.153689,,19.21718
2021-03-03 01:45:00,32266,3.477137,4.111593,3.838219,3.415987,,19.20065
2021-03-03 01:46:00,32267,3.624502,4.135666,3.888598,3.509753,,19.12153
2021-03-03 01:47:00,32268,3.586053,4.388135,3.933886,3.535268,,19.12675
2021-03-03 01:48:00,32269,3.719745,4.545834,4.061705,3.589355,,19.13889
2021-03-03 01:49:00,32270,3.749748,4.621174,4.171715,3.771149,,19.12908
2021-03-03 01:50:00,32271,3.97787,4.65447,4.110099,3.767247,,19.20261
2021-03-03 01:51:00,32272,3.919364,4.637246,4.152815,3.801987,,19.13238
2021-03-03 01:52:00,32273,3.676082,4.702877,4.251136,3.979496,,19.12771
2021-03-03 01:53:00,32274,3.655049,4.768768,4.294725,3.858822,,19.04535
2021-03-03 01:54:00,32275,3.835334,4.795558,4.300818,3.781918,,19.10237
2021-03-03 01:55:00,32276,3.857206,4.83758,4.393345,3.950052,,19.12208
2021-03-03 01:56:00,32277,3.993659,4.773696,4.391151,4.022501,,19.16916
2021-03-03 01:57:00,32278,3.913078,4.816918,4.357673,3.926962,,19.11324
2021-03-03 01:58:00,32279,4.057772,4.84214,4.416,4.017607,,19.21677
2021-03-03 01:59:00,32280,4.088682,4.752178,4.471651,3.915427,,19.21346
2021-03-03 02:00:00,32281,4.137392,4.685045,4.412843,3.964215,,19.09521
2021-03-03 02:03:00,32284,3.726839,3.778667,4.307234,4.008503,,19.13904
2021-03-03 02:04:00,32285,3.7296,3.795738,4.229975,3.925579,,19.16327
2021-03-03 02:05:00,32286,3.72422,3.794943,4.139611,3.844791,,19.05586
2021-03-03 02:06:00,32287,3.722079,3.805564,4.085661,3.758562,,19.03567
2021-03-03 02:07:00,32288,3.717986,3.794289,4.162366,3.68388,,19.07551
2021-03-03 02:08:00,32289,3.70805,3.800951,4.070702,3.683473,,19.13982
2021-03-03 02:09:00,32290,4.106487,4.447866,4.071854,3.615458,,19.08006
2021-03-03 02:10:00,32291,3.920594,4.282308,3.942177,3.647702,,19.08411
2021-03-03 02:11:00,32292,3.91393,4.256519,3.852082,3.545105,,19.07268
