timestamp,temp.air.ambient.c,par.ambient.umol_m2_s,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol
2021-03-25 00:03:08,8.047064,-3.647035,10.50267,406.6599
2021-03-25 00:03:10,8.043722,-4.376442,10.50267,406.1689
2021-03-25 00:03:12,8.035114,-3.647035,10.48903,406.0052
2021-03-25 00:03:14,8.029848,-3.282332,10.50267,405.2413
2021-03-25 00:03:16,8.036228,-3.282332,10.47539,406.6326
2021-03-25 00:03:18,8.044836,-4.011738,10.48903,405.405
2021-03-25 00:03:20,8.063134,-3.647035,10.51631,406.3052
2021-03-25 00:03:22,8.02428,-3.647035,10.46175,406.3598
2021-03-25 00:03:24,8.043722,-3.282332,10.48903,405.9233
2021-03-25 00:03:26,8.054526,-3.647035,10.51631,406.7144
2021-03-25 00:03:28,8.053443,-3.647035,10.50267,406.0324
2021-03-25 00:03:30,8.088956,-3.647035,10.50267,405.7051
2021-03-25 00:03:32,8.036228,-3.647035,10.50267,405.8688
2021-03-25 00:03:34,8.050103,-4.011738,10.50267,405.3232
2021-03-25 00:03:36,8.035114,-4.011738,10.48903,405.1868
2021-03-25 00:03:38,8.043722,-4.011738,10.51631,406.6326
2021-03-25 00:03:40,8.03397,-4.741146,10.47539,405.5959
2021-03-25 00:03:42,8.043722,-4.011738,10.50267,405.8961
2021-03-25 00:03:44,8.03397,-4.011738,10.50267,406.0324
2021-03-25 00:03:46,8.035114,-4.011738,10.50267,406.1961
2021-03-25 00:03:48,8.05233,-4.011738,10.51631,405.7596
2021-03-25 00:03:50,8.070658,-4.376442,10.50267,406.2507
2021-03-25 00:03:52,8.03397,-4.011738,10.50267,405.5414
2021-03-25 00:03:54,8.052299,-4.011738,10.51673,405.8437
2021-03-25 00:03:56,8.065564,-4.011738,10.51673,405.0799
2021-03-25 00:03:58,8.06205,-3.282332,10.53037,404.998
2021-03-25 00:04:00,8.06205,-3.647035,10.50309,406.2529
2021-03-25 00:04:02,8.059823,-3.282332,10.53037,405.0799
2021-03-25 00:04:04,8.052299,-2.917628,10.53037,406.6894
2021-03-25 00:04:06,8.071975,-3.647035,10.51673,405.2163
2021-03-25 00:04:08,8.060906,-3.647035,10.53037,405.7073
2021-03-25 00:04:10,8.052299,-3.282332,10.51673,405.3254
2021-03-25 00:04:12,8.025393,-2.917628,10.54402,405.4891
2021-03-25 00:04:14,8.060906,-3.647035,10.54402,406.062
2021-03-25 00:04:16,8.059823,-4.011738,10.53037,406.1438
2021-03-25 00:04:18,8.059823,-3.282332,10.51673,406.0893
