timestamp,temp.air.ambient.c,par.ambient.umol_m2_s,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol
2021-03-02 00:00:00,5.322643,-1.823339,8.471552,415.5079
2021-03-02 00:00:02,5.340959,-2.188007,8.498837,414.4438
2021-03-02 00:00:04,5.340959,-2.188007,8.485194,414.744
2021-03-02 00:00:06,5.34961,-2.188007,8.498837,416.0263
2021-03-02 00:00:08,5.357246,-2.188007,8.485194,414.8804
2021-03-02 00:00:10,5.348596,-1.458671,8.485194,415.2623
2021-03-02 00:00:12,5.367865,-1.458671,8.485194,414.2256
2021-03-02 00:00:14,5.368895,-1.823339,8.498837,414.6621
2021-03-02 00:00:20,5.367865,-1.458671,8.621613,416.0808
2021-03-02 00:00:22,5.388801,-1.823339,8.67618,415.5624
2021-03-02 00:00:24,5.403495,-1.823339,8.648896,414.2801
2021-03-02 00:00:26,5.393816,-1.823339,8.67618,414.7712
2021-03-02 00:00:28,5.385165,-1.823339,8.662538,414.6075
2021-03-02 00:00:30,5.412145,-1.823339,8.67618,415.0714
2021-03-02 00:00:32,5.352216,-1.823339,8.607971,414.3893
2021-03-02 00:00:34,5.367865,-1.094004,8.621613,414.5529
2021-03-02 00:00:36,5.376515,-1.458671,8.567045,414.6621
2021-03-02 00:00:38,5.357246,-1.458671,8.567045,414.2801
2021-03-02 00:00:40,5.34961,-2.188007,8.539762,414.6621
2021-03-02 00:00:42,5.375561,-2.188007,8.526119,414.4984
2021-03-02 00:00:44,5.394845,-2.188007,8.539762,414.1983
2021-03-02 00:00:46,5.374547,-2.188007,8.539762,415.3715
2021-03-02 00:00:48,5.355202,-2.188007,8.498837,414.4165
2021-03-02 00:00:50,5.384212,-2.188007,8.512478,414.5802
2021-03-02 00:00:52,5.365897,-1.823339,8.498837,415.6443
2021-03-02 00:00:54,5.384212,-1.823339,8.512478,414.1164
2021-03-02 00:00:56,5.388801,-2.188007,8.526119,414.1437
2021-03-02 00:00:58,5.372503,-1.823339,8.498837,415.1259
2021-03-02 00:01:00,5.3532,-1.823339,8.512478,414.8804
2021-03-02 00:01:02,5.383197,-1.823339,8.498837,414.9895
2021-03-02 00:01:04,5.356216,-1.458671,8.498837,414.2801
2021-03-02 00:01:06,5.414751,-2.552675,8.512478,414.8804
2021-03-02 00:01:08,5.418811,-2.188007,8.512478,414.9895
2021-03-02 00:01:10,5.416767,-2.552675,8.539762,414.3893
2021-03-02 00:01:12,5.390818,-1.823339,8.539762,414.4984
2021-03-02 00:01:14,5.409147,-1.823339,8.539762,414.8804
2021-03-02 00:01:16,5.401511,-1.823339,8.512478,414.8258
2021-03-02 00:01:18,5.409147,-2.188007,8.526119,415.0441
2021-03-02 00:01:20,5.426446,-1.823339,8.539762,414.2801
2021-03-02 00:01:22,5.417797,-1.823339,8.526119,414.7712
2021-03-02 00:01:24,5.400497,-2.917343,8.526119,414.7985
