timestamp,temp.air.ambient.c,par.ambient.umol_m2_s,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol
2021-03-06 00:00:00,5.928297,-2.5527,8.757827,411.2775
2021-03-06 00:00:02,5.920697,-2.188029,8.730543,410.4044
2021-03-06 00:00:04,5.972544,-2.188029,8.730543,410.7318
2021-03-06 00:00:06,5.980143,-2.5527,8.744185,409.2586
2021-03-06 00:00:08,5.99444,-2.188029,8.744185,411.2502
2021-03-06 00:00:10,5.946621,-2.5527,8.757827,410.9774
2021-03-06 00:00:12,5.946621,-1.823357,8.757827,410.9501
2021-03-06 00:00:14,5.912055,-2.5527,8.771468,410.4044
2021-03-06 00:00:16,5.93798,-1.823357,8.757827,410.9228
2021-03-06 00:00:22,5.981185,-1.823357,8.866959,410.3499
2021-03-06 00:00:24,5.980143,-1.823357,8.894241,410.7318
2021-03-06 00:00:26,6.007143,-2.188021,8.907418,411.3289
2021-03-06 00:00:28,6.007143,-1.823351,8.907418,409.9648
2021-03-06 00:00:30,6.032065,-1.823351,8.92106,411.0833
2021-03-06 00:00:32,6.01678,-2.917361,8.907418,410.8378
2021-03-06 00:00:34,6.01678,-2.188021,8.866496,410.6468
2021-03-06 00:00:36,6.024423,-1.823351,8.880136,410.4286
2021-03-06 00:00:38,6.057984,-2.188021,8.893778,410.1285
2021-03-06 00:00:40,6.023426,-2.188021,8.866496,410.6196
2021-03-06 00:00:42,6.084899,-1.823351,8.852855,411.5744
2021-03-06 00:00:44,6.056988,-2.552691,8.866496,410.3467
2021-03-06 00:00:46,6.074267,-2.552691,8.893778,410.0466
2021-03-06 00:00:48,6.056988,-2.552691,8.880136,410.2376
2021-03-06 00:00:50,6.057984,-2.188021,8.839214,410.7832
2021-03-06 00:00:52,6.083901,-2.552691,8.852855,411.1106
2021-03-06 00:00:54,6.050342,-2.552691,8.839214,410.0739
2021-03-06 00:00:56,6.084899,-2.552691,8.852855,410.2376
2021-03-06 00:00:58,6.057984,-2.552691,8.839214,410.3467
2021-03-06 00:01:00,6.07626,-2.188021,8.866496,409.8557
2021-03-06 00:01:02,6.131097,-2.552691,8.852855,410.1012
2021-03-06 00:01:04,6.065628,-2.188021,8.866496,410.4013
2021-03-06 00:01:06,6.066623,-2.552691,8.880136,410.3467
2021-03-06 00:01:08,6.061646,-2.552691,8.880136,410.5377
2021-03-06 00:01:10,6.057984,-2.188021,8.880136,410.6741
2021-03-06 00:01:12,6.07626,-2.552691,8.866496,410.4832
2021-03-06 00:01:14,6.128092,-2.188021,8.866496,410.4013
2021-03-06 00:01:16,6.109818,-2.188021,8.893778,410.2376
2021-03-06 00:01:18,6.145368,-2.188021,8.880136,410.6741
2021-03-06 00:01:20,6.128092,-1.458681,8.880136,410.4013
2021-03-06 00:01:22,6.109818,-1.823351,8.893778,410.756
2021-03-06 00:01:24,6.091545,-1.823351,8.893778,410.7287
2021-03-06 00:01:26,6.16364,-1.823351,8.893778,411.6017
2021-03-06 00:01:28,6.129714,-1.823351,8.866496,410.7832
2021-03-06 00:01:30,6.112437,-2.188021,8.880136,410.5104
2021-03-06 00:01:32,6.090549,-2.552691,8.893778,409.6374
2021-03-06 00:01:34,6.117461,-2.188021,8.880136,410.8105
2021-03-06 00:01:36,6.108822,-2.917361,8.907418,409.7466
2021-03-06 00:01:38,6.099188,-2.552691,8.9347,411.0015
2021-03-06 00:01:40,6.112437,-2.917361,8.92106,411.3289
2021-03-06 00:01:42,6.082906,-2.188021,8.92106,409.9102
2021-03-06 00:01:44,6.064632,-2.552691,8.92106,410.4559
2021-03-06 00:01:46,6.08191,-2.552691,8.893778,410.0739
2021-03-06 00:01:48,6.102177,-1.823351,8.92106,410.4559
2021-03-06 00:01:50,6.102177,-2.917361,8.94834,410.7832
2021-03-06 00:01:52,6.074267,-2.917361,8.9347,410.0193
2021-03-06 00:01:54,6.109818,-2.552691,8.9347,410.2376
2021-03-06 00:01:56,6.040705,-2.917361,8.92106,409.9648
2021-03-06 00:01:58,6.101179,-2.552691,8.9347,410.6196
2021-03-06 00:02:00,6.100183,-2.188021,8.9347,409.692
2021-03-06 00:02:02,6.064632,-1.823351,8.92106,410.0739
2021-03-06 00:02:04,6.02243,-2.552691,8.94834,411.2197
2021-03-06 00:02:06,6.02243,-2.188021,8.92106,410.6468
2021-03-06 00:02:08,6.024423,-2.917361,8.92106,410.0193
2021-03-06 00:02:10,6.006145,-2.552691,8.92106,409.9648
2021-03-06 00:02:12,6.005149,-2.188021,8.92106,411.1652
2021-03-06 00:02:14,6.056988,-1.823351,8.92106,410.9469
2021-03-06 00:02:16,5.979228,-2.552691,8.92106,410.6741
2021-03-06 00:02:18,6.005125,-2.188024,8.893406,410.5897
2021-03-06 00:02:20,5.979203,-2.552694,8.893406,410.7261
2021-03-06 00:02:22,5.98887,-2.188024,8.893406,411.1081
2021-03-06 00:02:24,5.931003,-2.917365,8.920686,411.2718
2021-03-06 00:02:26,5.857224,-2.917365,8.879766,411.6537
2021-03-06 00:02:28,5.892789,-2.188024,8.893406,410.9989
2021-03-06 00:02:30,5.840935,-2.552694,8.907046,410.7807
2021-03-06 00:02:32,5.884147,-2.552694,8.907046,411.1081
2021-03-06 00:02:34,5.849577,-1.823353,8.920686,411.0535
2021-03-06 00:02:36,5.815006,-2.188024,8.893406,411.8719
2021-03-06 00:02:38,5.789075,-2.188024,8.907046,412.0356
2021-03-06 00:02:40,5.753503,-2.188024,8.920686,411.2172
2021-03-06 00:02:42,5.719921,-2.917365,8.920686,411.1081
2021-03-06 00:02:44,5.725579,-2.188024,8.920686,411.7628
2021-03-06 00:02:46,5.666072,-1.823353,8.907046,412.0901
2021-03-06 00:02:48,5.622842,-2.188024,8.920686,411.981
2021-03-06 00:02:50,5.62482,-1.823353,8.920686,412.6358
2021-03-06 00:02:52,5.59888,-1.823353,8.907046,413.2359
2021-03-06 00:02:54,5.590233,-1.823353,8.893406,413.1268
2021-03-06 00:02:56,5.555645,-1.823353,8.893406,412.4448
2021-03-06 00:02:58,5.529702,-1.823353,8.893406,413.2905
2021-03-06 00:03:00,5.503757,-2.188024,8.866125,414.1362
