timestamp,RECORD,batt_volt,PTemp,TcRafat(1),TcRafat(2),TcRafat(3),TcRafat(4),TcRafat(5),TcRafat(6)
2020-08-15 00:19:34,55381,12.55942,26.15964,17.23353,18.59399,18.07189,17.99441,21.78221,26.56192
2020-08-15 00:19:36,55382,12.51498,26.15964,17.21641,18.55753,18.10568,18.03809,21.73333,26.72083
2020-08-15 00:19:38,55383,12.53165,26.15964,17.21641,18.59542,18.12401,17.96906,21.68855,26.72224
2020-08-15 00:19:40,55384,12.55942,26.15964,17.21641,18.59542,18.07189,17.97751,21.6732,26.66273
2020-08-15 00:19:42,55385,12.55387,26.15964,17.24179,18.62918,18.09723,18.00429,21.79898,26.71253
2020-08-15 00:19:44,55386,12.55387,26.15964,17.23333,18.61661,18.14935,17.98596,21.77668,26.67243
2020-08-15 00:19:46,55387,12.54831,26.15964,17.19804,18.61661,18.19015,17.96906,21.74171,26.64494
2020-08-15 00:19:48,55388,12.53165,26.15964,17.24059,18.49831,18.08735,17.95631,21.77542,26.61857
2020-08-15 00:19:50,55389,12.51498,26.15964,17.25186,18.44637,18.10281,18.01011,21.81718,26.65324
2020-08-15 00:19:52,55390,12.51498,26.15964,17.26159,18.49971,18.08592,18.00286,21.88839,26.67103
2020-08-15 00:19:54,55391,12.45388,26.15964,17.29257,18.38175,18.0789,17.97481,21.77241,26.57971
2020-08-15 00:19:56,55392,12.54831,26.15964,17.26718,18.42373,18.05355,17.94227,21.82971,26.62811
2020-08-15 00:19:58,55393,12.69829,26.15964,17.24612,18.39841,18.01692,17.95216,21.8411,26.59513
2020-08-15 00:20:00,55394,12.55387,26.15964,17.29113,18.397,18.01011,17.98616,21.77102,26.67654
2020-08-15 00:20:02,55395,12.5372,26.15964,17.24882,18.45049,18.00988,17.95073,21.79202,26.63504
2020-08-15 00:20:04,55396,12.52609,26.13027,17.25872,18.46617,18.06902,17.99298,21.77383,26.59913
2020-08-15 00:20:06,55397,12.52609,26.15964,17.28267,18.36337,17.96763,17.95073,21.75564,26.64612
