"TOA5","CR1000_Chambers","CR1000","72154","CR1000.Std.28","CPU:22JUL2021.CR1","60880","Data_dropbox"
"TIMESTAMP","RECORD","batt_volt","PTemp","H2o_6262_mmol_mol","Co2_6262_micmol_mol","H2o_7000_mmol_mol","Co2_7000_micmol_mol","Temp_6262","Temp_7000","Prees_7000","H2o_Flux","Co2_Flux","PAR","AirFlow_Sam","AirFlow_Amb","Ambient_RH","Ambient_TempAir","Tc(1)","Tc(2)","Tc(3)","Tc(4)","Tc(5)","Tc(6)","Tc(7)","Tc(8)","Tc(9)","Tc(10)","Tc(11)","Tc(12)","Tc(13)","Tc(14)","Tc(15)","Tc(16)","RadKipZonen","ChamberStatus","ChamberON","Counter","VPD_Ambient","VPD_Chamber","Tc_AM25","Volt_AM25(1)","Volt_AM25(2)","Volt_AM25(3)","Pump_Status"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-13 16:00:00",1812491,12.40904,17.33727,7.826625,409.1769,7.799354,409.7909,0,31.15651,93.71159,-0.002857808,0.06434158,-4673.477,8.467481,8.348855,0,-40,14.20639,13.77261,13.83217,13.18514,13.88322,13.65347,14.52936,13.56835,14.2574,14.00231,15.94624,13.679,13.61942,13.77261,16.53895,13.44916,27.71179,-504.5037,1,0,0.6499731,0.7169494,"NAN",0,259.7512,0,1
"2022-01-13 16:00:02",1812492,12.38126,17.33727,7.785719,409.5587,7.778902,409.8727,0,31.17015,93.71159,-0.0007057549,0.03250905,-4448.496,8.365216,8.426576,0,-40,14.20783,14.1143,13.8251,13.20362,13.92719,13.56979,14.48831,13.56979,14.25034,14.03777,15.9392,13.68044,13.58682,13.70597,16.27799,13.4506,26.98254,-479.9603,1,2,0.6548429,0.7194655,"NAN",0,274.0682,0,1
"2022-01-13 16:00:04",1812493,12.37571,17.33727,7.81299,409.9405,7.799354,410.0636,0,31.17015,93.70068,-0.001410294,0.01273269,-4520.081,8.358398,7.973886,0,-40,14.37658,13.83235,13.86639,13.21087,14.04501,13.57705,14.47006,13.57705,14.18107,14.01099,15.91253,13.66216,13.56853,14.028,16.14972,13.40677,26.98254,-484.0508,1,4,0.6524028,0.7343822,"NAN",0,272.7047,0,1
"2022-01-13 16:00:06",1812494,12.40348,17.33727,7.826625,409.3405,7.778902,409.4637,0,31.17015,93.71159,-0.004912296,0.01267499,-4530.307,8.317493,8.200231,-0.06817617,-40,13.96829,13.84919,13.78963,13.20218,14.03633,13.58538,14.49537,13.5343,14.2234,14.06184,15.95472,13.73857,13.55133,13.64496,16.18341,13.36401,27.34716,-485.4144,1,6,0.6466342,0.6952177,"NAN",0,274.75,0,1
"2022-01-13 16:00:08",1812495,12.39793,17.33727,7.826625,409.886,7.731178,409.7909,0,31.17015,93.70614,-0.009719387,-0.009680201,-4530.307,8.228864,8.035244,0,-40,14.59733,13.7641,13.83217,13.21069,14.10436,13.62794,14.44439,13.52579,14.3849,14.11287,15.91235,13.72155,13.62794,13.95127,16.20881,13.39807,26.61791,-486.7779,1,8,0.6458008,0.7651638,"NAN",0,271.3412,0,1
"2022-01-13 16:00:10",1812496,12.39237,17.33727,7.84026,410.3495,7.676637,410.0091,0,31.17015,93.71159,-0.01671792,-0.03478851,-4540.533,8.256134,8.33931,-0.06817617,-40,14.43607,13.76428,13.79832,13.19384,14.0195,13.51745,14.40208,13.50043,14.35958,14.07903,15.87017,13.82385,13.61109,13.65365,16.25133,13.38122,26.61791,-488.1414,1,10,0.6417438,0.7547455,"NAN",0,272.7047,0,1
"2022-01-13 16:00:12",1812497,12.39793,17.33727,7.84026,409.886,7.615279,409.4091,0,31.17015,93.70614,-0.02289089,-0.04851616,-4530.307,8.222046,8.044789,0,-40,14.52086,13.90874,13.82367,13.20218,13.87471,13.50876,14.4189,13.54281,14.29991,14.10436,15.89541,13.78112,13.66198,13.89173,16.19188,13.38104,26.61791,-489.5049,1,12,0.6458922,0.7706477,"NAN",0,272.7047,0.6817617,1
"2022-01-13 16:00:14",1812498,12.40897,17.33727,7.840033,409.3116,7.621875,408.8606,0,31.16924,93.7112,-0.02226166,-0.04602064,-4550.628,8.245669,8.363612,0,-40,14.79268,14.06184,13.82367,13.21069,14.02782,13.50876,14.43589,13.50876,14.2659,14.14688,15.95472,13.81516,13.68752,13.78963,16.20035,13.38955,27.34716,-493.5812,1,14,0.6425847,0.7983471,"NAN",0,271.3333,0.681742,1
