"TOA5","CR1000_Chambers","CR1000","72154","CR1000.Std.28","CPU:22JUL2021.CR1","60880","Data_dropbox"
"TIMESTAMP","RECORD","batt_volt","PTemp","H2o_6262_mmol_mol","Co2_6262_micmol_mol","H2o_7000_mmol_mol","Co2_7000_micmol_mol","Temp_6262","Temp_7000","Prees_7000","H2o_Flux","Co2_Flux","PAR","AirFlow_Sam","AirFlow_Amb","Ambient_RH","Ambient_TempAir","Tc(1)","Tc(2)","Tc(3)","Tc(4)","Tc(5)","Tc(6)","Tc(7)","Tc(8)","Tc(9)","Tc(10)","Tc(11)","Tc(12)","Tc(13)","Tc(14)","Tc(15)","Tc(16)","RadKipZonen","ChamberStatus","ChamberON","Counter","VPD_Ambient","VPD_Chamber","Tc_AM25","Volt_AM25(1)","Volt_AM25(2)","Volt_AM25(3)","Pump_Status"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-12 09:00:06",1756692,12.42192,10.62955,5.047748,411.2278,4.938607,410.5593,0,26.87585,94.11186,-0.01072715,-0.06570374,-4972.714,7.796723,7.979535,0,-39.93179,14.88785,14.16579,14.18279,13.93621,14.41226,14.04676,14.09777,15.43084,14.69258,14.31028,14.31878,14.55668,14.31878,14.60765,14.44624,14.48023,408.6815,-523.8744,15,6,1.166642,1.073443,"NAN",0.6821281,650.7502,0.6821281,1
"2022-01-12 09:00:08",1756693,12.41637,10.60696,5.047748,411.4461,4.95225,410.8049,0,26.8622,94.11186,-0.009419559,-0.06324864,-4982.946,7.824008,8.113232,0,-40,14.80398,14.27731,14.24331,13.98826,14.19231,14.17531,14.07329,15.44882,14.6936,14.3368,14.3623,14.62566,14.26881,14.68511,14.44727,14.52373,427.2744,-523.8744,15,8,1.16846,1.071801,"NAN",0.6821281,667.1213,0.6821281,1
"2022-01-12 09:00:10",1756694,12.38303,10.60696,5.034105,410.955,5.095497,410.341,0,26.87585,94.11186,0.006012865,-0.0601295,-4982.946,7.769438,7.890858,0,-40,14.92283,14.23481,14.24331,13.97975,14.3283,14.01377,14.09029,15.4997,14.74455,14.3538,14.41328,14.49824,14.27731,14.59168,14.5662,14.5662,452.7943,-522.5101,15,10,1.175687,1.067658,"NAN",0.6821281,658.2536,0.6821281,1
"2022-01-12 09:00:12",1756695,12.42192,10.62955,5.034105,410.955,5.21828,410.4502,0,26.8622,94.11186,0.01819789,-0.04987722,-4972.714,7.837651,8.274214,0,-40,15.15094,14.50571,14.19129,14.02975,14.24229,13.9277,14.05526,15.54955,14.60765,14.36977,14.39526,14.51421,14.29329,14.6586,14.61614,14.58217,476.4912,-521.1459,15,12,1.18123,1.058673,"NAN",0,626.1935,0.6821281,1
"2022-01-12 09:00:14",1756696,12.42748,10.62955,5.034105,412.2374,5.245564,411.0504,0,26.84856,94.11186,0.02111294,-0.118507,-4982.946,7.919507,8.257843,0,-40,14.82196,14.26131,14.20181,14.01476,14.23581,14.09129,14.1253,15.68718,14.60117,14.3378,14.43976,14.52472,14.3378,14.75403,14.6776,14.63514,502.7402,-523.8744,15,14,1.196615,1.062,"NAN",0,661.6642,0.6821281,1
"2022-01-12 09:00:16",1756697,12.42192,10.62955,5.020463,412.2646,5.245564,411.5962,0,26.87585,94.11732,0.02232917,-0.06631117,-4952.25,7.868347,8.162345,0,-40,15.04912,14.24229,14.21679,14.03825,14.25929,13.9192,14.09777,15.76991,14.48872,14.33578,14.39526,14.64162,14.28479,14.48872,14.70956,14.59915,523.5206,-518.4174,15,16,1.207511,1.065383,"NAN",0,666.4391,0.6821281,1
"2022-01-12 09:00:18",1756698,12.38303,10.62955,5.020463,410.7367,5.27285,411.4324,0,26.87585,94.11186,0.02531642,0.06978822,-4972.714,7.957024,8.147338,0,-39.93179,14.83893,14.3123,14.21881,14.05728,14.25281,14.00626,14.10829,15.8736,14.64364,14.38028,14.43127,14.59268,14.3293,14.62665,14.72007,14.64364,526.0726,-521.1459,15,18,1.21941,1.06351,"NAN",0,652.1144,0.6821281,1
"2022-01-12 09:00:20",1756699,12.41637,10.62955,5.020463,411.1732,5.279671,410.5048,0,26.8622,94.11186,0.02610218,-0.06731635,-4962.482,7.98772,8.087311,0,-40,14.8719,14.15831,14.21781,14.08179,14.27731,14.02227,14.0988,15.88108,14.6936,14.3538,14.37929,14.72756,14.26031,14.54072,14.68511,14.62566,528.9891,-521.1459,15,20,1.220088,1.058835,"NAN",0.6821281,652.7966,0.6821281,1
