"TOA5","CR1000_Chambers","CR1000","72154","CR1000.Std.28","CPU:22JUL2021.CR1","60880","Data_dropbox"
"TIMESTAMP","RECORD","batt_volt","PTemp","H2o_6262_mmol_mol","Co2_6262_micmol_mol","H2o_7000_mmol_mol","Co2_7000_micmol_mol","Temp_6262","Temp_7000","Prees_7000","H2o_Flux","Co2_Flux","PAR","AirFlow_Sam","AirFlow_Amb","Ambient_RH","Ambient_TempAir","Tc(1)","Tc(2)","Tc(3)","Tc(4)","Tc(5)","Tc(6)","Tc(7)","Tc(8)","Tc(9)","Tc(10)","Tc(11)","Tc(12)","Tc(13)","Tc(14)","Tc(15)","Tc(16)","RadKipZonen","ChamberStatus","ChamberON","Counter","VPD_Ambient","VPD_Chamber","Tc_AM25","Volt_AM25(1)","Volt_AM25(2)","Volt_AM25(3)","Pump_Status"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-12 21:00:00",1778291,12.43858,11.93314,3.806104,413.6806,3.874314,414.3741,0,29.35748,93.99118,0.006924956,0.07040565,-5218.046,8.130603,7.875499,0,-40,12.00143,11.48029,10.77891,10.08514,11.36061,11.32641,10.57344,11.49738,10.94151,11.48029,10.97573,10.69331,11.15538,11.23235,10.79603,11.52303,0,-563.4126,5,0,0.9201493,0.9002913,"NAN",0,277.6137,0.6820976,1
"2022-01-12 21:00:02",1778292,12.41081,11.93314,3.806104,413.5169,3.874314,414.1286,0,29.33019,93.99118,0.006867481,0.06158065,-5095.269,8.062393,7.815474,0,-40,11.43862,11.62664,10.80565,10.06906,11.51555,11.57537,10.58307,11.45571,11.08802,11.54119,11.02813,10.78854,11.19066,11.43007,10.83989,11.507,-0.364618,-536.1287,5,2,0.9164729,0.9139265,"NAN",0,263.2896,0.6820976,1
"2022-01-12 21:00:04",1778293,12.37748,11.93314,3.819746,413.9535,3.874314,414.1286,0,29.33019,93.99664,0.005524498,0.01772845,-5085.037,8.10673,8.033746,0,-40,11.71102,11.54012,10.8217,9.982275,11.48029,11.39481,10.59913,11.429,11.12972,11.46319,11.03562,10.66762,11.12972,11.42045,10.79603,11.47174,0,-537.4929,5,4,0.9125554,0.9108127,"NAN",0,273.5211,0.6820976,1
"2022-01-12 21:00:06",1778294,12.41081,11.93314,3.806104,412.8621,3.881135,413.8284,0,29.33019,93.99118,0.007547835,0.09720787,-5115.732,8.055572,7.886413,0,-40,11.54119,11.68646,10.80565,9.940481,11.43007,11.54973,10.57451,11.44716,11.09657,11.45571,11.04524,10.72862,11.20776,11.41297,10.82277,11.49845,0.364618,-540.2213,5,6,0.9157197,0.9056059,"NAN",0,280.3421,0.6820976,1
"2022-01-12 21:00:08",1778295,12.42747,11.93314,3.806104,414.1172,3.867493,414.0194,0,29.33019,93.99118,0.006151976,-0.009795681,-5085.037,8.024878,8.010554,0,-40,11.44716,11.57537,10.84844,9.923334,11.17355,11.33603,10.6002,11.45571,11.08802,11.49845,11.03669,10.78854,11.1821,11.43862,10.857,11.49845,-1.093854,-537.4929,5,8,0.9164729,0.8847777,"NAN",0,283.0705,0.6820976,1
"2022-01-12 21:00:10",1778296,12.38303,11.93314,3.806104,413.5169,3.840209,414.7288,0,29.33019,93.99118,0.003433753,0.1220152,-5146.426,8.062393,7.916425,0,-40,11.71853,11.45361,10.77787,9.981236,11.10302,11.24842,10.5724,11.45361,10.96614,11.47071,11.00036,10.87201,11.10302,11.36812,10.83778,11.47925,0.729236,-541.5854,5,10,0.9162872,0.8818069,"NAN",0,276.9316,0.6820976,1
"2022-01-12 21:00:12",1778297,12.42192,11.93314,3.819746,412.8894,3.874314,413.3373,0,29.33019,94.0021,0.005478334,0.04497102,-5156.658,8.03852,8.17835,0,-40,11.78144,11.73018,10.84945,10.02722,11.28573,11.29428,10.62689,11.49091,11.0377,11.46527,11.04625,10.74674,11.20877,11.43107,10.85801,11.53364,0.364618,-542.9496,5,12,0.9180118,0.8937465,"NAN",0,281.0242,0.6820976,1
"2022-01-12 21:00:14",1778298,12.3997,11.95573,3.819746,413.1895,3.867493,413.6102,0,29.33019,93.99118,0.004762483,0.0419583,-5156.658,7.987362,8.099227,0,-40,11.89147,11.47281,10.83133,10.06049,11.47281,11.22486,10.58307,11.47281,11.07091,11.42152,10.91691,10.72862,11.21631,11.41297,10.84844,11.51555,0.729236,-545.678,5,14,0.9164146,0.9109355,"NAN",0,264.6538,0.6820976,1
