"TOA5","CR1000_Chambers","CR1000","72154","CR1000.Std.28","CPU:22JUL2021.CR1","60880","Data_dropbox"
"TIMESTAMP","RECORD","batt_volt","PTemp","H2o_6262_mmol_mol","Co2_6262_micmol_mol","H2o_7000_mmol_mol","Co2_7000_micmol_mol","Temp_6262","Temp_7000","Prees_7000","H2o_Flux","Co2_Flux","PAR","AirFlow_Sam","AirFlow_Amb","Ambient_RH","Ambient_TempAir","Tc(1)","Tc(2)","Tc(3)","Tc(4)","Tc(5)","Tc(6)","Tc(7)","Tc(8)","Tc(9)","Tc(10)","Tc(11)","Tc(12)","Tc(13)","Tc(14)","Tc(15)","Tc(16)","RadKipZonen","ChamberStatus","ChamberON","Counter","VPD_Ambient","VPD_Chamber","Tc_AM25","Volt_AM25(1)","Volt_AM25(2)","Volt_AM25(3)","Pump_Status"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-11 08:00:04",1711691,12.33418,6.004864,6.603,409.5907,6.930421,405.7571,0,22.94679,94.02455,0.03480131,-0.4074648,-5371.759,8.328783,8.234651,0,-40,8.977071,8.796708,7.472148,8.281043,8.788118,8.822478,7.58409,10.56327,9.389092,9.062936,8.134847,7.532428,7.954193,8.908369,8.547534,9.715044,281.4238,-560.7093,14,4,0.5199542,0.3529646,"NAN",0,681.4459,0.6821281,1
"2022-01-11 08:00:06",1711692,12.3953,6.004864,6.616642,410.0818,6.930421,406.2483,0,22.94679,94.03001,0.03301172,-0.40332,-5371.759,8.243517,8.002727,0,-40,8.53122,8.677308,7.490249,8.307714,8.49684,8.754631,7.619406,10.52134,9.510077,8.986532,8.049706,7.473025,8.11852,8.85771,8.617159,9.741642,291.6309,-557.9808,14,6,0.5149414,0.3492035,"NAN",0,667.8034,0.6821281,1
"2022-01-11 08:00:08",1711693,12.41752,6.004864,6.603,409.4816,6.9236,406.0846,0,22.94679,94.02455,0.03332272,-0.3530797,-5310.367,8.144609,8.009548,0,-40,8.505437,8.505437,7.507471,8.324911,8.471055,8.849121,7.610797,10.50421,9.441446,9.089566,8.015294,7.516083,8.135722,8.471055,8.617159,9.724492,305.8479,-564.8021,14,8,0.5150945,0.3216568,"NAN",0,667.8034,0.6821281,1
"2022-01-11 08:00:10",1711694,12.38418,6.004864,6.575715,408.9904,6.916779,406.3301,0,22.94679,94.02455,0.03533095,-0.2755824,-5341.063,8.117324,8.027284,0,-40,8.53122,8.428076,7.42135,8.376496,8.823353,8.986532,7.628016,10.5299,9.458605,9.055223,8.084113,7.662452,8.221725,8.46246,8.548409,9.707343,306.2125,-556.6165,14,10,0.5203266,0.3218094,"NAN",0,663.0285,0.6821281,1
"2022-01-11 08:00:12",1711695,12.3953,6.004864,6.589357,409.427,6.916779,406.8485,0,22.96043,94.02455,0.03391613,-0.2670915,-5341.063,8.117324,8.02319,0,-40,8.573316,8.667839,7.506594,8.384217,8.762347,8.891191,7.618529,10.48622,9.543516,9.054349,8.040226,7.429086,8.246648,8.616283,8.564722,9.723619,304.3898,-557.9808,14,12,0.5151774,0.3329901,"NAN",0,629.6042,0.6821281,1
"2022-01-11 08:00:14",1711696,12.39507,6.004864,6.603,409.6453,6.916779,407.176,0,22.94679,94.02455,0.03251813,-0.2559032,-5341.063,8.120734,8.009548,0,-39.93179,8.8155,8.798321,7.499599,8.463198,8.609303,8.867037,7.628755,10.46214,9.545126,9.098888,8.102056,7.534045,8.274059,8.446006,8.617896,9.776675,302.1997,-555.2523,14,14,0.5118639,0.3208495,"NAN",0,686.903,0.6821281,1
"2022-01-11 08:00:16",1711697,12.36729,6.004864,6.603,409.8908,6.903136,407.9399,0,22.96043,94.02455,0.03105059,-0.2018302,-5300.135,8.107092,8.334242,0,-40,8.857558,8.617005,7.541763,8.548258,8.823201,8.797431,7.627863,10.40987,9.587125,9.080829,8.023745,7.472873,8.376343,8.264569,8.539662,9.758639,301.8352,-562.0735,14,16,0.5073678,0.3091298,"NAN",0.6821281,657.5715,0.6821281,1
"2022-01-11 08:00:18",1711698,12.3784,6.004864,6.562072,409.6453,6.875851,407.2578,0,22.94679,94.03547,0.03265855,-0.2484889,-5351.295,8.154841,8.106411,0,-40,8.410731,8.591227,7.46426,8.522474,8.728704,8.780251,7.619255,10.37562,9.552815,9.089414,7.929105,7.627863,8.350552,8.556851,8.548258,9.775786,302.9287,-557.9808,14,18,0.5092518,0.333306,"NAN",0,641.8825,0.6821281,1
