timestamp,temp.air.ambient.c,par.ambient.umol_m2_s1,conc.h2o.irga.ambient.mmol_mol,conc.co2.irga.ambient.umol_mol,P.irga.kPa
2022-01-12 00:02:44,10.00713,1.093678,6.616642,412.5648,94.02455
2022-01-12 00:02:46,9.997614,0.3645592,6.643928,413.8472,94.03001
2022-01-12 00:02:48,10.04141,0.0,6.643928,413.3015,94.03001
2022-01-12 00:02:50,10.04141,0.0,6.65757,412.6739,94.02455
2022-01-12 00:02:52,10.0157,-0.3645592,6.65757,412.9195,94.02455
2022-01-12 00:02:54,10.00908,0.7291183,6.671213,412.7285,94.03001
2022-01-12 00:02:56,10.00713,0.0,6.630285,412.7012,94.03001
2022-01-12 00:02:58,9.989987,0.0,6.630285,413.1924,94.02455
2022-01-12 00:03:00,10.03378,-0.3645592,6.630285,412.9741,94.02455
2022-01-12 00:03:02,10.00713,-0.3645592,6.65757,413.2469,94.02455
2022-01-12 00:03:04,10.03284,-0.3645592,6.65757,413.4106,94.02455
2022-01-12 00:03:06,10.05092,0.0,6.65757,412.5921,94.02455
2022-01-12 00:03:08,10.02427,0.0,6.630285,413.2469,94.02455
2022-01-12 00:03:10,9.989987,0.0,6.630285,411.7735,94.02455
2022-01-12 00:03:12,9.972844,-0.3645592,6.65757,413.1378,94.02455
2022-01-12 00:03:14,9.98236,-0.3645592,6.65757,412.4829,94.02455
2022-01-12 00:03:16,9.989987,0.7291183,6.630285,412.6194,94.02455
2022-01-12 00:03:18,10.0605,0.3645592,6.630285,412.8649,94.03001
2022-01-12 00:03:20,10.06806,0.3645592,6.643928,412.3465,94.02455
2022-01-12 00:03:22,10.04998,0.7291183,6.630285,412.3738,94.02455
2022-01-12 00:03:24,10.06806,0.7291183,6.643928,413.1924,94.02455
2022-01-12 00:03:26,10.03284,0.3645593,6.643928,413.4106,94.02455
2022-01-12 00:03:28,10.03479,0.0,6.603,412.9741,94.02455
2022-01-12 00:03:30,10.02427,-0.3645593,6.630285,412.3192,94.02455
2022-01-12 00:03:32,10.0157,0.0,6.630285,413.1378,94.02455
2022-01-12 00:03:34,10.04336,-0.3645593,6.603,413.5743,94.02455
2022-01-12 00:03:36,10.04235,0.7291186,6.630285,413.1924,94.02455
2022-01-12 00:03:38,10.02622,0.0,6.643928,414.2292,94.02455
2022-01-12 00:03:40,10.12805,0.0,6.616642,413.5743,94.02455
2022-01-12 00:03:42,10.24705,-0.3645593,6.630285,412.7558,94.02455
2022-01-12 00:03:44,10.26613,0.0,6.643928,412.4283,94.02455
2022-01-12 00:03:46,10.27275,0.7291186,6.616642,414.3383,94.02455
2022-01-12 00:03:48,10.30137,0.3645593,6.643928,413.0832,94.02455
2022-01-12 00:03:50,10.2414,0.3645593,6.643928,412.2919,94.02455
2022-01-12 00:03:52,10.16138,0.3645593,6.630285,411.9372,94.02455
2022-01-12 00:03:54,10.10234,1.093678,6.616642,414.2838,94.03001
2022-01-12 00:03:56,10.06806,0.7291186,6.630285,413.0832,94.02455
2022-01-12 00:03:58,10.07764,0.3645593,6.65757,413.5198,94.01364
2022-01-12 00:04:00,10.12048,0.3645593,6.630285,413.1651,94.02455
2022-01-12 00:04:02,10.11289,0.3645593,6.630285,412.8104,94.02455
2022-01-12 00:04:04,10.14619,-0.3645593,6.643928,413.1924,94.03001
2022-01-12 00:04:06,10.11091,0.3645593,6.643928,412.9195,94.02455
2022-01-12 00:04:08,10.10334,0.0,6.603,413.5198,94.02455
2022-01-12 00:04:10,10.08621,1.093678,6.616642,412.9195,94.02455
2022-01-12 00:04:12,10.08621,0.0,6.630285,412.6466,94.02455
2022-01-12 00:04:14,10.05193,0.0,6.616642,413.0286,94.02455
2022-01-12 00:04:16,10.03576,0.3645593,6.616642,412.9195,94.02455
2022-01-12 00:04:18,10.01862,-0.3645593,6.630285,413.0832,94.02455
2022-01-12 00:04:20,10.00148,-0.3645593,6.630285,411.8281,94.01364
2022-01-12 00:04:22,9.976711,0.0,6.643928,413.8199,94.02455
2022-01-12 00:04:24,9.967196,0.0,6.643928,412.9741,94.02455
2022-01-12 00:04:26,9.983363,0.0,6.630285,413.6835,94.02455
2022-01-12 00:04:28,10.01862,0.7291186,6.643928,411.8281,94.02455
2022-01-12 00:04:30,10.04433,1.093678,6.65757,412.4283,94.02455
2022-01-12 00:04:32,10.02622,0.0,6.65757,413.6835,94.02455
2022-01-12 00:04:34,10.06147,0.0,6.671213,413.9018,94.01364
2022-01-12 00:04:36,10.02719,0.3645593,6.65757,412.5375,94.0191
2022-01-12 00:04:38,10.02719,0.7291186,6.65757,413.4106,94.01364
2022-01-12 00:04:40,10.06147,0.7291186,6.65757,413.0832,94.0191
2022-01-12 00:04:42,10.10334,0.3645593,6.65757,412.4283,94.02455
2022-01-12 00:04:44,10.08718,0.3645593,6.65757,413.7926,94.02455
2022-01-12 00:04:46,10.11383,0.0,6.65757,413.4652,94.02455
2022-01-12 00:04:48,10.08718,-0.3645593,6.65757,413.1378,94.01364
2022-01-12 00:04:50,10.07099,0.7291186,6.671213,412.4283,94.02455
2022-01-12 00:04:52,10.06147,0.3645593,6.671213,412.5102,94.02455
2022-01-12 00:04:54,10.06907,1.093678,6.684855,414.0109,94.02455
2022-01-12 00:04:56,10.07956,0.3645593,6.671213,413.5198,94.02455
2022-01-12 00:04:58,10.07956,-0.3645593,6.65757,412.5921,94.02455
2022-01-12 00:05:00,10.04433,-0.3645593,6.671213,412.7831,94.02455
2022-01-12 00:05:02,10.01765,-0.3645593,6.684855,412.4829,94.02455
2022-01-12 00:05:04,10.01005,0.3645593,6.684855,413.4106,94.02455
2022-01-12 00:05:06,10.00148,0.7291186,6.671213,412.5102,94.02455
2022-01-12 00:05:08,10.02814,0.7291186,6.671213,413.4652,94.01364
2022-01-12 00:05:10,10.00242,0.0,6.671213,413.738,94.02455
2022-01-12 00:05:12,10.01765,0.7291186,6.671213,411.4461,94.0191
2022-01-12 00:05:14,10.01862,0.0,6.71214,412.5375,94.0191
2022-01-12 00:05:16,10.04528,0.7291186,6.671213,413.1378,94.02455
2022-01-12 00:05:18,10.0185,0.7291244,6.671213,412.7558,94.02455
2022-01-12 00:05:20,10.02804,0.7291244,6.684855,412.9741,94.01364
2022-01-12 00:05:22,9.992788,-0.3645622,6.671213,413.3015,94.02455
2022-01-12 00:05:24,10.06233,-0.3645622,6.684855,413.4652,94.02455
2022-01-12 00:05:26,10.06135,0.3645622,6.71214,413.0286,94.02455
2022-01-12 00:05:28,10.05278,0.7291244,6.671213,411.5007,94.01364
2022-01-12 00:05:30,10.02707,0.0,6.684855,413.3015,94.02455
2022-01-12 00:05:32,10.01185,0.0,6.671213,413.0286,94.02455
2022-01-12 00:05:34,9.96805,0.3645622,6.65757,412.7012,94.02455
2022-01-12 00:05:36,9.976622,0.3645622,6.671213,413.0832,94.03547
2022-01-12 00:05:38,9.959478,0.0,6.684855,413.8472,94.02455
2022-01-12 00:05:40,9.917564,-0.3645622,6.65757,413.9018,94.02455
2022-01-12 00:05:42,9.94328,0.0,6.643928,412.2101,94.02455
2022-01-12 00:05:44,9.953833,0.0,6.65757,413.3015,94.02455
2022-01-12 00:05:46,9.899475,0.7291244,6.671213,413.3015,94.02455
2022-01-12 00:05:48,9.925192,0.0,6.65757,414.0382,94.02455
2022-01-12 00:05:50,9.908993,0.0,6.65757,412.3738,94.02455
2022-01-12 00:05:52,9.86613,0.0,6.671213,412.3738,94.02455
2022-01-12 00:05:54,9.865185,0.0,6.65757,413.7926,94.02455
2022-01-12 00:05:56,9.848984,0.3645622,6.643928,414.3929,94.02455
2022-01-12 00:05:58,9.81469,0.0,6.65757,412.1555,94.02455
2022-01-12 00:06:00,9.823263,0.3645622,6.65757,413.8745,94.02455
2022-01-12 00:06:02,9.858562,0.0,6.65757,413.1924,94.02455
2022-01-12 00:06:04,9.823263,0.7291244,6.630285,413.3015,94.03001
2022-01-12 00:06:06,9.839465,0.7291244,6.65757,412.5375,94.02455
2022-01-12 00:06:08,9.86613,0.0,6.643928,413.2742,94.02455
2022-01-12 00:06:10,9.84041,0.0,6.643928,412.5375,94.02455
2022-01-12 00:06:12,9.891848,0.3645622,6.65757,412.3192,94.02455
2022-01-12 00:06:14,9.934709,1.093687,6.671213,413.356,94.02455
2022-01-12 00:06:16,9.977567,0.0,6.65757,413.5743,94.02455
2022-01-12 00:06:18,9.97,-0.3645622,6.65757,414.3383,94.03001
2022-01-12 00:06:20,9.96143,-0.3645622,6.643928,411.4734,94.02455
2022-01-12 00:06:22,9.899475,0.0,6.65757,413.6016,94.01364
2022-01-12 00:06:24,9.927142,0.0,6.65757,413.6835,94.02455
2022-01-12 00:06:26,9.935715,-0.3645622,6.630285,412.9195,94.01364
2022-01-12 00:06:28,9.942335,0.7291244,6.630285,411.5007,94.02455
2022-01-12 00:06:30,9.994708,0.7291244,6.630285,412.4283,94.02455
2022-01-12 00:06:32,10.00328,-0.3645622,6.643928,412.9741,94.02455
2022-01-12 00:06:34,9.934709,0.7291244,6.643928,411.719,94.02455
2022-01-12 00:06:36,9.917564,0.3645622,6.643928,412.8104,94.02455
2022-01-12 00:06:38,9.909998,0.3645622,6.65757,412.9741,94.02455
2022-01-12 00:06:40,9.890903,-0.3645622,6.643928,412.8104,94.02455
2022-01-12 00:06:42,9.901425,0.7291244,6.671213,412.9741,94.02455
2022-01-12 00:06:44,9.917564,0.0,6.65757,412.5921,94.02455
2022-01-12 00:06:46,9.926137,0.0,6.630285,413.5743,94.03001
2022-01-12 00:06:48,9.953833,-0.3645622,6.65757,413.2742,94.0191
2022-01-12 00:06:50,9.94328,0.0,6.643928,412.3192,94.02455
2022-01-12 00:06:52,9.97,0.3645622,6.630285,413.3288,94.02455
