timestamp,temp.air.ambient.c,par.ambient.umol_m2_s1,conc.h2o.irga.ambient.mmol_mol,conc.co2.irga.ambient.umol_mol,P.irga.kPa
2022-01-14 00:00:04,9.294141,-0.3646174,13.30102,413.3538,93.7403
2022-01-14 00:00:06,9.275876,0.0,13.35559,412.1533,93.7403
2022-01-14 00:00:08,9.288254,0.0,13.43744,413.081,93.74576
2022-01-14 00:00:10,9.329541,0.3646174,13.47837,413.8449,93.7403
2022-01-14 00:00:12,9.312374,0.7292349,13.4238,413.0264,93.7403
2022-01-14 00:00:14,9.355289,0.3646174,13.45109,413.081,93.75121
2022-01-14 00:00:16,9.319892,0.0,13.4238,413.6266,93.7403
2022-01-14 00:00:18,9.322024,0.0,13.4238,413.081,93.75121
2022-01-14 00:00:20,9.311309,-0.3646174,13.41016,412.7535,93.7403
2022-01-14 00:00:22,9.285558,0.3646174,13.36923,412.0442,93.7403
2022-01-14 00:00:24,9.328475,0.0,13.32831,412.508,93.7403
2022-01-14 00:00:26,9.322587,0.7292349,13.34195,413.2992,93.7403
2022-01-14 00:00:28,9.301627,-0.3646174,13.34195,412.1533,93.7403
2022-01-14 00:00:30,9.285558,-0.3646174,13.31467,412.3989,93.7403
2022-01-14 00:00:32,9.312374,-0.3646174,13.28738,412.0442,93.75121
2022-01-14 00:00:34,9.285558,0.7292349,13.30102,412.8627,93.7403
2022-01-14 00:00:36,9.314005,-0.3646174,13.2601,412.5626,93.7403
2022-01-14 00:00:38,9.303791,0.3646174,13.28738,412.0987,93.7403
2022-01-14 00:00:40,9.294141,0.3646174,13.28738,412.9172,93.7403
2022-01-14 00:00:42,9.330607,1.093852,13.28738,412.8081,93.7403
2022-01-14 00:00:44,9.338124,0.3646174,13.27374,412.126,93.7403
2022-01-14 00:00:46,9.329541,0.0,13.2601,411.8805,93.7403
2022-01-14 00:00:48,9.303791,-0.3646174,13.2601,412.5353,93.7403
2022-01-14 00:00:50,9.285558,-0.3646174,13.2601,412.5898,93.7403
2022-01-14 00:00:52,9.275876,0.0,13.24646,411.935,93.7403
2022-01-14 00:00:54,9.312374,0.3646174,13.21917,412.9718,93.7403
2022-01-14 00:00:56,9.311309,0.7292349,13.21917,413.2992,93.7403
2022-01-14 00:00:58,9.302725,0.3646174,13.2601,413.5175,93.7403
2022-01-14 00:01:00,9.311309,0.3646174,13.23281,412.8627,93.7403
2022-01-14 00:01:02,9.267291,-0.7292349,13.23281,412.6717,93.7403
2022-01-14 00:01:04,9.286624,0.3646174,13.24646,413.1082,93.7403
2022-01-14 00:01:06,9.297873,0.0,13.23281,412.4807,93.74576
2022-01-14 00:01:08,9.295208,0.3646174,13.23281,412.6444,93.7403
2022-01-14 00:01:10,9.29894,-0.3646174,13.2601,412.2351,93.7403
2022-01-14 00:01:12,9.296838,0.3646174,13.2601,413.1355,93.73484
2022-01-14 00:01:14,9.285558,0.3646174,13.24646,412.8081,93.7403
2022-01-14 00:01:16,9.303791,0.3646174,13.2601,412.4261,93.73484
2022-01-14 00:01:18,9.301627,0.0,13.27374,412.5353,93.7403
2022-01-14 00:01:20,9.347773,-0.7292349,13.23281,411.935,93.7403
2022-01-14 00:01:22,9.295208,-0.3646174,13.2601,413.1355,93.7403
2022-01-14 00:01:24,9.302725,0.0,13.2601,412.3716,93.7403
2022-01-14 00:01:26,9.330607,0.3646174,13.24646,412.4261,93.7403
2022-01-14 00:01:28,9.295208,0.0,13.2601,412.2624,93.73484
2022-01-14 00:01:30,9.296273,0.7292349,13.2601,412.8627,93.7403
2022-01-14 00:01:32,9.276973,1.093852,13.23281,412.1533,93.7403
2022-01-14 00:01:34,9.296273,0.3646174,13.23281,412.699,93.7403
2022-01-14 00:01:36,9.286624,0.0,13.23281,412.317,93.7403
2022-01-14 00:01:38,9.286624,-0.3646174,13.21917,413.1901,93.7403
2022-01-14 00:01:40,9.285558,-0.3646174,13.23281,412.4807,93.7403
2022-01-14 00:01:42,9.320958,0.3646174,13.23281,412.5353,93.7403
2022-01-14 00:01:44,9.286624,-0.3646174,13.2601,410.7345,93.7403
2022-01-14 00:01:46,9.313441,0.0,13.23281,412.5353,93.7403
2022-01-14 00:01:48,9.302725,0.7292349,13.2601,412.2624,93.7403
2022-01-14 00:01:50,9.321013,-0.3646156,13.26019,413.7908,93.74039
2022-01-14 00:01:52,9.30275,0.3646156,13.27383,412.2629,93.74039
2022-01-14 00:01:54,9.33818,0.0,13.26019,412.6449,93.74039
2022-01-14 00:01:56,9.330694,-0.3646156,13.24655,413.0269,93.73494
2022-01-14 00:01:58,9.295263,0.0,13.27383,412.9177,93.74039
2022-01-14 00:02:00,9.313528,-0.7292313,13.26019,412.8631,93.74039
2022-01-14 00:02:02,9.313528,-0.3646156,13.24655,412.6449,93.74039
2022-01-14 00:02:04,9.278095,-0.3646156,13.24655,413.8999,93.73494
2022-01-14 00:02:06,9.296361,0.3646156,13.26019,413.6544,93.74039
2022-01-14 00:02:08,9.321013,0.7292313,13.26019,411.4443,93.74039
2022-01-14 00:02:10,9.331196,0.7292313,13.26019,413.7635,93.74039
2022-01-14 00:02:12,9.329597,0.3646156,13.30112,412.2902,93.74039
2022-01-14 00:02:14,9.315096,0.3646156,13.26019,413.5725,93.74039
2022-01-14 00:02:16,9.30275,0.3646156,13.27383,413.5725,93.74039
2022-01-14 00:02:18,9.322111,-0.7292313,13.26019,412.563,93.74039
2022-01-14 00:02:20,9.321013,0.3646156,13.28748,412.2629,93.74039
