"TOA5","CR1000_SF","CR1000","23362","CR1000.Std.16","CPU:SF_CR1000_sep2021.CR1","14049","PARdata"
"TIMESTAMP","RECORD","par_Avg(1)","par_Avg(2)","par_Avg(3)","par_Avg(4)","par_Avg(5)","par_Avg(6)","par_Avg(7)","par_Avg(8)","par_Avg(9)","par_Avg(10)","par_Avg(11)","par_Avg(12)","par_Avg(13)","par_Avg(14)","par_Avg(15)","par_Avg(16)","par_Avg(17)","par_Avg(18)","par_Avg(19)","par_Avg(20)","par_Avg(21)","par_Avg(22)","par_Avg(23)","par_Avg(24)","par_Avg(25)","par_Avg(26)","par_Avg(27)","par_Avg(28)","par_Avg(29)","par_Avg(30)","par_Avg(31)","par_Avg(32)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-01-11 00:15:00",56645,183.5313,-0.4111978,-0.06853296,27.20758,-0.06853296,0.1370659,-0.06853296,21.51935,-0.1370659,18.43537,35.36301,-0.2741318,0.2741318,19.94309,36.8022,-0.4111978,10.07434,25.1516,52.35918,63.73565,74.83799,90.80617,103.3477,116.506,129.5273,140.6296,151.6634,163.3826,171.7436,184.4907,193.6741,205.0506
"2022-01-11 00:16:00",56646,178.734,-0.06853296,0,19.46336,-0.1370659,0.2741318,-0.2055989,15.28285,-0.2741318,15.48845,29.81184,0.06853296,-0.1370659,12.74713,28.71531,0.4111978,18.64096,33.78675,54.20957,70.45188,82.17102,97.11121,110.6807,122.0572,137.5457,145.4955,159.2021,168.0428,180.5844,189.151,202.4464,209.1626
"2022-01-11 00:17:00",56647,185.4502,0,-0.1370659,6.099433,-0.06853296,0.1370659,0,16.24231,-0.4111978,22.20468,35.50007,-0.06853296,0.06853296,18.64096,32.75875,-0.1370659,15.07725,33.16995,53.86691,66.06577,76.00305,94.36988,105.6778,120.6865,133.4337,146.1123,157.3517,169.8247,179.0766,192.1664,202.789,213.6172
"2022-01-11 00:18:00",56648,190.8643,-0.3426648,0.06853296,33.37555,-0.06853296,0.2055989,0.1370659,14.11779,0.2055989,16.44791,34.81474,-0.2055989,-0.3426648,8.977818,27.61878,-0.2741318,17.06471,32.48462,54.62077,71.41135,82.58221,99.23573,111.7087,126.1006,140.2184,151.9376,162.9714,176.0612,185.5872,198.677,208.1346,219.9908
"2022-01-11 00:19:00",56649,194.0168,0,-0.2741318,8.361021,-0.3426648,-0.3426648,0.1370659,11.78767,-0.4111978,19.60043,33.92381,-0.2055989,-0.5482637,17.20177,31.93636,-0.1370659,17.20177,33.78675,56.60822,67.1623,77.64784,94.57549,106.7058,120.4809,133.6393,144.9472,156.8034,168.1113,177.706,189.8363,200.596,210.2591
"2022-01-11 00:20:00",56650,186.1355,0.1370659,-0.1370659,38.03579,-0.6167966,-0.2741318,0.06853296,18.2983,-0.2741318,16.10525,30.29157,0.1370659,-0.2741318,9.251949,24.67187,0.4797307,17.40737,33.03289,54.41517,69.83508,79.77236,95.80907,107.4597,120.0012,133.4337,142.7542,153.8565,164.205,174.4849,184.4907,194.9077,203.1317
"2022-01-11 00:21:00",56651,181.4067,-0.2741318,0.1370659,40.50298,0.1370659,-0.7538626,0.4111978,10.96527,-0.1370659,7.675692,25.49426,-0.4111978,0.2741318,12.95273,31.66223,-0.06853296,11.92474,24.26067,53.38718,63.59859,76.89398,89.64111,104.3757,113.9018,130.2126,137.203,151.1837,158.5853,170.9897,178.734,191.6181,197.649
"2022-01-11 00:22:00",56652,175.0332,0,-0.06853296,35.08887,-0.2741318,0.2741318,-0.2741318,21.79348,0.1370659,13.56953,27.82438,-0.2055989,-0.2741318,15.28285,30.3601,-0.3426648,15.07725,32.34756,50.71439,66.47697,75.52332,93.54749,104.2386,119.3844,131.6518,143.7136,153.5824,166.6721,175.1017,187.9859,196.5525,208.0661
"2022-01-11 00:23:00",56653,183.2571,0.06853296,-0.2741318,9.183416,0,0.06853296,0.3426648,22.54734,-0.1370659,12.33593,26.45372,0,-0.6853296,16.37938,30.42863,0.06853296,13.22686,32.55315,53.25011,70.72601,79.4297,99.16719,109.3786,126.0321,137.6142,151.3893,160.8468,175.1702,183.1886,197.2379,205.3247,217.1124
"2022-01-11 00:24:00",56654,193.4,-0.3426648,0.2055989,44.06669,0.2055989,-0.2741318,0.2741318,9.663147,0,7.744225,26.59079,-0.2055989,0.2741318,13.22686,33.03289,0.2741318,11.6506,25.01453,55.99143,67.50497,81.62276,95.26081,110.8863,121.7831,138.5736,147.62,162.3546,171.4695,183.5998,193.6056,206.2842,214.6452
