"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_21_10_2020_Jonathan.CR1","4579","FlowData"
"TIMESTAMP","RECORD","FlowMeter(1)","FlowMeter(2)"
"TS","RN","",""
"","","Smp","Smp"
"2021-03-03 11:00:16",984656,9.807153,4.083473
"2021-03-03 11:00:18",984657,9.760797,3.981216
"2021-03-03 11:00:20",984658,9.76625,4.25731
"2021-03-03 11:00:22",984659,9.777157,4.206182
"2021-03-03 11:00:24",984660,9.785337,4.342525
"2021-03-03 11:00:26",984661,9.812606,4.308439
"2021-03-03 11:00:28",984662,9.811243,4.349342
"2021-03-03 11:00:30",984663,9.853509,4.247085
"2021-03-03 11:00:32",984664,9.850782,4.223224
"2021-03-03 11:00:34",984665,9.850782,4.25731
"2021-03-03 11:00:36",984666,9.820786,4.103924
"2021-03-03 11:00:38",984667,9.816697,4.37661
"2021-03-03 11:00:40",984668,9.845328,4.301621
"2021-03-03 11:00:42",984669,9.84942,4.294805
"2021-03-03 11:00:44",984670,9.837148,4.219816
"2021-03-03 11:00:46",984671,9.828967,4.243676
"2021-03-03 11:00:48",984672,9.831695,4.01871
"2021-03-03 11:00:50",984673,9.863053,4.16187
"2021-03-03 11:00:52",984674,9.876688,4.165278
"2021-03-03 11:00:54",984675,9.87396,3.960764
"2021-03-03 11:00:56",984676,9.87396,4.028936
"2021-03-03 11:00:58",984677,9.883504,4.056204
"2021-03-03 11:01:00",984678,9.838511,4.01871
"2021-03-03 11:01:02",984679,9.860327,4.25731
"2021-03-03 11:01:04",984680,9.860327,4.298213
"2021-03-03 11:01:06",984681,9.845328,4.243676
"2021-03-03 11:01:08",984682,9.841239,4.270945
"2021-03-03 11:01:10",984683,9.843966,4.172096
"2021-03-03 11:01:12",984684,9.831695,4.131193
"2021-03-03 11:01:14",984685,9.848055,4.216407
"2021-03-03 11:01:16",984686,9.867144,4.277762
"2021-03-03 11:01:18",984687,9.872597,4.349342
"2021-03-03 11:01:20",984688,9.86169,4.206182
"2021-03-03 11:01:22",984689,9.86169,4.059613
"2021-03-03 11:01:24",984690,9.854873,4.230042
"2021-03-03 11:01:26",984691,9.858963,4.274353
"2021-03-03 11:01:28",984692,9.853509,4.253901
"2021-03-03 11:01:30",984693,9.87396,4.298213
"2021-03-03 11:01:32",984694,9.864416,4.022119
"2021-03-03 11:01:34",984695,9.87396,4.195956
"2021-03-03 11:01:36",984696,9.850782,4.291396
"2021-03-03 11:01:38",984697,9.854873,4.277762
"2021-03-03 11:01:40",984698,9.853509,4.008484
"2021-03-03 11:01:42",984699,9.86169,4.243676
"2021-03-03 11:01:44",984700,9.872597,4.308439
"2021-03-03 11:01:46",984701,9.870393,4.233675
