"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_21_10_2020_Jonathan.CR1","4579","FlowData"
"TIMESTAMP","RECORD","FlowMeter(1)","FlowMeter(2)"
"TS","RN","",""
"","","Smp","Smp"
"2021-03-03 17:03:34",995555,9.860391,4.295427
"2021-03-03 17:03:36",995556,9.861755,4.384062
"2021-03-03 17:03:38",995557,9.887664,4.118155
"2021-03-03 17:03:40",995558,9.874028,4.298836
"2021-03-03 17:03:42",995559,9.889028,4.288609
"2021-03-03 17:03:44",995560,9.868573,4.295427
"2021-03-03 17:03:46",995561,9.854937,4.315881
"2021-03-03 17:03:48",995562,9.899936,4.39429
"2021-03-03 17:03:50",995563,9.876755,4.315881
"2021-03-03 17:03:52",995564,9.824937,4.070428
"2021-03-03 17:03:54",995565,9.857229,4.336144
"2021-03-03 17:03:56",995566,9.839502,4.087293
"2021-03-03 17:03:58",995567,9.859956,4.315691
"2021-03-03 17:04:00",995568,9.847684,4.356597
"2021-03-03 17:04:02",995569,9.847684,4.322508
"2021-03-03 17:04:04",995570,9.858592,4.397504
"2021-03-03 17:04:06",995571,9.849048,4.339553
"2021-03-03 17:04:08",995572,9.857229,4.274784
"2021-03-03 17:04:10",995573,9.85041,4.019114
"2021-03-03 17:04:12",995574,9.891318,4.356597
"2021-03-03 17:04:14",995575,9.873591,4.360007
"2021-03-03 17:04:16",995576,9.887227,4.281601
"2021-03-03 17:04:18",995577,9.898136,4.302055
"2021-03-03 17:04:20",995578,9.849048,4.363415
"2021-03-03 17:04:22",995579,9.874955,4.155471
"2021-03-03 17:04:24",995580,9.900863,4.312282
"2021-03-03 17:04:26",995581,9.885863,4.172516
"2021-03-03 17:04:28",995582,9.892681,4.315691
"2021-03-03 17:04:30",995583,9.866774,4.390687
"2021-03-03 17:04:32",995584,9.906317,4.019114
"2021-03-03 17:04:34",995585,9.884501,4.329326
"2021-03-03 17:04:36",995586,9.873591,4.41114
"2021-03-03 17:04:38",995587,9.866774,4.394096
"2021-03-03 17:04:40",995588,9.881773,4.271375
"2021-03-03 17:04:42",995589,9.885863,4.244103
"2021-03-03 17:04:44",995590,9.879046,4.186152
"2021-03-03 17:04:46",995591,9.877682,4.288419
"2021-03-03 17:04:48",995592,9.870865,4.124791
"2021-03-03 17:04:50",995593,9.872228,4.312282
"2021-03-03 17:04:52",995594,9.853138,4.18956
"2021-03-03 17:04:54",995595,9.877682,4.308873
"2021-03-03 17:04:56",995596,9.855865,4.332735
"2021-03-03 17:04:58",995597,9.888592,4.360007
"2021-03-03 17:05:00",995598,9.854502,4.404323
"2021-03-03 17:05:02",995599,9.865411,4.325917
"2021-03-03 17:05:04",995600,9.844956,4.346371
"2021-03-03 17:05:06",995601,9.855865,4.060021
"2021-03-03 17:05:08",995602,9.872228,4.315691
"2021-03-03 17:05:10",995603,9.884501,4.329326
"2021-03-03 17:05:12",995604,9.870865,4.312282
"2021-03-03 17:05:14",995605,9.835412,4.41114
"2021-03-03 17:05:16",995606,9.870865,4.175925
"2021-03-03 17:05:18",995607,9.883136,4.366824
"2021-03-03 17:05:20",995608,9.855865,4.073658
"2021-03-03 17:05:22",995609,9.855865,4.121382
"2021-03-03 17:05:24",995610,9.844956,4.305464
"2021-03-03 17:05:26",995611,9.870865,4.196378
"2021-03-03 17:05:28",995612,9.862683,4.346371
"2021-03-03 17:05:30",995613,9.840866,4.298646
"2021-03-03 17:05:32",995614,9.857229,4.41114
"2021-03-03 17:05:34",995615,9.86132,4.182743
"2021-03-03 17:05:36",995616,9.857229,4.339553
"2021-03-03 17:05:38",995617,9.834048,4.356597
"2021-03-03 17:05:40",995618,9.840866,4.298646
"2021-03-03 17:05:42",995619,9.840866,4.196378
"2021-03-03 17:05:44",995620,9.869501,4.322508
"2021-03-03 17:05:46",995621,9.86028,4.278333
"2021-03-03 17:05:48",995622,9.849372,4.421512
"2021-03-03 17:05:50",995623,9.863008,4.298787
"2021-03-03 17:05:52",995624,9.846644,4.315833
"2021-03-03 17:05:54",995625,9.849372,4.302196
"2021-03-03 17:05:56",995626,9.845281,4.11129
"2021-03-03 17:05:58",995627,9.863008,4.312423
"2021-03-03 17:06:00",995628,9.873917,4.356741
"2021-03-03 17:06:02",995629,9.838463,4.332878
"2021-03-03 17:06:04",995630,9.846644,4.070382
