"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_21_10_2020_Jonathan.CR1","4579","FlowData"
"TIMESTAMP","RECORD","FlowMeter(1)","FlowMeter(2)"
"TS","RN","",""
"","","Smp","Smp"
"2021-03-03 07:00:16",977456,9.433831,4.205319
"2021-03-03 07:00:18",977457,9.431103,4.341745
"2021-03-03 07:00:20",977458,9.433831,4.341745
"2021-03-03 07:00:22",977459,9.467938,4.355388
"2021-03-03 07:00:24",977460,9.462481,4.181445
"2021-03-03 07:00:26",977461,9.484309,4.365619
"2021-03-03 07:00:28",977462,9.437924,4.341745
"2021-03-03 07:00:30",977463,9.452931,4.324692
"2021-03-03 07:00:32",977464,9.477488,4.079126
"2021-03-03 07:00:34",977465,9.482944,4.4236
"2021-03-03 07:00:36",977466,9.473395,4.409958
"2021-03-03 07:00:38",977467,9.484309,4.372441
"2021-03-03 07:00:40",977468,9.461117,4.331513
"2021-03-03 07:00:42",977469,9.463845,4.222373
"2021-03-03 07:00:44",977470,9.463845,4.212141
"2021-03-03 07:00:46",977471,9.43656,4.358799
"2021-03-03 07:00:48",977472,9.466574,4.212141
"2021-03-03 07:00:50",977473,9.472031,4.348567
"2021-03-03 07:00:52",977474,9.466574,4.280354
"2021-03-03 07:00:54",977475,9.458388,4.334924
"2021-03-03 07:00:56",977476,9.474759,4.341745
"2021-03-03 07:00:58",977477,9.484309,4.075715
"2021-03-03 07:01:00",977478,9.526601,4.092769
"2021-03-03 07:01:02",977479,9.51023,4.290586
"2021-03-03 07:01:04",977480,9.504773,4.304228
"2021-03-03 07:01:06",977481,9.492495,4.348567
"2021-03-03 07:01:08",977482,9.493859,4.36903
"2021-03-03 07:01:10",977483,9.518415,4.137106
"2021-03-03 07:01:12",977484,9.515687,4.334924
"2021-03-03 07:01:14",977485,9.522509,4.372441
"2021-03-03 07:01:16",977486,9.522509,4.051841
"2021-03-03 07:01:18",977487,9.50068,4.297407
"2021-03-03 07:01:20",977488,9.538879,4.106411
"2021-03-03 07:01:22",977489,9.522509,4.290586
"2021-03-03 07:01:24",977490,9.512959,4.433832
"2021-03-03 07:01:26",977491,9.51023,4.31446
"2021-03-03 07:01:28",977492,9.512959,4.382673
"2021-03-03 07:01:30",977493,9.495223,4.065483
"2021-03-03 07:01:32",977494,9.502045,4.341745
"2021-03-03 07:01:34",977495,9.499316,4.222373
"2021-03-03 07:01:36",977496,9.504773,4.358799
"2021-03-03 07:01:38",977497,9.504773,4.379262
"2021-03-03 07:01:40",977498,9.512959,4.338335
"2021-03-03 07:01:42",977499,9.534786,4.362209
"2021-03-03 07:01:44",977500,9.522509,4.348567
"2021-03-03 07:01:46",977501,9.536151,4.174623
