timestamp,RECORD,TcRafat_Avg(1),TcRafat_Avg(2),TcRafat_Avg(3),TcRafat_Avg(4),TcRafat_Avg(5),TcRafat_Avg(6)
2021-04-02 00:00:00,75361,7.983674,8.411379,7.627433,7.185773,,20.26612
2021-04-02 00:03:00,75364,7.271982,7.173475,7.985848,7.753537,,20.21692
2021-04-02 00:04:00,75365,7.28038,7.167453,8.192784,7.581416,,20.22589
2021-04-02 00:05:00,75366,7.274377,7.181878,8.218134,7.856399,,20.24514
2021-04-02 00:06:00,75367,7.268461,7.189288,8.434742,8.202172,,20.21011
2021-04-02 00:07:00,75368,7.269389,7.2061,7.618278,7.378912,,20.17225
2021-04-02 00:08:00,75369,7.261052,7.194633,7.606882,7.010798,,20.18029
2021-04-02 00:09:00,75370,7.717301,8.292127,7.538288,7.293458,,20.1431
2021-04-02 00:10:00,75371,7.826303,8.314497,7.753673,7.337408,,20.14023
2021-04-02 00:11:00,75372,7.987216,8.431332,7.609313,7.430048,,20.15243
2021-04-02 00:12:00,75373,7.600722,8.066079,7.56249,7.189243,,20.17359
2021-04-02 00:13:00,75374,7.423862,7.752456,7.079246,6.866576,,20.1271
2021-04-02 00:14:00,75375,7.513657,8.053491,7.08273,6.86164,,20.17098
2021-04-02 00:15:00,75376,7.471924,8.010377,7.063529,6.839571,,20.15391
2021-04-02 00:16:00,75377,7.369646,8.088549,7.035025,6.823629,,20.11427
2021-04-02 00:17:00,75378,7.519517,8.007225,7.013369,6.810359,,20.17943
2021-04-02 00:18:00,75379,7.631337,8.112263,6.992525,6.773602,,20.09333
2021-04-02 00:19:00,75380,7.493939,7.906183,6.962923,6.755362,,20.13558
2021-04-02 00:20:00,75381,7.347042,7.962356,7.005031,6.788019,,20.18263
2021-04-02 00:21:00,75382,7.560884,8.119289,7.53327,7.171303,,20.12885
2021-04-02 00:22:00,75383,7.394477,7.985002,7.214053,6.748168,,20.16073
2021-04-02 00:23:00,75384,7.418116,7.911464,7.698157,7.164403,,20.13382
2021-04-02 00:24:00,75385,7.421924,8.020624,7.615281,7.354206,,20.15017
2021-04-02 00:25:00,75386,7.507784,8.030534,7.564521,7.377827,,20.12641
2021-04-02 00:26:00,75387,7.400526,7.723475,7.293738,7.073135,,20.06485
2021-04-02 00:27:00,75388,7.652982,7.962118,7.167105,6.769144,,20.15427
