timestamp,Tc(1),Tc(2),Tc(3),Tc(4),Tc(5),Tc(6)
2022-01-14 00:00:00,9.129298,9.074259,9.168332,9.214431,,20.73826
2022-01-14 00:01:00,9.139118,9.060538,9.117454,9.373828,,20.74951
2022-01-14 00:02:00,9.169178,9.160219,9.209443,9.180741,,20.74977
2022-01-14 00:03:00,9.139197,9.148417,9.171946,9.321379,,20.75425
2022-01-14 00:04:00,9.174654,9.091196,9.207354,9.404073,,20.75479
2022-01-14 00:05:00,9.166805,9.141511,9.275607,9.186084,,20.7431
2022-01-14 00:06:00,9.172857,9.21045,9.013716,9.200185,,20.7492
2022-01-14 00:07:00,9.406298,9.280051,9.167518,9.306277,,20.74728
2022-01-14 00:08:00,9.472739,9.404255,9.23435,9.160919,,20.74277
2022-01-14 00:09:00,9.485703,9.448542,9.167615,9.200842,,20.75759
2022-01-14 00:10:00,9.510106,9.495587,9.175951,9.284553,,20.73474
2022-01-14 00:11:00,9.534917,9.422963,9.239604,9.137778,,20.76431
2022-01-14 00:12:00,9.546033,9.419842,9.226009,9.08653,,20.77192
2022-01-14 00:13:00,9.541895,9.501315,9.162541,9.244418,,20.73032
2022-01-14 00:14:00,9.557407,9.424806,9.149152,9.189331,,20.76266
2022-01-14 00:15:00,9.320981,9.268314,9.201558,9.182709,,20.75787
2022-01-14 00:16:00,9.253615,9.162002,9.233931,9.152309,,20.75261
2022-01-14 00:17:00,9.23093,9.150521,9.17596,9.156941,,20.76633
2022-01-14 00:18:00,9.221539,9.180006,9.252425,9.125063,,20.76347
2022-01-14 00:19:00,9.217151,9.182878,9.132711,9.171295,,20.73318
2022-01-14 00:20:00,9.209087,9.267788,9.199085,9.067204,,20.77996
2022-01-14 00:21:00,9.2112,9.265042,9.264119,9.240682,,20.75332
2022-01-14 00:22:00,9.213071,9.220118,9.165905,9.152251,,20.76081
2022-01-14 00:23:00,9.23563,9.212505,9.215575,9.212198,,20.76719
2022-01-14 00:24:00,9.202435,9.233708,9.259645,9.246509,,20.73507
2022-01-14 00:25:00,9.21931,9.246843,9.286402,9.177887,,20.74817
2022-01-14 00:26:00,9.253703,9.125288,9.50708,9.177027,,20.75319
2022-01-14 00:27:00,9.227702,9.195405,9.475956,9.528948,,20.744
2022-01-14 00:28:00,9.208465,9.24904,9.557184,9.472898,,20.76114
2022-01-14 00:29:00,9.241934,9.199325,9.634775,9.616293,,20.76209
2022-01-14 00:30:00,9.237037,9.18977,9.506766,9.494542,,20.73843
2022-01-14 00:31:00,9.209705,9.134022,9.529809,9.688542,,20.74258
2022-01-14 00:32:00,9.192564,9.087703,9.638327,9.522198,,20.76711
2022-01-14 00:33:00,9.182086,9.140764,9.530255,9.661458,,20.75352
2022-01-14 00:34:00,9.143368,9.099845,9.52901,9.595594,,20.76621
2022-01-14 00:35:00,9.143143,9.164025,9.317251,9.019522,,20.76107
2022-01-14 00:36:00,9.171355,8.912429,9.088029,9.09884,,20.80491
