timestamp,Tc(1),Tc(2),Tc(3),Tc(4),Tc(5),Tc(6)
2022-01-11 00:00:00,3.494107,3.324136,2.528206,2.236606,,20.58834
2022-01-11 00:01:00,3.500744,3.349372,2.705242,2.49,,20.57667
2022-01-11 00:02:00,3.502348,3.352943,2.643408,2.479736,,20.56268
2022-01-11 00:03:00,3.176581,3.167534,2.460163,2.34524,,20.5492
2022-01-11 00:04:00,2.919753,2.978344,2.19868,2.02472,,20.5525
2022-01-11 00:05:00,2.948192,2.954787,2.287758,2.118356,,20.52565
2022-01-11 00:06:00,2.987796,2.909275,2.338965,2.232494,,20.50969
2022-01-11 00:07:00,2.85715,2.836899,2.258841,1.985096,,20.50589
2022-01-11 00:08:00,2.869497,2.863405,2.119436,1.824396,,20.5335
2022-01-11 00:09:00,2.871008,2.885891,2.196509,1.930298,,20.53866
2022-01-11 00:10:00,2.893244,2.915072,2.531291,2.113359,,20.55359
2022-01-11 00:11:00,2.920449,2.953155,2.774373,2.450657,,20.53761
2022-01-11 00:12:00,2.959267,2.994626,3.095546,2.792305,,20.55069
2022-01-11 00:13:00,2.997619,3.04951,3.243079,3.050215,,20.5389
2022-01-11 00:14:00,3.031737,3.082669,3.083855,2.951406,,20.54263
2022-01-11 00:15:00,3.573383,3.348107,2.831962,2.749037,,20.53975
2022-01-11 00:16:00,3.507271,3.433539,2.639568,2.534065,,20.53172
2022-01-11 00:17:00,3.263958,3.223492,2.489835,2.341469,,20.54244
2022-01-11 00:18:00,3.124633,3.06882,2.360544,2.208033,,20.53151
2022-01-11 00:19:00,3.120964,3.016821,2.248597,1.995427,,20.53341
2022-01-11 00:20:00,3.201554,3.059254,2.217387,1.972907,,20.54735
2022-01-11 00:21:00,3.212456,3.128546,2.309971,2.101724,,20.54846
2022-01-11 00:22:00,3.034535,3.027924,2.169455,2.030715,,20.51854
2022-01-11 00:23:00,2.736889,2.788776,1.986922,1.843041,,20.53295
2022-01-11 00:24:00,2.502963,2.586102,1.992372,1.804893,,20.51825
2022-01-11 00:25:00,2.633463,2.626442,2.064658,1.88643,,20.49711
2022-01-11 00:26:00,2.604341,2.550011,2.039704,1.816807,,20.50262
2022-01-11 00:27:00,2.809078,2.726729,2.215381,2.077419,,20.5006
2022-01-11 00:28:00,3.108716,2.899364,2.253238,2.177494,,20.51243
2022-01-11 00:29:00,3.212304,2.986938,2.262708,2.205004,,20.54133
