"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_25_9_2020.CR1","4460","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-09-26 09:01:00",1304,28.16804,27.6828,26.41059,26.10881,"NAN",26.43752
"2020-09-26 09:02:00",1305,28.91712,28.39791,28.32948,26.52401,"NAN",26.46741
"2020-09-26 09:03:00",1306,29.48483,28.92884,28.94339,28.0573,"NAN",26.47694
"2020-09-26 09:04:00",1307,29.81466,29.24215,28.88299,28.88284,"NAN",26.44585
"2020-09-26 09:05:00",1308,30.41429,29.8376,29.01607,28.75141,"NAN",26.45601
"2020-09-26 09:06:00",1309,30.37764,29.9361,26.49067,26.03106,"NAN",26.44811
"2020-09-26 09:07:00",1310,30.59154,30.17615,27.00152,26.51485,"NAN",26.45523
"2020-09-26 09:08:00",1311,30.26036,29.89057,25.71173,25.78715,"NAN",26.42831
"2020-09-26 09:09:00",1312,29.00057,28.46324,27.41096,26.26862,"NAN",26.46178
"2020-09-26 09:10:00",1313,27.54224,27.35581,27.18256,26.70149,"NAN",26.47132
"2020-09-26 09:11:00",1314,25.36294,25.26972,25.36156,25.21315,"NAN",26.47118
"2020-09-26 09:12:00",1315,25.3822,25.29413,25.19988,24.94147,"NAN",26.48824
"2020-09-26 09:13:00",1316,24.09281,24.09216,24.37797,24.31641,"NAN",26.48251
"2020-09-26 09:14:00",1317,23.43209,23.51792,23.60905,23.53649,"NAN",26.48982
"2020-09-26 09:15:00",1318,23.34142,23.42413,23.7805,23.50857,"NAN",26.50052
"2020-09-26 09:16:00",1319,23.23128,23.32218,23.73491,23.49352,"NAN",26.50718
"2020-09-26 09:17:00",1320,23.48845,23.56749,23.71599,23.44353,"NAN",26.50957
"2020-09-26 09:18:00",1321,23.62674,23.68505,24.00453,23.62755,"NAN",26.51813
"2020-09-26 09:19:00",1322,23.88502,23.90132,23.48564,23.41579,"NAN",26.51371
"2020-09-26 09:20:00",1323,23.57472,23.62188,24.07447,23.83626,"NAN",26.5209
"2020-09-26 09:21:00",1324,23.92654,23.8737,24.05957,23.99841,"NAN",26.51663
"2020-09-26 09:22:00",1325,25.49371,25.06525,25.48433,24.76795,"NAN",26.51044
"2020-09-26 09:23:00",1326,29.40796,27.82595,26.51401,26.95359,"NAN",26.53354
"2020-09-26 09:24:00",1327,27.84537,26.4641,26.69039,26.46529,"NAN",26.53676
"2020-09-26 09:25:00",1328,28.84886,27.23179,28.07922,27.29769,"NAN",26.52925
"2020-09-26 09:26:00",1329,27.20756,26.28117,26.4901,26.7354,"NAN",26.54862
"2020-09-26 09:27:00",1330,27.03589,26.20086,26.85103,26.72862,"NAN",26.56277
"2020-09-26 09:28:00",1331,26.57057,25.87778,26.39273,26.26231,"NAN",26.56787
"2020-09-26 09:29:00",1332,25.85472,25.39905,26.15518,26.37811,"NAN",26.57515
"2020-09-26 09:30:00",1333,25.08739,24.8822,25.38132,25.61403,"NAN",26.56751
"2020-09-26 09:31:00",1334,25.99246,25.87046,25.13556,25.59867,"NAN",26.5501
"2020-09-26 09:32:00",1335,25.50854,25.34787,24.95529,25.52607,"NAN",26.55702
"2020-09-26 09:33:00",1336,24.55665,24.54342,24.82393,24.93064,"NAN",26.55464
"2020-09-26 09:34:00",1337,23.96207,24.01511,24.17966,24.12523,"NAN",26.55099
"2020-09-26 09:35:00",1338,24.04748,24.11823,24.50257,24.35393,"NAN",26.5499
"2020-09-26 09:36:00",1339,23.76044,23.85898,23.89944,23.85636,"NAN",26.57044
"2020-09-26 09:37:00",1340,23.55017,23.67056,23.80728,23.68588,"NAN",26.58354
"2020-09-26 09:38:00",1341,23.63502,23.76959,23.90696,23.76831,"NAN",26.59142
"2020-09-26 09:39:00",1342,23.73163,23.83417,23.84855,23.6914,"NAN",26.60168
"2020-09-26 09:40:00",1343,24.00852,24.15134,24.54864,24.04253,"NAN",26.59053
"2020-09-26 09:41:00",1344,24.53859,24.42796,25.27372,25.19338,"NAN",26.58777
"2020-09-26 09:42:00",1345,25.56501,25.15108,26.3534,26.75375,"NAN",26.59468
"2020-09-26 09:43:00",1346,26.34812,25.91757,26.97663,27.45794,"NAN",26.59472
"2020-09-26 09:44:00",1347,27.25017,26.79135,28.73472,28.02783,"NAN",26.61666
"2020-09-26 09:45:00",1348,27.70494,26.86002,29.93831,29.65066,"NAN",26.61795
"2020-09-26 09:46:00",1349,27.22918,26.79251,29.19277,28.98427,"NAN",26.62228
"2020-09-26 09:47:00",1350,27.01794,26.7783,29.62261,29.70616,"NAN",26.60972
"2020-09-26 09:48:00",1351,27.02977,26.97805,30.09992,30.05208,"NAN",26.5995
"2020-09-26 09:49:00",1352,26.55713,26.58958,27.97707,28.31638,"NAN",26.61828
"2020-09-26 09:50:00",1353,26.91781,27.14572,27.31074,27.94288,"NAN",26.59791
"2020-09-26 09:51:00",1354,28.17833,28.43323,28.61889,30.09579,"NAN",26.60647
"2020-09-26 09:52:00",1355,27.33033,27.1562,28.42088,29.41284,"NAN",26.59229
"2020-09-26 09:53:00",1356,26.7852,26.72883,26.50653,27.33986,"NAN",26.59704
"2020-09-26 09:54:00",1357,26.97565,26.95501,27.02228,27.33526,"NAN",26.59951
"2020-09-26 09:55:00",1358,26.29992,25.89238,26.50443,26.77036,"NAN",26.60632
"2020-09-26 09:56:00",1359,26.95254,26.80525,27.69726,27.77517,"NAN",26.5808
"2020-09-26 09:57:00",1360,26.6317,26.382,26.77317,27.44735,"NAN",26.57245
"2020-09-26 09:58:00",1361,25.81191,25.64758,26.36891,26.63745,"NAN",26.60535
"2020-09-26 09:59:00",1362,25.51389,25.44976,25.65669,25.68281,"NAN",26.61069
"2020-09-26 10:00:00",1363,24.94501,24.9167,25.01952,25.10575,"NAN",26.58337
