"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_25_9_2020.CR1","4460","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-09-26 14:01:00",1604,30.19282,30.32712,29.56464,29.90349,"NAN",27.10769
"2020-09-26 14:02:00",1605,31.09946,31.1298,30.17272,30.29902,"NAN",27.10898
"2020-09-26 14:03:00",1606,31.43688,31.43915,29.90534,30.29807,"NAN",27.10315
"2020-09-26 14:04:00",1607,31.63571,31.60949,29.12181,29.3566,"NAN",27.09904
"2020-09-26 14:05:00",1608,31.7424,31.68427,29.7894,29.91989,"NAN",27.1175
"2020-09-26 14:06:00",1609,31.87678,31.81701,29.94265,30.04145,"NAN",27.11659
"2020-09-26 14:07:00",1610,31.94443,31.89378,29.67792,29.75821,"NAN",27.1225
"2020-09-26 14:08:00",1611,32.10039,32.04164,31.54406,31.2795,"NAN",27.09998
"2020-09-26 14:09:00",1612,31.62129,30.82794,30.6175,30.76946,"NAN",27.1239
"2020-09-26 14:10:00",1613,31.86726,31.01045,32.12228,31.4515,"NAN",27.1098
"2020-09-26 14:11:00",1614,32.61549,31.49514,31.75416,31.31901,"NAN",27.1104
"2020-09-26 14:12:00",1615,31.02316,30.24821,30.2983,30.35686,"NAN",27.09396
"2020-09-26 14:13:00",1616,31.05281,30.24163,30.18909,30.42354,"NAN",27.10089
"2020-09-26 14:14:00",1617,31.76446,31.19188,31.09702,31.19239,"NAN",27.09053
"2020-09-26 14:15:00",1618,31.59125,31.1049,30.8378,31.00138,"NAN",27.10117
"2020-09-26 14:16:00",1619,29.67764,29.28968,29.00926,29.25793,"NAN",27.08294
"2020-09-26 14:17:00",1620,29.31253,29.03426,29.41026,29.28859,"NAN",27.09392
"2020-09-26 14:18:00",1621,29.71378,29.35003,29.16024,29.08327,"NAN",27.09987
"2020-09-26 14:19:00",1622,29.29742,28.9991,29.2452,29.12438,"NAN",27.12618
"2020-09-26 14:20:00",1623,29.49204,29.10963,29.14495,28.98271,"NAN",27.09215
"2020-09-26 14:21:00",1624,29.231,28.86107,29.01035,28.78665,"NAN",27.11938
"2020-09-26 14:22:00",1625,28.94888,28.68791,28.66396,28.52954,"NAN",27.09381
"2020-09-26 14:23:00",1626,28.52629,28.32466,28.5916,28.45532,"NAN",27.12785
"2020-09-26 14:24:00",1627,27.69865,27.62745,28.0877,28.04883,"NAN",27.11753
"2020-09-26 14:25:00",1628,28.52743,28.32079,28.7969,28.65702,"NAN",27.12293
"2020-09-26 14:26:00",1629,28.98185,28.76422,29.33836,29.24542,"NAN",27.1096
"2020-09-26 14:27:00",1630,28.55225,28.30653,29.25928,29.13589,"NAN",27.09908
"2020-09-26 14:28:00",1631,27.94062,27.76403,27.99425,27.99651,"NAN",27.10335
"2020-09-26 14:29:00",1632,28.15977,27.92585,28.12148,27.982,"NAN",27.118
"2020-09-26 14:30:00",1633,28.34381,28.06669,28.19254,28.13759,"NAN",27.11497
"2020-09-26 14:31:00",1634,28.65,28.42917,28.43837,28.27661,"NAN",27.09068
"2020-09-26 14:32:00",1635,28.44989,28.25118,28.69926,28.64882,"NAN",27.1058
"2020-09-26 14:33:00",1636,28.60932,28.45677,29.04784,29.11804,"NAN",27.10376
"2020-09-26 14:34:00",1637,28.37692,28.27659,28.47451,28.50984,"NAN",27.10206
"2020-09-26 14:35:00",1638,28.8652,28.80506,28.62906,28.54432,"NAN",27.0976
"2020-09-26 14:36:00",1639,28.82923,28.77132,28.42724,28.35605,"NAN",27.10691
"2020-09-26 14:37:00",1640,29.06789,28.91191,28.96867,28.72272,"NAN",27.10252
"2020-09-26 14:38:00",1641,28.87511,28.65182,29.07345,28.99013,"NAN",27.11149
"2020-09-26 14:39:00",1642,28.76357,28.50886,28.56708,28.47718,"NAN",27.14288
"2020-09-26 14:40:00",1643,29.2695,28.98745,29.07364,28.8187,"NAN",27.09736
"2020-09-26 14:41:00",1644,28.44743,28.33603,29.10757,29.05348,"NAN",27.09866
"2020-09-26 14:42:00",1645,27.97505,27.87786,27.90409,28.01293,"NAN",27.09903
"2020-09-26 14:43:00",1646,28.18904,28.02082,27.82786,27.76786,"NAN",27.09986
"2020-09-26 14:44:00",1647,28.54263,28.3289,28.14622,28.09685,"NAN",27.10696
"2020-09-26 14:45:00",1648,28.47867,28.28125,28.65188,28.52039,"NAN",27.10362
"2020-09-26 14:46:00",1649,28.82303,28.67216,28.49537,28.51827,"NAN",27.09848
"2020-09-26 14:47:00",1650,28.96677,28.81627,28.29612,28.3623,"NAN",27.07875
"2020-09-26 14:48:00",1651,28.18876,28.11406,28.18584,28.15776,"NAN",27.09774
"2020-09-26 14:49:00",1652,28.20575,28.23516,28.66695,28.46657,"NAN",27.11062
"2020-09-26 14:50:00",1653,28.24006,28.1906,28.22283,28.22388,"NAN",27.10751
"2020-09-26 14:51:00",1654,27.92578,27.94055,28.23932,28.12781,"NAN",27.08557
"2020-09-26 14:52:00",1655,27.80764,27.84546,28.32024,28.17426,"NAN",27.07219
"2020-09-26 14:53:00",1656,27.80865,27.8374,27.85908,27.79385,"NAN",27.07339
"2020-09-26 14:54:00",1657,27.54021,27.51699,27.79393,27.80504,"NAN",27.0754
"2020-09-26 14:55:00",1658,27.33682,27.33963,27.4199,27.41515,"NAN",27.07516
"2020-09-26 14:56:00",1659,27.69574,27.73866,28.01932,27.8843,"NAN",27.04892
"2020-09-26 14:57:00",1660,27.68982,27.6822,27.96078,27.93161,"NAN",27.05242
"2020-09-26 14:58:00",1661,27.66049,27.64164,28.39788,28.24265,"NAN",27.0678
"2020-09-26 14:59:00",1662,27.62023,27.5794,27.67279,27.74338,"NAN",27.08183
"2020-09-26 15:00:00",1663,27.41949,27.36939,27.02482,27.03153,"NAN",27.07536
