"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_25_9_2020.CR1","4460","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-09-26 19:01:00",1904,20.77828,20.83219,21.23322,21.04799,"NAN",26.20027
"2020-09-26 19:02:00",1905,20.72272,20.76924,21.24293,20.9855,"NAN",26.21385
"2020-09-26 19:03:00",1906,20.67231,20.74507,21.33541,21.09571,"NAN",26.2003
"2020-09-26 19:04:00",1907,20.63735,20.72452,21.37544,21.10612,"NAN",26.20547
"2020-09-26 19:05:00",1908,20.63005,20.70504,21.3581,21.18348,"NAN",26.22587
"2020-09-26 19:06:00",1909,20.6238,20.70716,21.22756,21.00921,"NAN",26.23385
"2020-09-26 19:07:00",1910,20.61024,20.68966,21.25317,20.9756,"NAN",26.21945
"2020-09-26 19:08:00",1911,20.59671,20.68157,21.33886,21.07084,"NAN",26.21896
"2020-09-26 19:09:00",1912,21.12903,21.335,21.21047,21.0587,"NAN",26.21481
"2020-09-26 19:10:00",1913,21.04989,21.22796,21.06739,20.816,"NAN",26.2148
"2020-09-26 19:11:00",1914,20.76754,20.9324,21.08856,20.81778,"NAN",26.22174
"2020-09-26 19:12:00",1915,20.46391,20.69554,21.09478,20.77304,"NAN",26.20774
"2020-09-26 19:13:00",1916,20.66811,20.95338,21.06781,20.65583,"NAN",26.18441
"2020-09-26 19:14:00",1917,20.52292,20.76853,21.06476,20.6614,"NAN",26.17975
"2020-09-26 19:15:00",1918,20.9024,21.08199,21.16733,20.96725,"NAN",26.20026
"2020-09-26 19:16:00",1919,21.08772,21.24949,20.98722,20.68194,"NAN",26.201
"2020-09-26 19:17:00",1920,20.57578,20.72451,21.14875,20.90476,"NAN",26.19478
"2020-09-26 19:18:00",1921,20.96955,21.16663,20.98605,20.75071,"NAN",26.1863
"2020-09-26 19:19:00",1922,20.93175,21.077,20.87958,20.66705,"NAN",26.18597
"2020-09-26 19:20:00",1923,20.85377,20.9898,20.66115,20.56508,"NAN",26.18999
"2020-09-26 19:21:00",1924,20.5158,20.70802,20.61411,20.39277,"NAN",26.19328
"2020-09-26 19:22:00",1925,20.49612,20.75228,20.70043,20.33433,"NAN",26.18766
"2020-09-26 19:23:00",1926,20.74015,20.96904,20.6629,20.23303,"NAN",26.17792
"2020-09-26 19:24:00",1927,20.54513,20.72429,20.77997,20.41458,"NAN",26.20326
"2020-09-26 19:25:00",1928,20.46309,20.71567,20.91851,20.51836,"NAN",26.16347
"2020-09-26 19:26:00",1929,20.50775,20.68711,20.92772,20.68931,"NAN",26.17072
"2020-09-26 19:27:00",1930,20.64878,20.82147,20.87735,20.63889,"NAN",26.16219
"2020-09-26 19:28:00",1931,20.2617,20.43613,20.59086,20.30553,"NAN",26.16146
"2020-09-26 19:29:00",1932,20.29384,20.55328,20.6936,20.35595,"NAN",26.14985
"2020-09-26 19:30:00",1933,20.39152,20.60743,20.63642,20.30466,"NAN",26.14099
"2020-09-26 19:31:00",1934,20.35349,20.54307,20.47686,20.1989,"NAN",26.14141
"2020-09-26 19:32:00",1935,19.9616,20.18647,20.56997,20.32879,"NAN",26.1326
"2020-09-26 19:33:00",1936,20.25305,20.48622,20.64817,20.40211,"NAN",26.13003
"2020-09-26 19:34:00",1937,20.49046,20.70264,20.56771,20.38212,"NAN",26.13715
"2020-09-26 19:35:00",1938,20.0096,20.19745,20.42972,20.18586,"NAN",26.12977
"2020-09-26 19:36:00",1939,19.68295,19.87668,20.73005,20.33167,"NAN",26.12633
"2020-09-26 19:37:00",1940,19.81916,20.05492,20.73997,20.3956,"NAN",26.12634
"2020-09-26 19:38:00",1941,19.65193,19.83467,20.57015,20.28426,"NAN",26.12913
"2020-09-26 19:39:00",1942,19.55182,19.74553,20.43761,20.09494,"NAN",26.11514
"2020-09-26 19:40:00",1943,19.64161,19.84104,20.57039,20.25239,"NAN",26.1289
"2020-09-26 19:41:00",1944,19.91721,20.12485,20.89599,20.62392,"NAN",26.09599
"2020-09-26 19:42:00",1945,19.86854,20.13624,20.60858,20.49404,"NAN",26.09763
"2020-09-26 19:43:00",1946,19.66822,19.89778,20.71115,20.43392,"NAN",26.1159
"2020-09-26 19:44:00",1947,19.6338,19.84481,20.53275,20.23174,"NAN",26.09516
"2020-09-26 19:45:00",1948,19.79484,20.00515,20.34177,20.07955,"NAN",26.09748
"2020-09-26 19:46:00",1949,20.05063,20.24947,20.30501,20.12075,"NAN",26.08422
"2020-09-26 19:47:00",1950,19.73295,19.91995,20.28168,20.09838,"NAN",26.09155
"2020-09-26 19:48:00",1951,19.93822,20.16265,20.49734,20.25368,"NAN",26.07546
"2020-09-26 19:49:00",1952,19.90586,20.04144,20.55683,20.33233,"NAN",26.07267
"2020-09-26 19:50:00",1953,19.70295,19.84028,20.56593,20.31037,"NAN",26.0737
"2020-09-26 19:51:00",1954,19.70686,19.95008,20.54611,20.35595,"NAN",26.05473
"2020-09-26 19:52:00",1955,19.89606,20.07236,20.324,20.12678,"NAN",26.06915
"2020-09-26 19:53:00",1956,19.66546,19.83611,20.63437,20.33824,"NAN",26.07973
"2020-09-26 19:54:00",1957,19.7044,19.93968,20.53511,20.28674,"NAN",26.07411
"2020-09-26 19:55:00",1958,19.93408,20.17426,20.55997,20.35302,"NAN",26.07822
"2020-09-26 19:56:00",1959,19.93531,20.14235,20.53209,20.32434,"NAN",26.05832
"2020-09-26 19:57:00",1960,19.57677,19.72464,20.478,20.34175,"NAN",26.0557
"2020-09-26 19:58:00",1961,19.69699,19.93365,20.4176,20.1966,"NAN",26.06295
"2020-09-26 19:59:00",1962,19.786,20.01382,20.43556,20.22436,"NAN",26.07042
"2020-09-26 20:00:00",1963,19.88058,20.0436,20.38105,20.17157,"NAN",26.06197
