"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_25_9_2020.CR1","4460","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-09-26 06:01:00",1124,19.30981,19.35574,19.47962,19.27937,"NAN",25.80694
"2020-09-26 06:02:00",1125,19.35856,19.37869,19.49007,19.33413,"NAN",25.81218
"2020-09-26 06:03:00",1126,19.38822,19.39056,19.53078,19.38133,"NAN",25.81531
"2020-09-26 06:04:00",1127,19.39599,19.42169,19.57519,19.45644,"NAN",25.80946
"2020-09-26 06:05:00",1128,19.436,19.44627,19.58694,19.4585,"NAN",25.82345
"2020-09-26 06:06:00",1129,19.45884,19.4759,19.63748,19.50488,"NAN",25.80928
"2020-09-26 06:07:00",1130,19.49353,19.50106,19.68191,19.55493,"NAN",25.80776
"2020-09-26 06:08:00",1131,19.54644,19.54465,19.71698,19.60634,"NAN",25.81297
"2020-09-26 06:09:00",1132,19.64805,19.64072,19.77155,19.65477,"NAN",25.81958
"2020-09-26 06:10:00",1133,19.62185,19.63111,19.81095,19.66702,"NAN",25.80012
"2020-09-26 06:11:00",1134,19.57312,19.59184,19.79584,19.6711,"NAN",25.82287
"2020-09-26 06:12:00",1135,19.70503,19.70178,19.81541,19.63978,"NAN",25.81885
"2020-09-26 06:13:00",1136,19.61561,19.62929,19.87197,19.67146,"NAN",25.83329
"2020-09-26 06:14:00",1137,19.62579,19.67493,19.86029,19.69719,"NAN",25.83634
"2020-09-26 06:15:00",1138,19.58075,19.6333,19.89898,19.66993,"NAN",25.81527
"2020-09-26 06:16:00",1139,19.7013,19.75222,19.96658,19.67365,"NAN",25.8172
"2020-09-26 06:17:00",1140,19.68263,19.74175,19.86888,19.61375,"NAN",25.80964
"2020-09-26 06:18:00",1141,19.63144,19.7002,19.7909,19.50136,"NAN",25.82909
"2020-09-26 06:19:00",1142,19.53027,19.59065,19.72896,19.41228,"NAN",25.81509
"2020-09-26 06:20:00",1143,19.5043,19.56169,19.63553,19.37888,"NAN",25.83043
"2020-09-26 06:21:00",1144,19.53112,19.52094,19.56931,19.29729,"NAN",25.83614
"2020-09-26 06:22:00",1145,19.44792,19.5247,19.55554,19.31255,"NAN",25.80832
"2020-09-26 06:23:00",1146,19.56985,19.61621,19.61633,19.36665,"NAN",25.82067
"2020-09-26 06:24:00",1147,19.70852,19.84378,19.66113,19.49669,"NAN",25.84816
"2020-09-26 06:25:00",1148,19.87252,19.98141,19.74646,19.52294,"NAN",25.82904
"2020-09-26 06:26:00",1149,19.83571,19.99308,19.8235,19.58769,"NAN",25.83277
"2020-09-26 06:27:00",1150,19.77944,19.94716,19.85119,19.56398,"NAN",25.82052
"2020-09-26 06:28:00",1151,19.77845,19.89992,19.82456,19.51539,"NAN",25.84397
"2020-09-26 06:29:00",1152,19.79597,19.90073,19.85843,19.58904,"NAN",25.81598
"2020-09-26 06:30:00",1153,19.88183,20.02232,19.97711,19.75391,"NAN",25.81877
"2020-09-26 06:31:00",1154,19.99151,20.15429,20.16129,19.8751,"NAN",25.83405
"2020-09-26 06:32:00",1155,20.04041,20.1719,20.13775,19.84931,"NAN",25.81838
"2020-09-26 06:33:00",1156,20.08211,20.25484,20.08521,19.84149,"NAN",25.81853
"2020-09-26 06:34:00",1157,20.07765,20.19887,20.09578,19.7711,"NAN",25.81339
"2020-09-26 06:35:00",1158,19.99344,20.11,20.06571,19.75856,"NAN",25.83521
"2020-09-26 06:36:00",1159,20.03342,20.08647,20.16745,19.91316,"NAN",25.84172
"2020-09-26 06:37:00",1160,20.18295,20.26464,20.29528,19.97669,"NAN",25.82744
"2020-09-26 06:38:00",1161,20.39982,20.52112,20.34201,19.94719,"NAN",25.82524
"2020-09-26 06:39:00",1162,20.45043,20.6408,20.55554,20.10552,"NAN",25.83121
"2020-09-26 06:40:00",1163,20.50767,20.66097,20.68771,20.18735,"NAN",25.83684
"2020-09-26 06:41:00",1164,20.46393,20.59303,20.52178,20.09165,"NAN",25.83532
"2020-09-26 06:42:00",1165,20.29419,20.37358,20.47099,20.01476,"NAN",25.84782
"2020-09-26 06:43:00",1166,19.89794,20.03316,20.36794,19.93937,"NAN",25.85658
"2020-09-26 06:44:00",1167,20.07098,20.13695,20.11342,19.67439,"NAN",25.85624
"2020-09-26 06:45:00",1168,20.21574,20.30647,20.25164,19.88217,"NAN",25.86385
"2020-09-26 06:46:00",1169,20.51831,20.66331,20.44591,20.07012,"NAN",25.87211
"2020-09-26 06:47:00",1170,20.46593,20.62739,20.50431,19.99556,"NAN",25.8615
"2020-09-26 06:48:00",1171,20.72217,20.92642,20.46566,19.98679,"NAN",25.85126
"2020-09-26 06:49:00",1172,20.81735,21.10028,20.55468,20.05849,"NAN",25.79309
"2020-09-26 06:50:00",1173,20.87839,21.16387,20.53842,20.06522,"NAN",25.79835
"2020-09-26 06:51:00",1174,20.94494,21.22666,20.58529,20.14262,"NAN",25.79008
"2020-09-26 06:52:00",1175,21.36753,21.59867,20.70387,20.22751,"NAN",25.79794
"2020-09-26 06:53:00",1176,22.44382,22.86466,20.87981,20.41106,"NAN",25.79779
"2020-09-26 06:54:00",1177,23.56836,24.1892,21.19093,20.66906,"NAN",25.78302
"2020-09-26 06:55:00",1178,22.64319,22.585,21.16495,20.66381,"NAN",25.82143
"2020-09-26 06:56:00",1179,21.77712,21.66599,21.02827,20.60802,"NAN",25.83659
"2020-09-26 06:57:00",1180,22.86531,22.96532,21.23563,20.85039,"NAN",25.80294
"2020-09-26 06:58:00",1181,22.63925,22.83961,21.29635,20.86813,"NAN",25.83579
"2020-09-26 06:59:00",1182,23.12272,23.4589,21.49031,20.98469,"NAN",25.82131
"2020-09-26 07:00:00",1183,22.57936,22.74873,21.39558,20.84508,"NAN",25.79948
