"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_25_9_2020.CR1","4460","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-09-27 21:01:00",3464,23.25801,23.18641,23.40708,22.9039,"NAN",26.2507
"2020-09-27 21:02:00",3465,23.04165,23.01908,23.38312,22.9676,"NAN",26.2488
"2020-09-27 21:03:00",3466,22.97836,22.98173,23.40895,23.00116,"NAN",26.23376
"2020-09-27 21:04:00",3467,22.94523,22.95843,23.47922,22.9185,"NAN",26.24368
"2020-09-27 21:05:00",3468,22.91376,22.93774,23.5176,23.07407,"NAN",26.24967
"2020-09-27 21:06:00",3469,22.90436,22.92939,23.56349,23.09976,"NAN",26.24701
"2020-09-27 21:07:00",3470,22.8919,22.91899,23.58237,23.13167,"NAN",26.23544
"2020-09-27 21:08:00",3471,22.88205,22.90766,23.51833,23.10141,"NAN",26.24593
"2020-09-27 21:09:00",3472,23.35658,23.51675,23.48063,23.04407,"NAN",26.22925
"2020-09-27 21:10:00",3473,23.58321,23.71187,23.54088,23.0466,"NAN",26.22806
"2020-09-27 21:11:00",3474,23.58535,23.72204,23.62989,23.17174,"NAN",26.228
"2020-09-27 21:12:00",3475,23.71895,23.9075,23.67795,23.24401,"NAN",26.22653
"2020-09-27 21:13:00",3476,23.74882,23.92087,23.57365,23.17786,"NAN",26.24436
"2020-09-27 21:14:00",3477,23.79244,23.91544,23.77722,23.34091,"NAN",26.23176
"2020-09-27 21:15:00",3478,23.59233,23.73001,23.71269,23.35877,"NAN",26.24506
"2020-09-27 21:16:00",3479,23.86607,24.02511,23.67761,23.21083,"NAN",26.24113
"2020-09-27 21:17:00",3480,24.11062,24.21894,23.62318,23.16156,"NAN",26.23357
"2020-09-27 21:18:00",3481,23.93791,24.04138,23.66378,23.22996,"NAN",26.2386
"2020-09-27 21:19:00",3482,24.00906,24.12865,23.65235,23.23351,"NAN",26.23464
"2020-09-27 21:20:00",3483,23.69323,23.85324,23.65425,23.27031,"NAN",26.24391
"2020-09-27 21:21:00",3484,23.94835,24.09379,23.64613,23.21766,"NAN",26.23677
"2020-09-27 21:22:00",3485,23.82797,23.97516,23.69227,23.27318,"NAN",26.26488
"2020-09-27 21:23:00",3486,23.75656,23.9192,23.71586,23.31237,"NAN",26.28296
"2020-09-27 21:24:00",3487,23.90505,24.03265,23.63961,23.24634,"NAN",26.27221
"2020-09-27 21:25:00",3488,23.9267,24.05691,23.73453,23.24067,"NAN",26.26934
"2020-09-27 21:26:00",3489,23.94664,24.09068,23.67705,23.25607,"NAN",26.28525
"2020-09-27 21:27:00",3490,23.9564,24.08828,23.71045,23.21759,"NAN",26.29399
"2020-09-27 21:28:00",3491,23.94168,24.05733,23.69718,23.33644,"NAN",26.31332
"2020-09-27 21:29:00",3492,23.75874,23.86782,23.56294,23.13147,"NAN",26.30048
"2020-09-27 21:30:00",3493,23.77038,23.90854,23.51915,23.00418,"NAN",26.28323
"2020-09-27 21:31:00",3494,23.72612,23.86566,23.59243,23.03931,"NAN",26.29209
"2020-09-27 21:32:00",3495,24.02601,24.15253,23.67795,23.17544,"NAN",26.29369
"2020-09-27 21:33:00",3496,23.98838,24.10528,24.04208,23.64537,"NAN",26.30761
"2020-09-27 21:34:00",3497,23.84675,23.93338,23.7451,23.34381,"NAN",26.31605
"2020-09-27 21:35:00",3498,23.94233,24.10784,23.85206,23.34277,"NAN",26.3183
"2020-09-27 21:36:00",3499,24.04902,24.16667,23.87549,23.37983,"NAN",26.31265
"2020-09-27 21:37:00",3500,24.07406,24.1905,23.75712,23.35998,"NAN",26.30001
"2020-09-27 21:38:00",3501,24.13232,24.29316,23.81064,23.41166,"NAN",26.32171
"2020-09-27 21:39:00",3502,24.00646,24.12459,23.96507,23.54126,"NAN",26.3001
"2020-09-27 21:40:00",3503,24.07591,24.20951,23.87294,23.60829,"NAN",26.30895
"2020-09-27 21:41:00",3504,24.03418,24.13089,23.88545,23.46456,"NAN",26.32775
"2020-09-27 21:42:00",3505,24.04693,24.17936,24.04285,23.61019,"NAN",26.31558
"2020-09-27 21:43:00",3506,24.20433,24.32339,24.18899,23.9151,"NAN",26.32134
"2020-09-27 21:44:00",3507,24.1073,24.22034,23.90759,23.59684,"NAN",26.31999
"2020-09-27 21:45:00",3508,23.98897,24.1361,23.78448,23.38844,"NAN",26.33571
"2020-09-27 21:46:00",3509,23.8825,24.02559,23.71365,23.27671,"NAN",26.32731
"2020-09-27 21:47:00",3510,23.96536,24.10135,23.80934,23.33658,"NAN",26.3165
"2020-09-27 21:48:00",3511,23.97098,24.06743,23.86828,23.46359,"NAN",26.33836
"2020-09-27 21:49:00",3512,24.00278,24.14107,23.71007,23.40215,"NAN",26.33393
"2020-09-27 21:50:00",3513,23.89226,24.01485,23.87404,23.42753,"NAN",26.33031
"2020-09-27 21:51:00",3514,23.9267,24.046,23.73318,23.39887,"NAN",26.33058
"2020-09-27 21:52:00",3515,23.87743,24.03646,23.74301,23.30797,"NAN",26.31873
"2020-09-27 21:53:00",3516,23.90586,24.03509,23.73863,23.2482,"NAN",26.32636
"2020-09-27 21:54:00",3517,24.00195,24.12579,23.72334,23.28594,"NAN",26.32329
"2020-09-27 21:55:00",3518,23.88334,23.9889,23.7569,23.28988,"NAN",26.31505
"2020-09-27 21:56:00",3519,24.08289,24.20832,23.75968,23.32407,"NAN",26.33891
"2020-09-27 21:57:00",3520,23.97322,24.10212,24.01881,23.59512,"NAN",26.34835
"2020-09-27 21:58:00",3521,24.14834,24.28716,24.05372,23.69378,"NAN",26.35482
"2020-09-27 21:59:00",3522,24.21003,24.38459,23.77357,23.35861,"NAN",26.33622
"2020-09-27 22:00:00",3523,24.20954,24.33311,23.78256,23.35756,"NAN",26.34108
