"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_25_9_2020.CR1","4460","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-09-27 03:01:00",2384,15.019,14.90864,14.59741,14.22709,"NAN",25.43782
"2020-09-27 03:02:00",2385,14.63938,14.59557,14.61127,14.18988,"NAN",25.42465
"2020-09-27 03:03:00",2386,14.52897,14.52934,14.6935,14.18873,"NAN",25.42322
"2020-09-27 03:04:00",2387,14.48511,14.50749,15.01446,14.4242,"NAN",25.43328
"2020-09-27 03:05:00",2388,14.46949,14.51338,15.22207,14.68675,"NAN",25.40108
"2020-09-27 03:06:00",2389,14.4821,14.54306,15.68429,15.15948,"NAN",25.41115
"2020-09-27 03:07:00",2390,14.51366,14.56384,15.52171,15.03308,"NAN",25.41647
"2020-09-27 03:08:00",2391,14.53742,14.59643,15.54738,15.09571,"NAN",25.43566
"2020-09-27 03:09:00",2392,15.97383,16.29348,15.87359,15.33448,"NAN",25.40768
"2020-09-27 03:10:00",2393,16.86136,17.11291,15.69751,15.3666,"NAN",25.41217
"2020-09-27 03:11:00",2394,16.69916,16.89803,15.81263,15.35532,"NAN",25.41613
"2020-09-27 03:12:00",2395,16.82034,17.03089,15.80214,15.36391,"NAN",25.41905
"2020-09-27 03:13:00",2396,17.05198,17.31618,15.9723,15.43976,"NAN",25.40993
"2020-09-27 03:14:00",2397,16.77445,16.99241,15.95195,15.45726,"NAN",25.40313
"2020-09-27 03:15:00",2398,16.66736,16.80821,15.85523,15.46002,"NAN",25.39472
"2020-09-27 03:16:00",2399,16.53201,16.73477,15.64594,15.24373,"NAN",25.41488
"2020-09-27 03:17:00",2400,16.51447,16.6393,15.60874,15.19876,"NAN",25.41105
"2020-09-27 03:18:00",2401,16.75664,16.92545,15.77216,15.24844,"NAN",25.41549
"2020-09-27 03:19:00",2402,16.80471,16.95566,16.12486,15.61404,"NAN",25.43218
"2020-09-27 03:20:00",2403,17.41906,17.63998,16.38553,15.79356,"NAN",25.40876
"2020-09-27 03:21:00",2404,17.36952,17.60513,16.49645,15.86961,"NAN",25.39347
"2020-09-27 03:22:00",2405,17.38925,17.60646,16.63637,15.95408,"NAN",25.41301
"2020-09-27 03:23:00",2406,17.26676,17.44915,16.71358,16.12948,"NAN",25.40915
"2020-09-27 03:24:00",2407,17.35219,17.53286,16.62101,16.03595,"NAN",25.41206
"2020-09-27 03:25:00",2408,17.19742,17.36945,16.56671,16.06201,"NAN",25.40597
"2020-09-27 03:26:00",2409,17.03541,17.19547,16.43194,15.94672,"NAN",25.40653
"2020-09-27 03:27:00",2410,16.69335,16.83037,16.28412,15.88906,"NAN",25.42275
"2020-09-27 03:28:00",2411,16.86517,17.06966,16.16849,15.75677,"NAN",25.40101
"2020-09-27 03:29:00",2412,16.86225,17.00744,16.12499,15.64393,"NAN",25.40272
"2020-09-27 03:30:00",2413,16.93197,17.08654,16.06335,15.55575,"NAN",25.39535
"2020-09-27 03:31:00",2414,16.93738,17.10801,16.08572,15.58319,"NAN",25.39958
"2020-09-27 03:32:00",2415,17.13006,17.29937,16.21994,15.74402,"NAN",25.38802
"2020-09-27 03:33:00",2416,17.24887,17.42667,16.77371,16.11357,"NAN",25.4107
"2020-09-27 03:34:00",2417,17.61748,17.87168,16.95519,16.45698,"NAN",25.38551
"2020-09-27 03:35:00",2418,17.68789,17.9234,16.88794,16.51284,"NAN",25.38507
"2020-09-27 03:36:00",2419,17.76358,17.94602,16.87111,16.53004,"NAN",25.39099
"2020-09-27 03:37:00",2420,17.63955,17.83452,16.78092,16.37855,"NAN",25.38682
"2020-09-27 03:38:00",2421,17.5243,17.73251,16.73549,16.33201,"NAN",25.41393
"2020-09-27 03:39:00",2422,17.38293,17.5759,16.4164,16.11496,"NAN",25.40274
"2020-09-27 03:40:00",2423,16.72915,16.96058,16.27631,15.92157,"NAN",25.41314
"2020-09-27 03:41:00",2424,16.73486,16.96214,16.36531,16.03123,"NAN",25.39576
"2020-09-27 03:42:00",2425,16.85523,17.01459,16.23162,15.84967,"NAN",25.40016
"2020-09-27 03:43:00",2426,16.64643,16.72947,16.14482,15.70572,"NAN",25.39893
"2020-09-27 03:44:00",2427,16.6756,16.8422,16.28237,15.86917,"NAN",25.39943
"2020-09-27 03:45:00",2428,16.76033,16.93482,16.44266,16.06952,"NAN",25.41039
"2020-09-27 03:46:00",2429,16.44729,16.69267,16.73121,16.22264,"NAN",25.41712
"2020-09-27 03:47:00",2430,16.88165,17.23323,16.90912,16.37656,"NAN",25.4043
"2020-09-27 03:48:00",2431,16.98062,17.25861,17.01863,16.63762,"NAN",25.40279
"2020-09-27 03:49:00",2432,17.18335,17.47482,17.25713,16.80906,"NAN",25.41969
"2020-09-27 03:50:00",2433,16.55119,16.95907,17.30148,16.88181,"NAN",25.39402
"2020-09-27 03:51:00",2434,16.04128,16.61427,17.35871,16.90217,"NAN",25.41487
"2020-09-27 03:52:00",2435,16.40876,16.88324,17.24846,16.87116,"NAN",25.3959
"2020-09-27 03:53:00",2436,16.70354,17.08288,17.08854,16.77228,"NAN",25.41115
"2020-09-27 03:54:00",2437,16.20334,16.70738,17.11122,16.72491,"NAN",25.40444
"2020-09-27 03:55:00",2438,16.71774,17.13544,16.88767,16.59127,"NAN",25.40086
"2020-09-27 03:56:00",2439,16.76082,17.10645,16.85845,16.493,"NAN",25.40814
"2020-09-27 03:57:00",2440,16.44115,16.83897,16.76907,16.43821,"NAN",25.40099
"2020-09-27 03:58:00",2441,16.28599,16.57334,16.58019,16.31242,"NAN",25.40466
"2020-09-27 03:59:00",2442,16.06131,16.37749,16.53095,16.21211,"NAN",25.39986
"2020-09-27 04:00:00",2443,16.22442,16.5456,16.44672,16.15616,"NAN",25.40903
