"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_21_10_2020_Jonathan.CR1","4579","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-03-03 17:01:00",33182,11.58046,11.75902,11.60185,11.40966,"NAN",20.93631
"2021-03-03 17:02:00",33183,11.74241,11.85075,11.53028,11.39878,"NAN",20.88602
"2021-03-03 17:03:00",33184,11.82652,11.90869,11.51233,11.39192,"NAN",20.86108
"2021-03-03 17:04:00",33185,11.87059,11.94541,11.47628,11.32451,"NAN",20.87179
"2021-03-03 17:05:00",33186,11.89932,11.96951,11.50996,11.29518,"NAN",20.86952
"2021-03-03 17:06:00",33187,11.89553,11.97058,11.41714,11.28724,"NAN",20.94944
"2021-03-03 17:07:00",33188,11.88766,11.94809,11.26869,11.1511,"NAN",20.82689
"2021-03-03 17:08:00",33189,11.87775,11.93813,11.2772,11.04386,"NAN",20.87576
"2021-03-03 17:09:00",33190,11.25169,11.3205,11.34825,11.03951,"NAN",20.84687
"2021-03-03 17:10:00",33191,11.07067,11.23962,11.25082,11.03223,"NAN",20.86897
"2021-03-03 17:11:00",33192,11.04424,11.25212,11.18888,10.93269,"NAN",20.87375
"2021-03-03 17:12:00",33193,11.00141,11.16654,11.20299,10.84022,"NAN",20.86763
"2021-03-03 17:13:00",33194,10.9226,11.05584,11.49823,11.41553,"NAN",20.84687
"2021-03-03 17:14:00",33195,10.8034,10.93768,11.5975,11.73245,"NAN",20.87385
"2021-03-03 17:15:00",33196,10.7433,10.89633,11.57262,11.73332,"NAN",20.87274
"2021-03-03 17:16:00",33197,10.62213,10.80978,11.51509,11.70009,"NAN",20.84876
"2021-03-03 17:17:00",33198,10.53184,10.73408,11.45677,11.64164,"NAN",20.94387
"2021-03-03 17:18:00",33199,10.47956,10.65107,11.39278,11.55884,"NAN",20.88612
"2021-03-03 17:19:00",33200,10.3654,10.55852,11.3188,11.47001,"NAN",20.84201
"2021-03-03 17:20:00",33201,10.23829,10.45589,11.17515,11.35625,"NAN",20.79026
"2021-03-03 17:21:00",33202,10.17038,10.38556,10.56319,10.29203,"NAN",20.8181
"2021-03-03 17:22:00",33203,10.07056,10.2879,10.49123,9.925808,"NAN",20.82508
"2021-03-03 17:23:00",33204,9.909643,10.1342,10.3477,9.503124,"NAN",20.80942
"2021-03-03 17:24:00",33205,9.862069,10.10793,10.30403,9.457365,"NAN",20.8056
"2021-03-03 17:25:00",33206,9.802885,10.07056,10.22182,9.48939,"NAN",20.88604
"2021-03-03 17:26:00",33207,9.805987,10.05472,10.20776,9.623077,"NAN",20.80331
"2021-03-03 17:27:00",33208,9.636003,9.90173,10.11217,9.504423,"NAN",20.79729
"2021-03-03 17:28:00",33209,9.617276,9.83448,9.998689,9.39111,"NAN",20.79128
"2021-03-03 17:29:00",33210,9.619718,9.881636,9.93762,9.275184,"NAN",20.84431
"2021-03-03 17:30:00",33211,9.615039,9.843155,9.900485,9.406957,"NAN",20.78522
"2021-03-03 17:31:00",33212,9.431274,9.681591,9.89291,9.311978,"NAN",20.75648
"2021-03-03 17:32:00",33213,9.520277,9.766672,9.851539,9.222136,"NAN",20.74761
"2021-03-03 17:33:00",33214,9.393515,9.648555,9.82723,9.407018,"NAN",20.78671
"2021-03-03 17:34:00",33215,9.337018,9.600026,9.696391,9.056377,"NAN",20.76567
"2021-03-03 17:35:00",33216,9.16867,9.440229,9.635398,8.950922,"NAN",20.77978
"2021-03-03 17:36:00",33217,9.106782,9.37447,9.558422,8.925545,"NAN",20.73429
"2021-03-03 17:37:00",33218,9.013238,9.277591,9.464003,8.397038,"NAN",20.72388
"2021-03-03 17:38:00",33219,9.081048,9.383792,9.521628,8.909059,"NAN",20.73326
"2021-03-03 17:39:00",33220,8.967385,9.263747,9.446759,8.606218,"NAN",20.67625
"2021-03-03 17:40:00",33221,9.042331,9.316775,9.318479,8.379338,"NAN",20.69217
"2021-03-03 17:41:00",33222,9.053823,9.308116,9.292575,8.363228,"NAN",20.71179
"2021-03-03 17:42:00",33223,8.971201,9.269535,9.277775,8.348589,"NAN",20.69079
"2021-03-03 17:43:00",33224,8.853668,9.196142,9.176318,8.318538,"NAN",20.71977
"2021-03-03 17:44:00",33225,8.791218,9.13411,9.288814,8.395736,"NAN",20.72267
"2021-03-03 17:45:00",33226,8.590757,8.871329,9.163498,8.389143,"NAN",20.63172
"2021-03-03 17:46:00",33227,8.475972,8.80546,8.971834,8.012891,"NAN",20.65202
"2021-03-03 17:47:00",33228,8.427737,8.790894,9.032715,7.980448,"NAN",20.65874
"2021-03-03 17:48:00",33229,8.405438,8.695692,8.842475,7.964419,"NAN",20.64894
"2021-03-03 17:49:00",33230,8.466991,8.799737,8.887791,7.703821,"NAN",20.68089
"2021-03-03 17:50:00",33231,8.397858,8.725023,9.045846,8.431499,"NAN",20.64474
"2021-03-03 17:51:00",33232,8.297469,8.706085,8.928168,8.07487,"NAN",20.59785
"2021-03-03 17:52:00",33233,8.250076,8.582625,8.930507,8.110437,"NAN",20.62523
"2021-03-03 17:53:00",33234,8.263374,8.548934,8.909532,8.38875,"NAN",20.64327
"2021-03-03 17:54:00",33235,8.246843,8.615628,8.800829,8.222868,"NAN",20.61356
"2021-03-03 17:55:00",33236,8.264207,8.627745,8.781497,8.117094,"NAN",20.62592
"2021-03-03 17:56:00",33237,8.239257,8.562237,8.665203,7.777514,"NAN",20.68013
"2021-03-03 17:57:00",33238,8.306244,8.619115,8.665259,7.79341,"NAN",20.59667
"2021-03-03 17:58:00",33239,8.307047,8.524049,8.665009,7.969513,"NAN",20.59717
"2021-03-03 17:59:00",33240,8.136941,8.508181,8.688394,7.872205,"NAN",20.57113
"2021-03-03 18:00:00",33241,8.322531,8.634435,8.856629,8.288044,"NAN",20.6678
