"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_21_10_2020_Jonathan.CR1","4579","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-03-03 22:01:00",33482,6.269619,6.365197,6.866238,6.088379,"NAN",19.73879
"2021-03-03 22:02:00",33483,6.239089,6.338373,6.938941,6.189454,"NAN",19.81353
"2021-03-03 22:03:00",33484,6.237418,6.334534,6.886696,6.044632,"NAN",19.7811
"2021-03-03 22:04:00",33485,6.245884,6.341605,6.864051,6.11241,"NAN",19.81352
"2021-03-03 22:05:00",33486,6.239093,6.343519,6.788202,5.945942,"NAN",19.84259
"2021-03-03 22:06:00",33487,6.230712,6.331213,6.804507,5.857041,"NAN",19.80805
"2021-03-03 22:07:00",33488,6.226552,6.325357,6.862714,6.060643,"NAN",19.75072
"2021-03-03 22:08:00",33489,6.228848,6.32611,6.794183,6.035475,"NAN",19.85859
"2021-03-03 22:09:00",33490,6.288286,6.595619,6.76162,5.924548,"NAN",19.815
"2021-03-03 22:10:00",33491,6.256472,6.587242,6.737795,6.071986,"NAN",19.8558
"2021-03-03 22:11:00",33492,6.26258,6.632922,6.748273,5.783102,"NAN",19.82071
"2021-03-03 22:12:00",33493,6.326756,6.661314,6.735369,5.927579,"NAN",19.85005
"2021-03-03 22:13:00",33494,6.289714,6.611041,6.286403,5.951314,"NAN",19.78626
"2021-03-03 22:14:00",33495,6.377949,6.70785,6.163095,6.045083,"NAN",19.86271
"2021-03-03 22:15:00",33496,6.381686,6.714125,6.120058,6.052123,"NAN",19.77081
"2021-03-03 22:16:00",33497,6.220636,6.579184,6.115039,6.053401,"NAN",19.77713
"2021-03-03 22:17:00",33498,6.171846,6.560103,6.116087,6.062105,"NAN",19.73641
"2021-03-03 22:18:00",33499,6.13659,6.467347,6.122686,6.075017,"NAN",19.73257
"2021-03-03 22:19:00",33500,6.199323,6.553469,6.120875,6.072141,"NAN",19.77901
"2021-03-03 22:20:00",33501,6.326731,6.573719,6.163333,6.060993,"NAN",19.75057
"2021-03-03 22:21:00",33502,6.229424,6.530246,6.735556,5.995528,"NAN",19.797
"2021-03-03 22:22:00",33503,6.154546,6.462842,6.721768,5.990571,"NAN",19.77352
"2021-03-03 22:23:00",33504,6.147561,6.533151,6.608681,5.739105,"NAN",19.75309
"2021-03-03 22:24:00",33505,6.119649,6.447246,6.456618,5.5641,"NAN",19.70862
"2021-03-03 22:25:00",33506,6.13195,6.46159,6.455174,5.566314,"NAN",19.83501
"2021-03-03 22:26:00",33507,6.060163,6.402382,6.54724,5.831707,"NAN",19.75009
"2021-03-03 22:27:00",33508,5.962594,6.330915,6.476737,5.600685,"NAN",19.76948
"2021-03-03 22:28:00",33509,6.156375,6.560032,6.561583,5.690136,"NAN",19.85474
"2021-03-03 22:29:00",33510,6.241593,6.629957,6.741815,5.878115,"NAN",19.86316
"2021-03-03 22:30:00",33511,6.186936,6.583004,6.713186,5.746932,"NAN",19.74233
"2021-03-03 22:31:00",33512,6.3016,6.649994,6.848166,6.022927,"NAN",19.81407
"2021-03-03 22:32:00",33513,6.13426,6.525545,6.77551,5.892145,"NAN",19.85243
"2021-03-03 22:33:00",33514,6.034651,6.433842,6.575692,5.854759,"NAN",19.72765
"2021-03-03 22:34:00",33515,6.154627,6.52903,6.551062,5.816884,"NAN",19.79123
"2021-03-03 22:35:00",33516,6.128773,6.440079,6.742013,6.05407,"NAN",19.79126
"2021-03-03 22:36:00",33517,6.047984,6.372801,6.491746,5.83419,"NAN",19.73914
"2021-03-03 22:37:00",33518,5.864542,6.210446,6.631184,6.002727,"NAN",19.77081
"2021-03-03 22:38:00",33519,5.978419,6.439368,6.294676,5.689932,"NAN",19.76905
"2021-03-03 22:39:00",33520,5.97809,6.439171,6.214874,5.66981,"NAN",19.72965
"2021-03-03 22:40:00",33521,5.802474,6.094651,6.474211,5.981126,"NAN",19.72869
"2021-03-03 22:41:00",33522,5.658277,6.010427,6.37601,5.859435,"NAN",19.70842
"2021-03-03 22:42:00",33523,5.892105,6.192095,6.600556,6.117248,"NAN",19.75519
"2021-03-03 22:43:00",33524,5.867867,6.273459,6.412868,5.966411,"NAN",19.76482
"2021-03-03 22:44:00",33525,5.700385,6.140166,6.263481,5.721743,"NAN",19.7424
"2021-03-03 22:45:00",33526,5.834419,6.274768,6.180881,5.503003,"NAN",19.78326
"2021-03-03 22:46:00",33527,5.779056,6.185732,6.20794,5.74033,"NAN",19.84323
"2021-03-03 22:47:00",33528,5.629008,6.12782,6.234408,5.789724,"NAN",19.85552
"2021-03-03 22:48:00",33529,5.623258,6.155896,6.063082,5.419816,"NAN",19.75523
"2021-03-03 22:49:00",33530,5.291083,5.868147,5.947543,5.165469,"NAN",19.76132
"2021-03-03 22:50:00",33531,5.433044,6.078006,5.89959,5.071728,"NAN",19.72628
"2021-03-03 22:51:00",33532,5.522697,6.058143,5.957972,5.099678,"NAN",19.68763
"2021-03-03 22:52:00",33533,5.604092,6.13521,5.878796,5.229456,"NAN",19.67934
"2021-03-03 22:53:00",33534,5.499032,5.90815,5.866921,5.050741,"NAN",19.7049
"2021-03-03 22:54:00",33535,5.243774,5.732377,5.916359,5.063818,"NAN",19.76138
"2021-03-03 22:55:00",33536,5.155476,5.718694,5.787073,4.90139,"NAN",19.82641
"2021-03-03 22:56:00",33537,5.502924,6.018055,6.059348,5.503149,"NAN",19.7375
"2021-03-03 22:57:00",33538,5.444997,6.061181,5.94917,5.368986,"NAN",19.75366
"2021-03-03 22:58:00",33539,5.42292,6.002535,5.915869,5.237875,"NAN",19.72066
"2021-03-03 22:59:00",33540,5.290326,6.033141,5.970942,5.473991,"NAN",19.80816
"2021-03-03 23:00:00",33541,5.592837,6.104146,5.78843,5.229974,"NAN",19.72862
