"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_21_10_2020_Jonathan.CR1","4579","TcrafatData"
"TIMESTAMP","RECORD","TcRafat_Avg(1)","TcRafat_Avg(2)","TcRafat_Avg(3)","TcRafat_Avg(4)","TcRafat_Avg(5)","TcRafat_Avg(6)"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-03-03 20:01:00",33362,6.9587,6.8372,7.373358,6.676982,"NAN",20.02807
"2021-03-03 20:02:00",33363,6.827403,6.70992,7.608167,7.283949,"NAN",19.95288
"2021-03-03 20:03:00",33364,6.785223,6.668609,7.344562,6.972505,"NAN",19.99965
"2021-03-03 20:04:00",33365,6.738841,6.624455,7.291286,6.844525,"NAN",20.02466
"2021-03-03 20:05:00",33366,6.697119,6.589592,7.003869,6.421006,"NAN",20.00787
"2021-03-03 20:06:00",33367,6.679919,6.577281,7.307921,6.766547,"NAN",20.03522
"2021-03-03 20:07:00",33368,6.682444,6.580285,7.083206,6.414382,"NAN",19.97318
"2021-03-03 20:08:00",33369,6.655374,6.555031,6.949656,6.414624,"NAN",20.01307
"2021-03-03 20:09:00",33370,6.51847,6.684257,6.615526,6.166178,"NAN",19.96314
"2021-03-03 20:10:00",33371,6.545289,6.925102,6.895223,6.322669,"NAN",20.02691
"2021-03-03 20:11:00",33372,6.51649,6.971288,6.898714,6.173567,"NAN",20.0522
"2021-03-03 20:12:00",33373,6.390689,6.919964,6.983403,6.109919,"NAN",20.01139
"2021-03-03 20:13:00",33374,6.542998,6.918736,6.525767,6.335434,"NAN",20.02168
"2021-03-03 20:14:00",33375,6.435931,6.799315,6.479099,6.444775,"NAN",19.93428
"2021-03-03 20:15:00",33376,6.783635,7.175647,6.481534,6.512205,"NAN",19.90759
"2021-03-03 20:16:00",33377,6.797389,7.159197,6.48349,6.554231,"NAN",19.96443
"2021-03-03 20:17:00",33378,6.916857,7.256029,6.482056,6.577017,"NAN",19.93139
"2021-03-03 20:18:00",33379,6.797998,7.128119,6.484436,6.580998,"NAN",19.97217
"2021-03-03 20:19:00",33380,6.735468,7.039405,6.49663,6.575468,"NAN",20.02004
"2021-03-03 20:20:00",33381,6.848681,7.217641,6.586781,6.594299,"NAN",19.93499
"2021-03-03 20:21:00",33382,6.755824,7.028334,7.31811,6.851423,"NAN",19.94907
"2021-03-03 20:22:00",33383,6.842176,7.251161,7.191353,6.50798,"NAN",20.011
"2021-03-03 20:23:00",33384,6.901796,7.300605,7.37335,6.700823,"NAN",19.9183
"2021-03-03 20:24:00",33385,6.565362,7.03176,6.976689,6.291567,"NAN",19.89313
"2021-03-03 20:25:00",33386,6.614646,6.882095,6.913677,6.007151,"NAN",19.93485
"2021-03-03 20:26:00",33387,6.512846,6.899286,6.915266,6.167196,"NAN",19.96847
"2021-03-03 20:27:00",33388,6.68452,7.024478,7.05708,6.020381,"NAN",20.01515
"2021-03-03 20:28:00",33389,6.758867,7.15537,7.293847,6.4171,"NAN",19.94096
"2021-03-03 20:29:00",33390,6.738472,7.075698,7.091673,6.306132,"NAN",19.96122
"2021-03-03 20:30:00",33391,6.519906,6.818792,6.940995,6.197091,"NAN",19.95366
"2021-03-03 20:31:00",33392,6.296022,6.59431,6.78948,5.999867,"NAN",19.98816
"2021-03-03 20:32:00",33393,6.294593,6.620527,6.58552,5.698029,"NAN",19.93766
"2021-03-03 20:33:00",33394,6.399711,6.751794,6.868152,5.83787,"NAN",19.94706
"2021-03-03 20:34:00",33395,6.44938,6.767381,7.119579,6.210524,"NAN",19.88165
"2021-03-03 20:35:00",33396,6.427919,6.763371,6.748775,6.036897,"NAN",19.9172
"2021-03-03 20:36:00",33397,6.282885,6.508655,6.567323,5.75769,"NAN",19.93252
"2021-03-03 20:37:00",33398,6.37151,6.6729,6.386906,5.531806,"NAN",19.90168
"2021-03-03 20:38:00",33399,6.651813,7.097216,6.401482,5.708814,"NAN",19.92704
"2021-03-03 20:39:00",33400,6.506118,6.838943,6.418736,5.716509,"NAN",19.98226
"2021-03-03 20:40:00",33401,6.496847,6.914214,6.531895,5.813168,"NAN",19.94782
"2021-03-03 20:41:00",33402,6.29284,6.581457,6.509507,5.756584,"NAN",19.9512
"2021-03-03 20:42:00",33403,6.25102,6.618368,6.362742,5.724231,"NAN",19.88911
"2021-03-03 20:43:00",33404,6.283629,6.626523,6.389544,5.493504,"NAN",19.91381
"2021-03-03 20:44:00",33405,6.100419,6.38971,6.272704,5.55756,"NAN",19.99588
"2021-03-03 20:45:00",33406,6.106104,6.479596,6.340668,5.51831,"NAN",19.95546
"2021-03-03 20:46:00",33407,6.266237,6.576359,6.477331,5.558497,"NAN",19.97413
"2021-03-03 20:47:00",33408,6.318751,6.666002,6.645604,5.727353,"NAN",19.91244
"2021-03-03 20:48:00",33409,6.345995,6.75669,6.926064,5.897675,"NAN",19.88361
"2021-03-03 20:49:00",33410,6.566242,6.933387,6.954928,5.943366,"NAN",19.92817
"2021-03-03 20:50:00",33411,6.657973,7.033081,7.089412,6.234854,"NAN",19.8773
"2021-03-03 20:51:00",33412,6.540041,6.818467,7.159944,6.396637,"NAN",19.91352
"2021-03-03 20:52:00",33413,6.546531,6.879117,7.178599,6.515261,"NAN",19.91692
"2021-03-03 20:53:00",33414,6.689229,7.000997,7.258168,6.556411,"NAN",19.90541
"2021-03-03 20:54:00",33415,6.763006,7.029586,7.175008,6.481918,"NAN",19.95188
"2021-03-03 20:55:00",33416,6.602459,6.824703,7.241576,6.583574,"NAN",19.91072
"2021-03-03 20:56:00",33417,6.558824,6.833951,6.992141,6.286687,"NAN",19.90251
"2021-03-03 20:57:00",33418,6.616933,6.954301,6.783772,5.941207,"NAN",19.83154
"2021-03-03 20:58:00",33419,6.608693,6.865524,7.030065,5.823886,"NAN",19.84334
"2021-03-03 20:59:00",33420,6.484576,6.78014,6.953983,5.890096,"NAN",19.85319
"2021-03-03 21:00:00",33421,6.649562,7.002142,6.830463,6.080748,"NAN",20.00645
