"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_21_10_2020_Jonathan.CR1","4579","Data_dropbox"
"TIMESTAMP","RECORD","batt_volt","PTemp","H2o_6262_mmol_mol","Co2_6262_micmol_mol","H2o_7000_mmol_mol","Co2_7000_micmol_mol","Temp_6262","Temp_7000","Prees_7000","H2o_Flux","Co2_Flux","PAR","AirFlow_Sam","AirFlow_Amb","Ambient_RH","Ambient_TempAir","Tc(1)","Tc(2)","Tc(3)","Tc(4)","Tc(5)","Tc(6)","Tc(7)","Tc(8)","Tc(9)","Tc(10)","Tc(11)","Tc(12)","Tc(13)","Tc(14)","Tc(15)","Tc(16)","RadKipZonen","ChamberStatus","ChamberON","Counter","VPD_Ambient","VPD_Chamber","Tc_AM25","Volt_AM25(1)","Volt_AM25(2)","Volt_AM25(3)","Pump_Status"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-03-03 07:00:16",977456,12.14971,9.637737,9.986355,406.6985,9.085946,407.3942,0,25.23874,94.29195,-0.08899845,0.0687685,0,7.783081,8.287857,0,-40,7.313089,7.278615,7.321707,8.260221,7.321707,7.097594,7.183803,7.097594,7.34756,6.976879,7.261378,7.03724,7.494037,7.166562,7.002748,6.916511,111.5775,0,4,15,-0.1196598,0.06116343,"NAN",0,818.5537,0.6821281,0
"2021-03-03 07:00:18",977457,12.16082,9.637737,9.986355,406.5621,9.099588,407.558,0,25.22509,94.28649,-0.08680397,0.0974879,0,7.708047,8.144609,0,-40,7.34756,7.192423,7.261378,8.303231,7.295852,7.114837,7.201043,7.097594,7.364795,6.985502,7.287234,7.045862,7.519882,7.08035,6.968256,6.925135,112.6714,0,4,17,-0.1196598,0.0626545,"NAN",0,843.1103,0.6821281,0
"2021-03-03 07:00:20",977458,12.14415,9.637737,9.986355,407.135,9.051839,407.1214,0,25.21145,94.29195,-0.09270198,-0.001353194,0,7.810366,8.162345,0,-40,7.208688,6.984528,7.294879,8.302259,7.217308,7.044888,7.113863,7.087998,7.320733,6.984528,7.329351,6.915536,7.493063,7.148347,6.958657,6.950033,112.6714,0,4,19,-0.1202852,0.06800389,"NAN",0,877.2167,0.6821281,0
"2021-03-03 07:00:22",977459,12.18304,9.660328,9.986355,407.2442,9.051839,407.7762,0,25.21145,94.28649,-0.09204896,0.05240278,0,7.755796,8.60982,0,-39.93179,7.336995,7.138752,7.345613,8.318491,7.12151,7.087023,7.087023,7.078402,7.311141,6.949058,7.302523,7.095646,7.440396,7.336995,6.966306,6.940434,110.4836,0,4,21,-0.1205797,0.06945348,"NAN",0,849.9316,0.6821281,0
"2021-03-03 07:00:24",977460,12.17193,9.637737,9.959069,406.5894,9.024554,406.9577,0,25.23874,94.29195,-0.09285532,0.03659973,0,7.824008,8.2824,0,-40,7.69309,7.434671,7.296796,8.433185,7.262321,7.150265,7.167506,7.124403,7.314033,7.029561,7.357121,6.969199,7.581123,7.331269,7.003693,6.951952,106.4726,0,4,23,-0.1148275,0.08040416,"NAN",0,865.6205,0.6821281,0
"2021-03-03 07:00:26",977461,12.19415,9.637737,9.972713,407.0805,9.031376,407.367,0,25.22509,94.28649,-0.09263501,0.02819378,0,7.748974,8.326056,0,-40,7.530414,7.246059,7.349478,8.416958,7.289152,7.065026,7.159861,7.125377,7.297771,7.047781,7.358096,7.065026,7.5218,7.090891,6.996045,6.970175,101.3678,0,4,25,-0.1163056,0.07847226,"NAN",0,826.7392,0.6821281,0
"2021-03-03 07:00:28",977462,12.17748,9.637737,9.986355,407.6262,9.031376,408.0218,0,25.21145,94.28649,-0.0946023,0.03918894,0,7.800134,8.200544,-0.06821281,-40,7.416495,7.175182,7.295852,8.458041,7.13208,7.175182,7.166562,7.097594,7.287234,7.011372,7.313089,7.08035,7.562953,7.330325,6.907886,6.959631,95.53365,0,4,27,-0.1196598,0.08140469,"NAN",0,858.7993,0.6821281,0
"2021-03-03 07:00:30",977463,12.1386,9.637737,10.01364,407.7353,9.031376,408.3765,0,25.22509,94.29195,-0.097434,0.06360022,0,7.810366,8.105046,0,-40,7.455852,7.300746,7.352453,8.454325,7.249034,7.205937,7.197318,7.093868,7.300746,6.999022,7.361071,6.990399,7.516159,7.240415,6.999022,6.973152,91.88732,0,4,29,-0.1229854,0.08113933,"NAN",0,870.3954,0.6821281,0
