"TOA5","CR1000","CR1000","72154","CR1000.Std.28","CPU:Rafat_21_10_2020_Jonathan.CR1","4579","Data_dropbox"
"TIMESTAMP","RECORD","batt_volt","PTemp","H2o_6262_mmol_mol","Co2_6262_micmol_mol","H2o_7000_mmol_mol","Co2_7000_micmol_mol","Temp_6262","Temp_7000","Prees_7000","H2o_Flux","Co2_Flux","PAR","AirFlow_Sam","AirFlow_Amb","Ambient_RH","Ambient_TempAir","Tc(1)","Tc(2)","Tc(3)","Tc(4)","Tc(5)","Tc(6)","Tc(7)","Tc(8)","Tc(9)","Tc(10)","Tc(11)","Tc(12)","Tc(13)","Tc(14)","Tc(15)","Tc(16)","RadKipZonen","ChamberStatus","ChamberON","Counter","VPD_Ambient","VPD_Chamber","Tc_AM25","Volt_AM25(1)","Volt_AM25(2)","Volt_AM25(3)","Pump_Status"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-03-03 21:00:16",1002656,12.12697,13.61176,9.573551,408.1777,9.553095,408.9639,0,29.12978,94.12849,-0.001979509,0.07607809,0,7.732484,8.003872,0,-40,7.689697,6.913924,7.500169,6.525612,7.526018,6.715489,7.319192,7.138154,7.22437,7.034675,7.388143,7.060546,7.181263,7.215749,6.775891,7.189885,-0.7293963,0,4,15,-0.07036376,-0.1074076,"NAN",0,805.9785,0.6818769,0
"2021-03-03 21:00:18",1002657,12.15475,13.61176,9.573551,408.9414,9.519001,409.5912,0,29.12978,94.12849,-0.005325239,0.06343514,0,7.800672,7.941139,0,-40,7.588905,7.037257,7.502748,6.493665,7.606135,6.778474,7.261434,7.12349,7.149357,7.028633,7.364868,6.959635,7.166602,6.942384,6.692184,7.149357,-1.458793,0,4,17,-0.07132399,-0.105574,"NAN",0.6818769,801.8872,0,0
"2021-03-03 21:00:20",1002658,12.15475,13.61176,9.600826,408.205,9.519001,408.7184,0,29.12978,94.1394,-0.007964343,0.04997374,0,7.776806,8.215253,0,-40,7.425195,6.985511,7.476898,6.467766,7.459664,6.778474,7.278675,7.097622,7.192467,7.071752,7.356249,6.959635,7.175224,7.175224,6.735331,7.140736,-1.823491,0,4,19,-0.07609749,-0.1072009,"NAN",0,806.6604,0.6818769,0
"2021-03-03 21:00:22",1002659,12.14919,13.63662,9.559914,408.8323,9.464451,409.2912,0,29.12978,94.13394,-0.00927083,0.04456519,0,7.759759,8.288896,0,-40,7.798834,7.049094,7.497343,6.52278,7.454258,6.773061,7.359461,7.15257,7.178436,7.109457,7.350842,7.023222,7.135325,7.161192,6.764432,7.135325,-2.188189,0,4,21,-0.06787777,-0.09759057,"NAN",0,825.7529,0,0
"2021-03-03 21:00:24",1002660,12.16586,13.61176,9.546277,407.6868,9.450813,408.0638,0,29.12978,94.13394,-0.009291288,0.03669697,0,7.776806,8.168885,0.06818769,-40,7.303412,7.105122,7.501627,6.466643,7.622244,6.682432,7.312032,7.105122,7.130991,7.096499,7.389602,7.036135,7.148235,7.113745,6.691062,7.105122,-2.188189,0,4,23,-0.06944406,-0.09958434,"NAN",0,859.1649,0.6818769,0
"2021-03-03 21:00:26",1002661,12.14919,13.61176,9.559914,408.8323,9.457632,409.1548,0,29.12978,94.13394,-0.01006396,0.03173323,0,7.86204,7.939775,0,-40,7.528597,7.149357,7.494132,6.433232,7.528597,6.735331,7.313154,7.097622,7.149357,7.12349,7.330393,6.907881,7.12349,7.132113,6.692184,7.12349,-1.823491,0,4,25,-0.07147491,-0.1024488,"NAN",-0.6818769,819.616,0,0
"2021-03-03 21:00:28",1002662,12.17697,13.63662,9.559914,407.8232,9.443995,408.0366,0,29.12978,94.13394,-0.01145528,0.0210894,0,7.896134,7.976596,0,-40,7.675049,6.873375,7.485515,6.476399,7.407959,6.735331,7.278675,7.12349,7.097622,7.088999,7.321773,7.063128,7.157979,7.088999,6.718072,7.132113,-1.458793,0,4,27,-0.06978309,-0.09820282,"NAN",-0.6818769,844.8455,0,0
"2021-03-03 21:00:30",1002663,12.19919,13.63662,9.559914,408.696,9.423539,408.6639,0,29.12978,94.12849,-0.01350502,-0.003173229,0,7.913181,7.90159,0,-40,7.633653,7.271729,7.487189,6.426276,7.521655,6.745636,7.297589,7.090674,7.10792,7.099298,7.314829,6.94406,7.151032,6.995811,6.737007,7.142411,-2.188189,0,4,29,-0.07192874,-0.09904152,"NAN",0,844.1636,0.6818769,0
