timestamp,plot,type,chamber,status,chamber_block,counter,conc.cos.1.pmol_mol,conc.co2.1.umol_mol,conc.co2.2.umol_mol,conc.h2o.mmol_mol,conc.co.nmol_mol,conc.cos.2.pmol_mol,conc.cos.mean.pmol_mol,conc.co2.mean.umol_mol,conc.cos.mean_sd.pmol_mol,conc.co2.mean_sd.umol_mol,temp.air.ambient.c,par.ambient.umol_m2_s1,conc.h2o.irga.ambient.mmol_mol,conc.co2.irga.ambient.umol_mol,P.irga.kPa,par.chb_irr1.umol_m2_s1,par.chb_ctr2.umol_m2_s1,par.chs_irr3.umol_m2_s1,par.chs_ctr4.umol_m2_s1,par.chs_irr5.umol_m2_s1,par.chs_ctr6.umol_m2_s1,temp.leaf.chb_irr1.c,temp.air.chb_irr1.c,temp.leaf.chb_ctr2.c,temp.air.chb_ctr2.c,temp.laserbox.c,pump.flow.chb_irr1.slpm,pump.flow.chb_ctr2.slpm,pump.flow.chs_irr3.slpm,pump.flow.chs_ctr4.slpm,pump.flow.chs_irr5.slpm,pump.flow.chs_ctr6.slpm,day_night,par.current.chamber.umol_m2_s1,temp.leaf.current.chamber.c,temp.soil.current.chamber.c,temp.air.current.chamber.c,pump.flow.current.chamber.slpm,surface.area.m2,pump.flow.unfiltered.current.chamber.slpm,flag,conc.h2o.calibrated.mmol_mol,conc.co2.calibrated.umol_mol
2022-01-13 17:39:43,irr,soil,chs_irr3,cc,168.0,-16,330.1212390320812,460.7664781253303,460.76584962485475,9.604955,30.4505,330.06336646558816,330.09230274883464,460.7661638750925,0.04092208421188207,0.00044441694824521715,10.96959,0.0,8.898342,412.45885,,0.0,0.0,,,,,10.637634,10.743393333333334,10.832972833333333,10.802022333333333,20.961660833333333,,,0.9962052,1.2989535,,,0,,,,,0.9962052,0.017671458676442587,0.9962052,3,,419.44427962189974
2022-01-13 17:39:44,irr,soil,chs_irr3,cc,168.0,-15,332.6401490951467,460.7664781253303,460.6684320511466,9.610166,30.64376,330.06336646558816,331.3517577803674,460.71745508823847,1.8220604710045345,0.06932904392400299,10.95343,0.0,8.905161,412.7316,93.76823,0.0,0.0,,,,,10.638212000000001,10.743266666666667,10.832442666666667,10.802008666666667,20.961686666666665,,,0.9955233,1.302363,,,0,,,,,0.9955233,0.017671458676442587,0.9955233,3,,419.4359284302392
2022-01-13 17:39:45,irr,soil,chs_irr3,cc,168.0,-14,331.50463120372905,460.6684320511466,460.4716066522245,9.603122,30.2546,332.6401490951467,332.07239014943787,460.5700193516856,0.8029324011800594,0.1391765742875651,10.95189,0.0,8.898342,413.6044,,0.0,0.0,,,,,10.63879,10.743139999999999,10.8319125,10.801995,20.9617125,,,0.9955233,1.3091815,,,0,,,,,0.9955233,0.017671458676442587,0.9955233,3,,419.4106503608581
2022-01-13 17:39:46,irr,soil,chs_irr3,cc,168.0,-13,327.5470108993693,460.30222577406744,460.3004450227201,9.600444,30.55534,327.57070605977515,327.5588584795722,460.3013353983938,0.016755008604279805,0.001259181353301157,10.95035,0.0,8.891523,414.4772,93.76823,0.0,0.0,,,,,10.639368000000001,10.743013333333332,10.831382333333332,10.801981333333334,20.961738333333333,,,0.9955233,1.316,,,0,,,,,0.9955233,0.017671458676442587,0.9955233,3,,419.36458411008545
2022-01-13 17:39:47,irr,soil,chs_irr3,cc,168.0,-12,331.2440725253633,459.97980503011735,459.9882897865371,9.612875,30.51993,331.2800997395119,331.2620861324376,459.9840474083272,0.02547508743172745,0.005999628801129557,10.946660000000001,0.0,8.905160500000001,413.76805,,0.0,0.0,,,,,10.639946,10.742886666666665,10.830852166666666,10.801967666666666,20.961764166666665,,,0.99484145,1.2938395,,,0,,,,,0.99484145,0.017671458676442587,0.99484145,3,,419.3101846272042
2022-01-13 17:39:48,irr,soil,chs_irr3,cc,168.0,-11,334.0190488757883,459.97980503011735,459.6616790394167,9.621043,30.38305,331.2800997395119,332.64957430765014,459.820742034767,1.936729507586082,0.22494904529611862,10.94297,0.0,8.918798,413.0589,93.76277,0.0,0.0,,,,,10.640524000000001,10.742759999999999,10.830321999999999,10.801954,20.96179,,,0.9941596,1.271679,,,0,,,,,0.9941596,0.017671458676442587,0.9941596,3,,419.2821856857014
2022-01-13 17:39:49,irr,soil,chs_irr3,cc,168.0,-10,329.0773306827529,460.1359873982881,460.1251981401247,9.605114,30.25483,329.02315773238274,329.05024420756786,460.1305927692064,0.0383060605636317,0.0076291576112816305,10.93441,0.0,8.918798,412.5134,,0.0,0.0,,,,,10.641102,10.742633333333332,10.829791833333333,10.801940333333334,20.961815833333333,,,0.99347775,1.285316,,,0,,,,,0.99347775,0.017671458676442587,0.99347775,3,,419.33531004039367
2022-01-13 17:39:50,irr,soil,chs_irr3,cc,168.0,-9,334.2771411434055,460.53770395223506,460.54021795413723,9.608829,30.50653,334.2254346037839,334.2512878735947,460.5389609531861,0.03656204479811805,0.0017776677929406742,10.92585,0.0,8.918798,411.9679,93.76823,0.0,0.0,,,,,10.641680000000001,10.742506666666666,10.829261666666666,10.801926666666667,20.961841666666665,,,0.9927959,1.298953,,,0,,,,,0.9927959,0.017671458676442587,0.9927959,3,,419.40532535370255
2022-01-13 17:39:51,irr,soil,chs_irr3,cc,168.0,-8,334.6789018371264,460.53770395223506,460.51382093416464,9.615418,31.1875,334.2254346037839,334.4521682204552,460.5257624431998,0.32064975574234955,0.016887844032795727,10.9307,0.0,8.911979500000001,412.6225,,0.0,0.0,,,,,10.642258,10.742379999999999,10.8287315,10.801913,20.9618675,,,0.9948414999999999,1.3091810000000002,,,0,,,,,0.9948414999999999,0.017671458676442587,0.9948414999999999,3,,419.4030624501558
2022-01-13 17:39:52,irr,soil,chs_irr3,cc,168.0,-7,329.0922172333425,460.1087523776815,460.11357088132735,9.622535,30.80733,329.14189779270635,329.1170575130244,460.1111616295044,0.035129460419298965,0.003407196603132943,10.93555,0.0,8.905161,413.2771,93.76823,0.0,0.0,,,,,10.642836,10.742253333333332,10.828201333333332,10.801899333333333,20.961893333333332,,,0.9968871,1.319409,,,0,,,,,0.9968871,0.017671458676442587,0.9968871,3,,419.33197854350544
